C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,10,0,9,0,0,0.571428571,321.025205,,2843786,2863924,2268653,Yes,2658787.667,,0,0,0,No,0,,0.714285714,0.642857143,,321.02520,10,0.714285714,1,1.111111111,O,,,0.578947368,,----,Aromatic,----,----,----,----,,321.09944,321.00000,0.09944
15,10,0,8,0,0,0.4,317.0302904,,1844255,1823867,1647882,Yes,1772001.333,,0,0,0,No,0,,0.666666667,0.533333333,,317.03029,11,0.733333333,1.1,1.375,O,,,0.636363636,,----,Aromatic,----,----,----,----,,317.10360,317.00000,0.10360
15,10,0,9,0,0,0.533333333,333.025205,,3117443,2946653,3399103,Yes,3154399.667,,0,0,0,No,0,,0.666666667,0.6,,333.02520,11,0.733333333,1.1,1.222222222,O,,,0.619047619,,----,Aromatic,----,----,----,----,,333.10221,333.00000,0.10221
15,10,0,10,0,0,0.666666667,349.0201196,,4771470,4616488,4309956,Yes,4565971.333,,0,0,0,No,0,,0.666666667,0.666666667,,349.02012,11,0.733333333,1.1,1.1,O,,,0.6,,----,Aromatic,----,----,----,----,,349.10083,349.00000,0.10083
15,12,0,8,0,0,0.266666667,319.0459404,,2910544,2488790,3025017,Yes,2808117,,0,0,0,No,0,,0.8,0.533333333,,319.04594,10,0.666666667,0.833333333,1.25,CRAM,,,0.545454545,,----,Aromatic,----,----,----,----,,319.11972,319.00000,0.11972
16,10,0,9,0,0,0.5,345.025205,,3871660,3859754,3680111,Yes,3803841.667,,0,0,0,No,0,,0.625,0.5625,,345.02520,12,0.75,1.2,1.333333333,O,,,0.652173913,,----,Aromatic,----,----,----,----,,345.10499,345.00000,0.10499
16,10,0,10,0,0,0.625,361.0201196,,5431096,5687806,5494194,Yes,5537698.667,,0,0,0,No,0,,0.625,0.625,,361.02012,12,0.75,1.2,1.2,O,,,0.636363636,,----,Aromatic,----,----,----,----,,361.10360,361.00000,0.10360
16,10,0,12,0,0,0.875,393.0099488,,3004448,3411793,3760908,Yes,3392383,,0,0,0,No,0,,0.625,0.75,,393.00995,12,0.75,1.2,1,O,,,0.6,,----,Aromatic,----,----,----,----,,393.10083,393.00000,0.10083
16,12,0,7,0,0,0.125,315.0510258,,1812739,1752624,1519021,Yes,1694794.667,,0,0,0,No,0,,0.75,0.4375,,315.05103,11,0.6875,0.916666667,1.571428571,O,,,0.6,,----,Aromatic,----,----,----,----,,315.12388,315.00000,0.12388
16,12,0,8,0,0,0.25,331.0459404,,3672534,3808959,3610624,Yes,3697372.333,,0,0,0,No,0,,0.75,0.5,,331.04594,11,0.6875,0.916666667,1.375,O,,,0.583333333,,----,Aromatic,----,----,----,----,,331.12249,331.00000,0.12249
