C,H,N,O,S,P,,mass,,PreHW1.csv,PreHW2.csv,PreHW3.csv,Initial,AvgInitial,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
17,12,0,11,0,0,,391.0306842,,9802948,11359795,7153498,Yes,,2706537,2916054,3300013,,0.705882353,0.647058824,,391.03068,12,0.705882353,1,1.090909091,O,,,0.565217391,,----,Aromatic,----,----,----,----,,391.12110,391.00000,0.12110
17,12,0,12,0,0,,407.0255988,,7196985,8014708,5072192,Yes,,NA,NA,NA,,0.705882353,0.705882353,,407.02560,12,0.705882353,1,1,O,,,0.545454545,,----,Aromatic,----,----,----,----,,407.11972,407.00000,0.11972
17,12,0,13,0,0,,423.0205134,,3572492,4230952,2614001,Yes,,NA,NA,NA,,0.705882353,0.764705882,,423.02051,12,0.705882353,1,0.923076923,O,,,0.523809524,,----,Aromatic,----,----,----,----,,423.11833,423.00000,0.11833
17,14,0,7,0,0,,329.0666758,,2879210,3247093,2006864,Yes,,NA,NA,NA,,0.823529412,0.411764706,,329.06668,11,0.647058824,0.785714286,1.571428571,CRAM,,,0.555555556,,----,Aromatic,----,----,----,----,,329.14277,329.00000,0.14277
17,14,0,8,0,0,,345.0615904,,6426644,6180317,3894363,Yes,,2330443,2887425,3165046,,0.823529412,0.470588235,,345.06159,11,0.647058824,0.785714286,1.375,CRAM,,,0.538461538,,----,Aromatic,----,----,----,----,,345.14138,345.00000,0.14138
17,14,0,9,0,0,,361.056505,,11051688,11136115,7545636,Yes,,3331572,3824810,4882499,,0.823529412,0.529411765,,361.05650,11,0.647058824,0.785714286,1.222222222,CRAM,,,0.52,,----,Aromatic,----,----,----,----,,361.13999,361.00000,0.13999
17,14,0,10,0,0,,377.0514196,,12939960,14339122,10543070,Yes,,3677379,4027243,4697208,,0.823529412,0.588235294,,377.05142,11,0.647058824,0.785714286,1.1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,377.13861,377.00000,0.13861
17,14,0,11,0,0,,393.0463342,,13625066,15241315,10035496,Yes,,2973922,3648250,4338906,,0.823529412,0.647058824,,393.04633,11,0.647058824,0.785714286,1,CRAM,,,0.47826087,,----,----,HUnSatLig,----,----,----,,393.13722,393.00000,0.13722
17,14,0,12,0,0,,409.0412488,,8925690,10624100,6900149,Yes,,NA,NA,NA,,0.823529412,0.705882353,,409.04125,11,0.647058824,0.785714286,0.916666667,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,409.13583,409.00000,0.13583
17,14,0,13,0,0,,425.0361634,,5067450,6090526,3817571,Yes,,NA,NA,NA,,0.823529412,0.764705882,,425.03616,11,0.647058824,0.785714286,0.846153846,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,425.13445,425.00000,0.13445
17,14,0,14,0,0,,441.031078,,2266065,2597001,1534460,Yes,,NA,NA,NA,,0.823529412,0.823529412,,441.03108,11,0.647058824,0.785714286,0.785714286,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,441.13306,441.00000,0.13306
17,15,1,8,0,0,,360.0724894,,2782508,2439419,1582816,Yes,,NA,NA,NA,,0.882352941,0.470588235,,360.07249,11,0.647058824,0.733333333,1.375,CRAM,,,0.541666667,,----,Aromatic,----,----,----,----,,360.15575,360.00000,0.15575
17,15,1,9,0,0,,376.067404,,3672396,2938057,2470051,Yes,,NA,NA,NA,,0.882352941,0.529411765,,376.06740,11,0.647058824,0.733333333,1.222222222,CRAM,,,0.52173913,,----,Aromatic,----,----,----,----,,376.15436,376.00000,0.15436
17,15,1,10,0,0,,392.0623186,,2965986,3040086,2347595,Yes,,NA,NA,NA,,0.882352941,0.588235294,,392.06232,11,0.647058824,0.733333333,1.1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,392.15298,392.00000,0.15298
17,16,0,7,0,0,,331.0823258,,4664007,4184050,3237545,Yes,,2040357,2861462,3257818,,0.941176471,0.411764706,,331.08233,10,0.588235294,0.625,1.428571429,CRAM,,,0.481481481,,----,----,HUnSatLig,----,----,----,,331.15888,331.00000,0.15888
17,16,0,8,0,0,,347.0772404,,7755433,8214652,5826158,Yes,,3462621,3242886,4259860,,0.941176471,0.470588235,,347.07724,10,0.588235294,0.625,1.25,CRAM,,,0.461538462,,----,----,HUnSatLig,----,----,----,,347.15750,347.00000,0.15750
17,16,0,9,0,0,,363.072155,,13266360,14321530,9649602,Yes,,5155599,5557135,5877592,,0.941176471,0.529411765,,363.07215,10,0.588235294,0.625,1.111111111,CRAM,,,0.44,,----,----,HUnSatLig,----,----,----,,363.15611,363.00000,0.15611
17,16,0,10,0,0,,379.0670696,,15277462,16539400,12565081,Yes,,4405196,4923942,6392667,,0.941176471,0.588235294,,379.06707,10,0.588235294,0.625,1,CRAM,,,0.416666667,,----,----,HUnSatLig,----,----,----,,379.15472,379.00000,0.15472
17,16,0,11,0,0,,395.0619842,,16933098,19096177,11539154,Yes,,4195645,4451584,5435107,,0.941176471,0.647058824,,395.06198,10,0.588235294,0.625,0.909090909,CRAM,,,0.391304348,,----,----,HUnSatLig,----,----,----,,395.15334,395.00000,0.15334
17,16,0,12,0,0,,411.0568988,,10961551,12119341,8296961,Yes,,2453182,2983936,3125487,,0.941176471,0.705882353,,411.05690,10,0.588235294,0.625,0.833333333,CRAM,,,0.363636364,,----,----,HUnSatLig,----,----,----,,411.15195,411.00000,0.15195
17,16,0,13,0,0,,427.0518134,,6018640,6856446,4349888,Yes,,NA,NA,NA,,0.941176471,0.764705882,,427.05181,10,0.588235294,0.625,0.769230769,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,427.15056,427.00000,0.15056
17,17,1,8,0,0,,362.0881394,,2849849,2540543,1556090,Yes,,NA,NA,NA,,1,0.470588235,,362.08814,10,0.588235294,0.588235294,1.25,CRAM,,,0.458333333,,----,----,HUnSatLig,----,----,----,,362.17187,362.00000,0.17187
17,17,1,9,0,0,,378.083054,,3384370,3489191,2323749,Yes,,NA,NA,NA,,1,0.529411765,,378.08305,10,0.588235294,0.588235294,1.111111111,CRAM,,,0.434782609,,----,----,HUnSatLig,----,----,----,,378.17048,378.00000,0.17048
17,17,1,10,0,0,,394.0779686,,3404789,3270005,2243591,Yes,,NA,NA,NA,,1,0.588235294,,394.07797,10,0.588235294,0.588235294,1,CRAM,,,0.409090909,,----,----,HUnSatLig,----,----,----,,394.16909,394.00000,0.16909
17,17,1,11,0,0,,410.0728832,,2333771,2141392,1548257,Yes,,NA,NA,NA,,1,0.647058824,,410.07288,10,0.588235294,0.588235294,0.909090909,CRAM,,,0.380952381,,----,----,HUnSatLig,----,----,----,,410.16771,410.00000,0.16771
17,18,0,7,0,0,,333.0979758,,4581050,4544515,3260438,Yes,,2930702,3030937,3640792,,1.058823529,0.411764706,,333.09798,9,0.529411765,0.5,1.285714286,CRAM,,,0.407407407,,----,----,HUnSatLig,----,----,----,,333.17500,333.00000,0.17500
17,18,0,8,0,0,,349.0928904,,8757590,8547120,6309021,Yes,,4566665,4906016,5660362,,1.058823529,0.470588235,,349.09289,9,0.529411765,0.5,1.125,CRAM,,,0.384615385,,----,----,HUnSatLig,----,----,----,,349.17361,349.00000,0.17361
17,18,0,9,0,0,,365.087805,,15104203,15022723,10428517,Yes,,5908017,6626935,7282287,,1.058823529,0.529411765,,365.08780,9,0.529411765,0.5,1,CRAM,,,0.36,,----,----,HUnSatLig,----,----,----,,365.17223,365.00000,0.17223
17,18,0,10,0,0,,381.0827196,,16179298,17592782,12532931,Yes,,5013191,5947601,7047724,,1.058823529,0.588235294,,381.08272,9,0.529411765,0.5,0.9,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,381.17084,381.00000,0.17084
17,18,0,11,0,0,,397.0776342,,15467202,15938651,9643094,Yes,,3665783,4063973,5358789,,1.058823529,0.647058824,,397.07763,9,0.529411765,0.5,0.818181818,CRAM,,,0.304347826,,----,----,HUnSatLig,----,----,----,,397.16945,397.00000,0.16945
17,18,0,12,0,0,,413.0725488,,10076922,11597265,7260709,Yes,,1942473,2395328,2942318,,1.058823529,0.705882353,,413.07255,9,0.529411765,0.5,0.75,O,,,0.272727273,,----,----,HUnSatLig,----,----,----,,413.16807,413.00000,0.16807
17,18,0,13,0,0,,429.0674634,,5917138,6094540,3424011,Yes,,NA,NA,NA,,1.058823529,0.764705882,,429.06746,9,0.529411765,0.5,0.692307692,O,,,0.238095238,,----,----,HUnSatLig,----,----,----,,429.16668,429.00000,0.16668
17,19,1,8,0,0,,364.1037894,,2622282,1817607,1825051,Yes,,NA,NA,NA,,1.117647059,0.470588235,,364.10379,9,0.529411765,0.473684211,1.125,CRAM,,,0.375,,----,----,HUnSatLig,----,----,----,,364.18798,364.00000,0.18798
17,19,1,9,0,0,,380.098704,,3543815,3315829,2762136,Yes,,NA,NA,NA,,1.117647059,0.529411765,,380.09870,9,0.529411765,0.473684211,1,CRAM,,,0.347826087,,----,----,HUnSatLig,----,----,----,,380.18660,380.00000,0.18660
17,19,1,10,0,0,,396.0936186,,3228641,2506097,1853342,Yes,,NA,NA,NA,,1.117647059,0.588235294,,396.09362,9,0.529411765,0.473684211,0.9,CRAM,,,0.318181818,,----,----,HUnSatLig,----,----,----,,396.18521,396.00000,0.18521
17,20,0,6,0,0,,319.1187112,,3037899,2045216,1753508,Yes,,1982577,1969660,2057117,,1.176470588,0.352941176,,319.11871,8,0.470588235,0.4,1.333333333,CRAM,,,0.357142857,,----,----,HUnSatLig,----,----,----,,319.19250,319.00000,0.19250
17,20,0,7,0,0,,335.1136258,,6458561,4879911,4248471,Yes,,3696654,4512173,5219819,,1.176470588,0.411764706,,335.11363,8,0.470588235,0.4,1.142857143,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,335.19112,335.00000,0.19112
17,20,0,8,0,0,,351.1085404,,10064922,9090552,6961891,Yes,,6888781,6392522,7490965,,1.176470588,0.470588235,,351.10854,8,0.470588235,0.4,1,CRAM,,,0.307692308,,----,----,HUnSatLig,----,----,----,,351.18973,351.00000,0.18973
17,20,0,9,0,0,,367.103455,,16784350,16330123,10771210,Yes,,7886167,8065374,8864136,,1.176470588,0.529411765,,367.10345,8,0.470588235,0.4,0.888888889,CRAM,,,0.28,,----,----,HUnSatLig,----,----,----,,367.18834,367.00000,0.18834
17,20,0,10,0,0,,383.0983696,,15500057,16397440,10977050,Yes,,5927347,6670188,6899944,,1.176470588,0.588235294,,383.09837,8,0.470588235,0.4,0.8,CRAM,,,0.25,,----,----,HUnSatLig,----,----,----,,383.18696,383.00000,0.18696
17,20,0,11,0,0,,399.0932842,,12756080,13559327,8615344,Yes,,3416461,3432615,4243069,,1.176470588,0.647058824,,399.09328,8,0.470588235,0.4,0.727272727,O,,,0.217391304,,----,----,HUnSatLig,----,----,----,,399.18557,399.00000,0.18557
17,20,0,12,0,0,,415.0881988,,7725888,7962195,5247524,Yes,,2016949,1778019,1687241,,1.176470588,0.705882353,,415.08820,8,0.470588235,0.4,0.666666667,O,,,0.181818182,,----,----,HUnSatLig,----,----,----,,415.18418,415.00000,0.18418
17,20,0,13,0,0,,431.0831134,,4625731,5488264,3153479,Yes,,NA,NA,NA,,1.176470588,0.764705882,,431.08311,8,0.470588235,0.4,0.615384615,O,,,0.142857143,,----,----,HUnSatLig,----,----,----,,431.18280,431.00000,0.18280
17,20,2,9,0,0,,395.109603,,2129654,1817469,1640924,Yes,,NA,NA,NA,,1.176470588,0.529411765,,395.10960,9,0.529411765,0.45,1,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,395.20097,395.00000,0.20097
17,21,1,8,0,0,,366.1194394,,2191454,1871376,1483711,Yes,,NA,NA,NA,,1.235294118,0.470588235,,366.11944,8,0.470588235,0.380952381,1,CRAM,,,0.291666667,,----,----,HUnSatLig,----,----,----,,366.20410,366.00000,0.20410
17,21,1,10,0,0,,398.1092686,,2910628,2071368,1713932,Yes,,NA,NA,NA,,1.235294118,0.588235294,,398.10927,8,0.470588235,0.380952381,0.8,CRAM,,,0.227272727,,----,----,HUnSatLig,----,----,----,,398.20133,398.00000,0.20133
17,21,1,11,0,0,,414.1041832,,1933090,1859608,1666089,Yes,,NA,NA,NA,,1.235294118,0.647058824,,414.10418,8,0.470588235,0.380952381,0.727272727,O,,,0.19047619,,----,----,HUnSatLig,----,----,----,,414.19994,414.00000,0.19994
17,21,3,7,0,0,,378.1306728,,1910339,2119608,1681716,Yes,,NA,NA,NA,,1.235294118,0.411764706,,378.13067,9,0.529411765,0.428571429,1.285714286,CRAM,,,0.380952381,,----,----,HUnSatLig,----,----,----,,378.21811,378.00000,0.21811
17,22,0,6,0,0,,321.1343612,,3514957,3179721,2602668,Yes,,3168228,3569822,3569449,,1.294117647,0.352941176,,321.13436,7,0.411764706,0.318181818,1.166666667,CRAM,,,0.285714286,,----,----,HUnSatLig,----,----,----,,321.20862,321.00000,0.20862
17,22,0,7,0,0,,337.1292758,,7285470,6172766,4337967,Yes,,6220837,6352339,7219221,,1.294117647,0.411764706,,337.12928,7,0.411764706,0.318181818,1,CRAM,,,0.259259259,,----,----,HUnSatLig,----,----,----,,337.20723,337.00000,0.20723
17,22,0,8,0,0,,353.1241904,,10510065,9826511,8051007,Yes,,8093733,8152452,9385076,,1.294117647,0.470588235,,353.12419,7,0.411764706,0.318181818,0.875,CRAM,,,0.230769231,,----,----,HUnSatLig,----,----,----,,353.20585,353.00000,0.20585
17,22,0,9,0,0,,369.119105,,12871408,12497041,9295279,Yes,,9027710,8807492,9792669,,1.294117647,0.529411765,,369.11910,7,0.411764706,0.318181818,0.777777778,CRAM,,,0.2,,----,----,HUnSatLig,----,----,----,,369.20446,369.00000,0.20446
17,22,0,10,0,0,,385.1140196,,12443063,12158748,8632666,Yes,,6665357,5615090,6530956,,1.294117647,0.588235294,,385.11402,7,0.411764706,0.318181818,0.7,O,,,0.166666667,,----,----,HUnSatLig,----,----,----,,385.20307,385.00000,0.20307
17,22,0,11,0,0,,401.1089342,,10470895,10577850,7857885,Yes,,2351997,2757701,3312135,,1.294117647,0.647058824,,401.10893,7,0.411764706,0.318181818,0.636363636,O,,,0.130434783,,----,----,HUnSatLig,----,----,----,,401.20168,401.00000,0.20168
17,22,0,12,0,0,,417.1038488,,4788065,5136051,3545601,Yes,,NA,NA,NA,,1.294117647,0.705882353,,417.10385,7,0.411764706,0.318181818,0.583333333,O,,,0.090909091,,----,----,HUnSatLig,----,----,----,,417.20030,417.00000,0.20030
17,22,0,13,0,0,,433.0987634,,2024100,2407477,1742711,Yes,,NA,NA,NA,,1.294117647,0.764705882,,433.09876,7,0.411764706,0.318181818,0.538461538,O,,,0.047619048,,----,----,HUnSatLig,----,----,----,,433.19891,433.00000,0.19891
17,22,2,6,0,0,,349.1405092,,1653095,1702977,1447338,Yes,,1890969,1703216,1691098,,1.294117647,0.352941176,,349.14051,8,0.470588235,0.363636364,1.333333333,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,349.22124,349.00000,0.22124
17,23,1,9,0,0,,384.130004,,2232947,2127321,1819715,Yes,,2603819,1968825,1913157,,1.352941176,0.529411765,,384.13000,7,0.411764706,0.304347826,0.777777778,CRAM,,,0.173913043,,----,----,HUnSatLig,----,----,----,,384.21883,384.00000,0.21883
17,23,3,7,0,0,,380.1463228,,3212056,2557574,2298790,Yes,,2170214,1924502,2074079,,1.352941176,0.411764706,,380.14632,8,0.470588235,0.347826087,1.142857143,CRAM,,,0.285714286,,----,----,HUnSatLig,----,----,----,,380.23423,380.00000,0.23423
17,23,3,8,0,0,,396.1412374,,1836524,2152316,1556391,Yes,,NA,NA,NA,,1.352941176,0.470588235,,396.14124,8,0.470588235,0.347826087,1,CRAM,,,0.25,,----,----,HUnSatLig,----,----,----,,396.23284,396.00000,0.23284
17,24,0,6,0,0,,323.1500112,,3587553,3062403,2761155,Yes,,4647785,4599888,4898503,,1.411764706,0.352941176,,323.15001,6,0.352941176,0.25,1,CRAM,,,0.214285714,,----,----,HUnSatLig,----,----,----,,323.22473,323.00000,0.22473
17,24,0,7,0,0,,339.1449258,,7554322,6862505,5139165,Yes,,7552596,7224332,8575572,,1.411764706,0.411764706,,339.14493,6,0.352941176,0.25,0.857142857,CRAM,,,0.185185185,,----,----,HUnSatLig,----,----,----,,339.22335,339.00000,0.22335
17,24,0,8,0,0,,355.1398404,,9593305,8141750,7294894,Yes,,9222928,8292428,9863011,,1.411764706,0.470588235,,355.13984,6,0.352941176,0.25,0.75,O,,,0.153846154,,----,----,HUnSatLig,----,----,----,,355.22196,355.00000,0.22196
17,24,0,9,0,0,,371.134755,,9896444,8549267,6805585,Yes,,7314340,6598437,9291694,,1.411764706,0.529411765,,371.13475,6,0.352941176,0.25,0.666666667,O,,,0.12,,----,----,HUnSatLig,----,----,----,,371.22057,371.00000,0.22057
17,24,0,10,0,0,,387.1296696,,7661628,6388129,4984705,Yes,,3651410,3378275,4005399,,1.411764706,0.588235294,,387.12967,6,0.352941176,0.25,0.6,O,,,0.083333333,,----,----,HUnSatLig,----,----,----,,387.21919,387.00000,0.21919
17,24,0,11,0,0,,403.1245842,,5448510,4327722,3327964,Yes,,2604357,2949051,3031395,,1.411764706,0.647058824,,403.12458,6,0.352941176,0.25,0.545454545,O,,,0.043478261,,----,----,HUnSatLig,----,----,----,,403.21780,403.00000,0.21780
17,24,0,12,0,0,,419.1194988,,2556257,2616566,1965503,Yes,,1707066,1765206,2053660,,1.411764706,0.705882353,,419.11950,6,0.352941176,0.25,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,419.21641,419.00000,0.21641
17,24,0,13,0,0,,435.1144134,,3557880,3704277,2746012,Yes,,3018060,3053889,2713589,,1.411764706,0.764705882,,435.11441,6,0.352941176,0.25,0.461538462,O,,,-0.047619048,,----,----,HUnSatLig,----,----,----,,435.21503,435.00000,0.21503
17,24,4,7,0,0,,395.1572218,,1884929,2345609,1696997,Yes,,NA,NA,NA,,1.411764706,0.411764706,,395.15722,8,0.470588235,0.333333333,1.142857143,CRAM,,,0.263157895,,----,----,HUnSatLig,----,----,----,,395.24860,395.00000,0.24860
17,25,3,4,0,0,,334.177229,,1785805,2107430,2060513,Yes,,3367198,3091124,3186930,,1.470588235,0.235294118,,334.17723,7,0.411764706,0.28,1.75,CRAM,,,0.291666667,,----,----,HUnSatLig,----,----,----,,334.25450,334.00000,0.25450
17,25,3,5,0,0,,350.1721436,,2468047,2660523,1770962,Yes,,3189761,3943307,3259462,,1.470588235,0.294117647,,350.17214,7,0.411764706,0.28,1.4,CRAM,,,0.260869565,,----,----,HUnSatLig,----,----,----,,350.25312,350.00000,0.25312
17,25,3,6,0,0,,366.1670582,,3127409,3056675,2161103,Yes,,3204064,3364357,3226648,,1.470588235,0.352941176,,366.16706,7,0.411764706,0.28,1.166666667,CRAM,,,0.227272727,,----,----,HUnSatLig,----,----,----,,366.25173,366.00000,0.25173
17,25,3,7,0,0,,382.1619728,,3168729,2858306,2011398,Yes,,2405978,2697272,3008421,,1.470588235,0.411764706,,382.16197,7,0.411764706,0.28,1,CRAM,,,0.19047619,,----,----,HUnSatLig,----,----,----,,382.25034,382.00000,0.25034
17,25,3,8,0,0,,398.1568874,,3874734,4060498,2846484,Yes,,3372185,2813915,3065782,,1.470588235,0.470588235,,398.15689,7,0.411764706,0.28,0.875,CRAM,,,0.15,,----,----,HUnSatLig,----,----,----,,398.24896,398.00000,0.24896
17,26,0,5,0,0,,309.1707466,,1948730,1693386,1657914,Yes,,4519486,4273079,4184300,,1.529411765,0.294117647,,309.17075,5,0.294117647,0.192307692,1,O,,,0.172413793,,----,----,----,AlipatNoN,----,----,,309.24224,309.00000,0.24224
17,26,0,6,0,0,,325.1656612,,3605382,3388493,2793704,Yes,,5247234,5037586,5508215,,1.529411765,0.352941176,,325.16566,5,0.294117647,0.192307692,0.833333333,O,,,0.142857143,,----,----,----,AlipatNoN,----,----,,325.24085,325.00000,0.24085
17,26,0,7,0,0,,341.1605758,,7204702,6097161,5540003,Yes,,10223771,8922712,10073259,,1.529411765,0.411764706,,341.16058,5,0.294117647,0.192307692,0.714285714,O,,,0.111111111,,----,----,----,AlipatNoN,----,----,,341.23946,341.00000,0.23946
17,26,0,8,0,0,,357.1554904,,8635599,7866023,6713901,Yes,,8926731,8741662,9441887,,1.529411765,0.470588235,,357.15549,5,0.294117647,0.192307692,0.625,O,,,0.076923077,,----,----,----,AlipatNoN,----,----,,357.23808,357.00000,0.23808
17,26,0,9,0,0,,373.150405,,7146753,6065805,4743917,Yes,,6273734,5230080,5694135,,1.529411765,0.529411765,,373.15040,5,0.294117647,0.192307692,0.555555556,O,,,0.04,,----,----,----,AlipatNoN,----,----,,373.23669,373.00000,0.23669
17,26,0,10,0,0,,389.1453196,,4066978,3612683,2163596,Yes,,2371583,2575548,2450564,,1.529411765,0.588235294,,389.14532,5,0.294117647,0.192307692,0.5,O,,,0,,----,----,----,AlipatNoN,----,----,,389.23530,389.00000,0.23530
17,26,0,11,0,0,,405.1402342,,2065243,2025837,1731498,Yes,,NA,NA,NA,,1.529411765,0.647058824,,405.14023,5,0.294117647,0.192307692,0.454545455,O,,,-0.043478261,,----,----,----,----,SatFACarb,----,,405.23392,405.00000,0.23392
17,26,0,12,0,0,,421.1351488,,2462019,3057948,1788257,Yes,,2723543,2869932,2642458,,1.529411765,0.705882353,,421.13515,5,0.294117647,0.192307692,0.416666667,O,,,-0.090909091,,----,----,----,----,SatFACarb,----,,421.23253,421.00000,0.23253
17,26,0,13,0,0,,437.1300634,,2531651,3084139,1915835,Yes,,3527042,2979634,2514810,,1.529411765,0.764705882,,437.13006,5,0.294117647,0.192307692,0.384615385,O,,,-0.142857143,,----,----,----,----,SatFACarb,----,,437.23114,437.00000,0.23114
17,26,0,14,0,0,,453.124978,,6397300,6656438,4222200,Yes,,7203742,7539495,6620205,,1.529411765,0.823529412,,453.12498,5,0.294117647,0.192307692,0.357142857,O,,,-0.2,,----,----,----,----,SatFACarb,----,,453.22976,453.00000,0.22976
17,26,0,15,0,0,,469.1198926,,2341552,3196969,2011672,Yes,,2226091,3046621,2569585,,1.529411765,0.882352941,,469.11989,5,0.294117647,0.192307692,0.333333333,O,,,-0.263157895,,----,----,----,----,SatFACarb,----,,469.22837,469.00000,0.22837
17,26,4,7,0,0,,397.1728718,,3451608,3442802,2335847,Yes,,3814289,3614459,3856603,,1.529411765,0.411764706,,397.17287,7,0.411764706,0.269230769,1,CRAM,,,0.157894737,,----,----,----,----,----,Alipat+N,,397.26471,397.00000,0.26471
17,26,4,8,0,0,,413.1677864,,3621630,4163032,2346533,Yes,,3610581,3493577,3235187,,1.529411765,0.470588235,,413.16779,7,0.411764706,0.269230769,0.875,CRAM,,,0.111111111,,----,----,----,----,----,Alipat+N,,413.26333,413.00000,0.26333
17,27,2,11,0,1,,465.1279687,,2713839,4078641,2307144,Yes,,3785636,4260210,3387528,,1.588235294,0.647058824,,465.12797,6,0.352941176,0.222222222,0.545454545,O,,,-0.117647059,,----,----,----,----,SatFACarb,----,,465.23552,465.00000,0.23552
17,27,3,6,0,0,,368.1827082,,2302851,2790698,2050933,Yes,,4013319,3543276,4208431,,1.588235294,0.352941176,,368.18271,6,0.352941176,0.222222222,1,CRAM,,,0.136363636,,----,----,----,----,----,Alipat+N,,368.26785,368.00000,0.26785
17,27,3,7,0,0,,384.1776228,,3963011,4197865,3273297,Yes,,5784380,5551304,6137429,,1.588235294,0.411764706,,384.17762,6,0.352941176,0.222222222,0.857142857,CRAM,,,0.095238095,,----,----,----,----,----,Alipat+N,,384.26646,384.00000,0.26646
17,27,3,8,0,0,,400.1725374,,4452675,4988673,2941015,Yes,,3827355,4760969,4485974,,1.588235294,0.470588235,,400.17254,6,0.352941176,0.222222222,0.75,O,,,0.05,,----,----,----,----,----,Alipat+N,,400.26507,400.00000,0.26507
17,27,3,9,0,0,,416.167452,,3204950,3069578,1970709,Yes,,2348584,2720686,2520043,,1.588235294,0.529411765,,416.16745,6,0.352941176,0.222222222,0.666666667,O,,,0,,----,----,----,----,----,Alipat+N,,416.26368,416.00000,0.26368
17,27,5,7,0,0,,412.1837708,,1643216,2100109,1688601,Yes,,2562391,2724976,2326331,,1.588235294,0.411764706,,412.18377,7,0.411764706,0.259259259,1,CRAM,,,0.117647059,,----,----,----,----,----,Alipat+N,,412.27908,412.00000,0.27908
17,27,5,11,1,0,,508.1354999,,3842462,4731614,2099928,Yes,,6919685,7521228,5609020,,1.588235294,0.647058824,,508.13550,7,0.411764706,0.259259259,0.636363636,O,,,-0.363636364,,----,----,----,----,SatFACarb,----,,508.25300,508.00000,0.25300
17,28,0,3,1,0,,311.1686381,,7529840,9927976,5528073,Yes,,19527518,17826579,11620902,,1.647058824,0.176470588,,311.16864,4,0.235294118,0.142857143,1.333333333,O,,,0.103448276,,----,----,----,AlipatNoN,----,----,,311.24059,311.00000,0.24059
17,28,0,6,0,0,,327.1813112,,3501885,2966056,2098718,Yes,,4852398,5115875,5702201,,1.647058824,0.352941176,,327.18131,4,0.235294118,0.142857143,0.666666667,O,,,0.071428571,,----,----,----,AlipatNoN,----,----,,327.25697,327.00000,0.25697
17,28,0,7,0,0,,343.1762258,,6301122,6069118,4200067,Yes,,7536379,8018103,8212250,,1.647058824,0.411764706,,343.17623,4,0.235294118,0.142857143,0.571428571,O,,,0.037037037,,----,----,----,AlipatNoN,----,----,,343.25558,343.00000,0.25558
17,28,0,8,0,0,,359.1711404,,6734801,6155683,5521593,Yes,,9672979,8193528,10491238,,1.647058824,0.470588235,,359.17114,4,0.235294118,0.142857143,0.5,O,,,0,,----,----,----,AlipatNoN,----,----,,359.25419,359.00000,0.25419
17,28,0,9,0,0,,375.166055,,5040123,4263293,3407232,Yes,,5243362,4586706,4676022,,1.647058824,0.529411765,,375.16605,4,0.235294118,0.142857143,0.444444444,O,,,-0.04,,----,----,----,AlipatNoN,----,----,,375.25281,375.00000,0.25281
17,28,0,10,0,0,,391.1609696,,4185321,3099224,2112377,Yes,,4455571,3571962,3223762,,1.647058824,0.588235294,,391.16097,4,0.235294118,0.142857143,0.4,O,,,-0.083333333,,----,----,----,AlipatNoN,----,----,,391.25142,391.00000,0.25142
17,28,0,12,0,0,,423.1507988,,2794248,2193704,2200808,Yes,,4413278,4568812,3779072,,1.647058824,0.705882353,,423.15080,4,0.235294118,0.142857143,0.333333333,O,,,-0.181818182,,----,----,----,----,SatFACarb,----,,423.24865,423.00000,0.24865
17,28,0,13,0,0,,439.1457134,,6170246,5662969,4085461,Yes,,9064885,8977184,8759035,,1.647058824,0.764705882,,439.14571,4,0.235294118,0.142857143,0.307692308,O,,,-0.238095238,,----,----,----,----,SatFACarb,----,,439.24726,439.00000,0.24726
17,28,0,14,0,0,,455.140628,,17023193,16771410,11396173,Yes,,26158100,25000790,21672958,,1.647058824,0.823529412,,455.14063,4,0.235294118,0.142857143,0.285714286,O,,,-0.3,,----,----,----,----,SatFACarb,----,,455.24587,455.00000,0.24587
17,28,0,15,0,0,,471.1355426,,8904360,7743545,5531166,Yes,,4783822,6285231,5580294,,1.647058824,0.882352941,,471.13554,4,0.235294118,0.142857143,0.266666667,O,,,-0.368421053,,----,----,----,----,SatFACarb,----,,471.24449,471.00000,0.24449
17,28,4,6,0,0,,383.1936072,,3839801,4172960,2760501,Yes,,4741590,5812107,4460808,,1.647058824,0.352941176,,383.19361,6,0.352941176,0.214285714,1,CRAM,,,0.1,,----,----,----,----,----,Alipat+N,,383.28222,383.00000,0.28222
