C,H,N,O,S,P,,mass,,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,Initial,AvgInitial,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv,AvgFinal,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,16,0,9,0,0,,327.072155,,4347711,4410956,4055533,Yes,4271400,1825189,1770064,2517502,2037585,1.142857143,0.642857143,,327.07215,7,0.5,0.4375,0.777777778,CRAM,,,0.263157895,,----,----,HUnSatLig,----,----,----,,327.14779,327,0.14779
14,16,0,10,0,0,,343.0670696,,7016493,7088284,6201591,Yes,6768789.333,2001418,1783044,1700822,1828428,1.142857143,0.714285714,,343.06707,7,0.5,0.4375,0.7,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,343.1464,343,0.1464
14,16,0,11,0,0,,359.0619842,,8655946,8240869,7830382,Yes,8242399,0,0,0,0,1.142857143,0.785714286,,359.06198,7,0.5,0.4375,0.636363636,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,359.14501,359,0.14501
14,16,0,12,0,0,,375.0568988,,6944183,6246005,5731342,Yes,6307176.667,0,0,0,0,1.142857143,0.857142857,,375.0569,7,0.5,0.4375,0.583333333,O,,,0.125,,----,----,HUnSatLig,----,----,----,,375.14363,375,0.14363
14,16,0,13,0,0,,391.0518134,,3219855,2991411,2580359,Yes,2930541.667,0,0,0,0,1.142857143,0.928571429,,391.05181,7,0.5,0.4375,0.538461538,O,,,0.066666667,,----,----,HUnSatLig,----,----,----,,391.14224,391,0.14224
14,18,0,9,0,0,,329.087805,,5214389,4937699,4581709,Yes,4911265.667,2958475,3005166,3117730,3027123.667,1.285714286,0.642857143,,329.0878,6,0.428571429,0.333333333,0.666666667,O,,,0.157894737,,----,----,HUnSatLig,----,----,----,,329.1639,329,0.1639
14,18,0,10,0,0,,345.0827196,,6489610,6142645,5659391,Yes,6097215.333,2960721,2237491,2496007,2564739.667,1.285714286,0.714285714,,345.08272,6,0.428571429,0.333333333,0.6,O,,,0.111111111,,----,----,HUnSatLig,----,----,----,,345.16251,345,0.16251
14,18,0,11,0,0,,361.0776342,,7589497,7241056,5911045,Yes,6913866,0,0,0,0,1.285714286,0.785714286,,361.07763,6,0.428571429,0.333333333,0.545454545,O,,,0.058823529,,----,----,HUnSatLig,----,----,----,,361.16113,361,0.16113
14,18,0,12,0,0,,377.0725488,,7172059,6754511,5454474,Yes,6460348,0,0,0,0,1.285714286,0.857142857,,377.07255,6,0.428571429,0.333333333,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,377.15974,377,0.15974
14,18,0,13,0,0,,393.0674634,,6573900,5860583,3916605,Yes,5450362.667,0,0,0,0,1.285714286,0.928571429,,393.06746,6,0.428571429,0.333333333,0.461538462,O,,,-0.066666667,,----,----,HUnSatLig,----,----,----,,393.15835,393,0.15835
14,19,1,11,0,0,,376.0885332,,2889936,3421099,2725206,Yes,3012080.333,0,0,0,0,1.357142857,0.785714286,,376.08853,6,0.428571429,0.315789474,0.545454545,O,,,0,,----,----,HUnSatLig,----,----,----,,376.1755,376,0.1755
14,20,0,9,0,0,,331.103455,,4745783,4552073,3396799,Yes,4231551.667,2897022,3099292,2850391,2948901.667,1.428571429,0.642857143,,331.10345,5,0.357142857,0.25,0.555555556,O,,,0.052631579,,----,----,HUnSatLig,----,----,----,,331.18002,331,0.18002
14,20,0,10,0,0,,347.0983696,,5235701,5090528,4301089,Yes,4875772.667,2110885,2168950,2973260,2417698.333,1.428571429,0.714285714,,347.09837,5,0.357142857,0.25,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,347.17863,347,0.17863
14,20,0,11,0,0,,363.0932842,,11122859,9571294,8022178,Yes,9572110.333,7350566,6151271,6595151,6698996,1.428571429,0.785714286,,363.09328,5,0.357142857,0.25,0.454545455,O,,,-0.058823529,,----,----,HUnSatLig,----,----,----,,363.17724,363,0.17724
14,20,0,12,0,0,,379.0881988,,15350264,14679835,11713783,Yes,13914627.33,4893745,5338244,4764362,4998783.667,1.428571429,0.857142857,,379.0882,5,0.357142857,0.25,0.416666667,O,,,-0.125,,----,----,HUnSatLig,----,----,----,,379.17586,379,0.17586
14,20,0,13,0,0,,395.0831134,,14276854,15576700,9604302,Yes,13152618.67,2754433,3405324,2913114,3024290.333,1.428571429,0.928571429,,395.08311,5,0.357142857,0.25,0.384615385,O,,,-0.2,,----,----,HUnSatLig,----,----,----,,395.17447,395,0.17447
14,20,0,14,0,0,,411.078028,,8526553,8691216,5836554,Yes,7684774.333,0,0,0,0,1.428571429,1,,411.07803,5,0.357142857,0.25,0.357142857,O,,,-0.285714286,,----,----,HUnSatLig,----,----,----,,411.17308,411,0.17308
14,21,1,10,0,0,,362.1092686,,2979736,3293350,2534747,Yes,2935944.333,2409454,2886431,2500869,2598918,1.5,0.714285714,,362.10927,5,0.357142857,0.238095238,0.5,O,,,-0.0625,,----,----,----,----,SatFACarb,----,,362.193,362,0.193
14,21,1,11,0,0,,378.1041832,,5686513,6303230,4151242,Yes,5380328.333,4030232,4068188,3537305,3878575,1.5,0.785714286,,378.10418,5,0.357142857,0.238095238,0.454545455,O,,,-0.133333333,,----,----,----,----,SatFACarb,----,,378.19161,378,0.19161
14,21,1,12,0,0,,394.0990978,,5601321,5965242,4191247,Yes,5252603.333,0,0,0,0,1.5,0.857142857,,394.0991,5,0.357142857,0.238095238,0.416666667,O,,,-0.214285714,,----,----,----,----,SatFACarb,----,,394.19023,394,0.19023
14,21,3,7,0,0,,342.1306728,,2935636,3135913,2752014,Yes,2941187.667,4477951,4862728,4511960,4617546.333,1.5,0.5,,342.13067,6,0.428571429,0.285714286,0.857142857,CRAM,,,0.133333333,,----,----,----,----,----,Alipat+N,,342.20979,342,0.20979
14,21,3,8,0,0,,358.1255874,,3265352,3228096,2795069,Yes,3096172.333,3440381,4044280,3207639,3564100,1.5,0.571428571,,358.12559,6,0.428571429,0.285714286,0.75,O,,,0.071428571,,----,----,----,----,----,Alipat+N,,358.2084,358,0.2084
14,21,3,9,0,0,,374.120502,,3402933,2604890,2649826,Yes,2885883,0,0,0,0,1.5,0.642857143,,374.1205,6,0.428571429,0.285714286,0.666666667,O,,,0,,----,----,----,----,SatFACarb,----,,374.20701,374,0.20701
14,22,0,9,0,0,,333.119105,,3108804,3274046,2515524,Yes,2966124.667,2852477,2834523,3021339,2902779.667,1.571428571,0.642857143,,333.1191,4,0.285714286,0.181818182,0.444444444,O,,,-0.052631579,,----,----,----,----,SatFACarb,----,,333.19613,333,0.19613
14,22,0,10,0,0,,349.1140196,,4524526,4518685,3863388,Yes,4302199.667,3250692,3399885,3183780,3278119,1.571428571,0.714285714,,349.11402,4,0.285714286,0.181818182,0.4,O,,,-0.111111111,,----,----,----,----,SatFACarb,----,,349.19475,349,0.19475
14,22,0,11,0,0,,365.1089342,,9259744,9438813,7746370,Yes,8814975.667,7381924,8832774,8552693,8255797,1.571428571,0.785714286,,365.10893,4,0.285714286,0.181818182,0.363636364,O,,,-0.176470588,,----,----,----,----,SatFACarb,----,,365.19336,365,0.19336
14,22,0,12,0,0,,381.1038488,,26971148,26636631,21438290,Yes,25015356.33,16766565,16343762,14538031,15882786,1.571428571,0.857142857,,381.10385,4,0.285714286,0.181818182,0.333333333,O,,,-0.25,,----,----,----,----,SatFACarb,----,,381.19197,381,0.19197
14,22,0,13,0,0,,397.0987634,,27908746,29655026,22855222,Yes,26806331.33,8508673,8929649,8998129,8812150.333,1.571428571,0.928571429,,397.09876,4,0.285714286,0.181818182,0.307692308,O,,,-0.333333333,,----,----,----,----,SatFACarb,----,,397.19059,397,0.19059
14,22,0,14,0,0,,413.093678,,10697642,12420707,9270030,Yes,10796126.33,0,0,0,0,1.571428571,1,,413.09368,4,0.285714286,0.181818182,0.285714286,O,,,-0.428571429,,----,----,----,----,SatFACarb,----,,413.1892,413,0.1892
14,22,2,9,0,0,,361.125253,,3166342,3009903,2561044,Yes,2912429.667,2050229,3272152,1964988,2429123,1.571428571,0.642857143,,361.12525,5,0.357142857,0.227272727,0.555555556,O,,,-0.066666667,,----,----,----,----,SatFACarb,----,,361.20876,361,0.20876
