mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
353.0150342,353.01503,14,10,0,11,0,0,0.714285714,0.785714286,10,0.714285714,1,0.909090909,O,0.529411765,----,Aromatic,----,----,----,----,353.09666,353,0.09666,2813923,3377053,3699177,0,0,0
339.0357696,339.03577,14,12,0,10,0,0,0.857142857,0.714285714,9,0.642857143,0.75,0.9,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,339.11417,339,0.11417,3999389,3191455,4128047,0,0,0
355.0306842,355.03068,14,12,0,11,0,0,0.857142857,0.785714286,9,0.642857143,0.75,0.818181818,CRAM,0.411764706,----,----,HUnSatLig,----,----,----,355.11278,355,0.11278,4512765,4638209,5226077,0,0,0
371.0255988,371.0256,14,12,0,12,0,0,0.857142857,0.857142857,9,0.642857143,0.75,0.75,O,0.375,----,----,HUnSatLig,----,----,----,371.11139,371,0.11139,4376923,3905954,4598514,0,0,0
325.056505,325.0565,14,14,0,9,0,0,1,0.642857143,8,0.571428571,0.571428571,0.888888889,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,325.13167,325,0.13167,2993620,3257540,3089566,0,0,0
341.0514196,341.05142,14,14,0,10,0,0,1,0.714285714,8,0.571428571,0.571428571,0.8,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,341.13028,341,0.13028,5338718,5334677,5624583,0,0,0
357.0463342,357.04633,14,14,0,11,0,0,1,0.785714286,8,0.571428571,0.571428571,0.727272727,O,0.294117647,----,----,HUnSatLig,----,----,----,357.1289,357,0.1289,7424544,6581359,6612192,0,0,0
373.0412488,373.04125,14,14,0,12,0,0,1,0.857142857,8,0.571428571,0.571428571,0.666666667,O,0.25,----,----,HUnSatLig,----,----,----,373.12751,373,0.12751,6699915,6487056,6253957,0,0,0
389.0361634,389.03616,14,14,0,13,0,0,1,0.928571429,8,0.571428571,0.571428571,0.615384615,O,0.2,----,----,HUnSatLig,----,----,----,389.12612,389,0.12612,2958272,2758499,2906543,0,0,0
327.072155,327.07215,14,16,0,9,0,0,1.142857143,0.642857143,7,0.5,0.4375,0.777777778,CRAM,0.263157895,----,----,HUnSatLig,----,----,----,327.14779,327,0.14779,4347711,4410956,4055533,1825189,1770064,2517502
343.0670696,343.06707,14,16,0,10,0,0,1.142857143,0.714285714,7,0.5,0.4375,0.7,O,0.222222222,----,----,HUnSatLig,----,----,----,343.1464,343,0.1464,7016493,7088284,6201591,2001418,1783044,1700822
