mass,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
463.2337404,2975703,2884010,2942050,8508308,7389344,7840181
479.228655,4531278,3934869,3782687,9285527,8714995,9132129
495.2235696,4551025,4337103,3824442,8695108,8048749,8747282
511.2184842,4556530,4588868,3424617,6321412,5981613,5831242
527.2133988,4333702,4092677,3229364,3903264,3890061,3430563
497.2392196,2842014,3040838,2688037,6427933,6162732,5809465
657.1883656,4995662,5153843,2884359,2448400,2375337,2398073
673.1832802,6365913,5134618,3634525,2829224,3038389,3036862
689.1781948,6529130,5439201,3026310,0,0,0
705.1731094,3767438,3084806,1902091,0,0,0
643.209101,4600397,4125431,2043142,3752381,3591241,2670677
659.2040156,6498612,5536714,4050626,4394113,3971690,4462429
675.1989302,7938610,6516929,4068674,3595280,3738744,4182701
691.1938448,8149150,7620275,4724155,3430881,2392771,3458644
707.1887594,4467041,4436477,2474615,0,0,0
629.2298364,3118420,3236144,2213551,4515317,4452766,4356442
645.224751,4010280,3186326,2441917,5065205,4431889,4067378
661.2196656,3979299,3372898,2595456,3010806,3585578,2900803
677.2145802,4356513,3925101,3452207,2629744,2427964,3127964
693.2094948,3957998,4034188,3576313,0,0,0
457.3170758,1979877,4866642,1831093,0,0,0
381.3738028,4991058,3283875,3378081,3408048,2583840,2043775
487.197355,3853518,3391496,2875266,6170163,6557055,6600848
503.1922696,4713002,3782562,3226289,6315228,6511432,5904820
519.1871842,4684733,4737647,3789522,5043658,5353257,5264034
535.1820988,5100871,4405021,2859355,3560642,4112137,3441241
551.1770134,4140710,4272716,2639437,2121186,2711598,2591004
473.2180904,3313673,3217883,2783767,7334122,6584710,6922384
489.213005,4294900,3818613,3971183,9489899,9139767,9265323
505.2079196,5831259,5753875,4791160,9338071,9030642,8970717
521.2028342,5895152,5512866,4260590,6966804,7374683,5823146
537.1977488,6317430,5304083,4198620,4847920,5084873,4928060
553.1926634,4611790,4536867,3123084,2914350,3086263,2842856
569.187578,3773405,3388614,2524605,0,0,0
475.2337404,3388445,3278351,3296948,8697970,7801329,8597623
491.228655,4455708,4238567,4003167,10339755,9621235,9556170
507.2235696,4887181,4790399,4105264,9092317,8961170,9097732
523.2184842,6083619,5742284,4356849,7347815,7681916,7391917
539.2133988,5101988,4966147,3366991,4909469,4633216,4786715
555.2083134,4256501,4477432,2470601,2397297,2714430,2213555
493.244305,3430214,2795867,2726479,7927155,7169969,6977773
509.2392196,3664576,3758310,2926807,8332524,6878503,6809129
525.2341342,4350037,4113133,3177181,6289089,5615500,5677739
541.2290488,3665362,3336942,2672567,4536841,4438573,3581431
671.2040156,3425169,3443060,2520446,0,0,0
687.1989302,4380756,3375892,2767197,2575801,2857766,2760289
703.1938448,5327818,4490770,3018661,3695930,4148678,3907120
719.1887594,4439742,3497465,2384658,0,0,0
673.2196656,4342485,4282648,3900764,6649770,6128820,7845566
689.2145802,4644971,3742432,2257287,3000788,3102451,3237466
705.2094948,4332689,3587590,2578445,2405628,2103201,2586150
721.2044094,4733858,3786237,3533695,0,0,0
395.3894528,4335925,3720887,2714375,4221885,2553413,2138010
531.1871842,3330279,3126047,2541098,3675115,3874660,3742343
547.1820988,3128916,2842263,2691520,2730805,2291980,3064187
517.2079196,4024203,3786291,3565214,6540681,6354661,6492820
533.2028342,5326104,4297505,2829257,6004822,5478204,5694066
549.1977488,4693630,4031091,3424519,4545424,3750046,4018508
565.1926634,4241313,3701018,2755350,2741519,2828508,2367386
487.2337404,3028687,2826250,2574214,7898674,6761858,7168145
503.228655,3619371,3670948,3286708,8901851,8250187,8702389
519.2235696,5463998,4557424,4161235,8795595,9256746,8792738
535.2184842,5608775,5294877,3967320,7162052,8072968,7805529
551.2133988,5666471,5518924,3780681,5024740,4768812,4868379
567.2083134,4812736,4745455,3137124,3372292,3319909,3035999
505.244305,3726940,3382293,3582843,9592023,8717301,8530398
521.2392196,4207601,4261539,3135214,8594966,9107292,7942826
537.2341342,5136759,4900626,3674329,7698738,7907016,7430715
553.2290488,5224143,5363234,3094408,4868144,5680053,4587751
569.2239634,3725277,3818693,1986490,2792681,3117042,2913060
523.2548696,3814436,3662541,2274544,7163497,7440252,5841581
539.2497842,3341733,3604227,2440269,5620127,6387327,5245467
555.2446988,3805941,3816951,2298565,4030578,4366140,3898546
733.2044094,3886104,2937359,2450844,0,0,0
735.2200594,3245213,2914830,2333149,2706359,2009146,2712477
465.3044027,5097434,3266965,3075719,5471996,3658913,3673438
561.1977488,3543904,2739571,2218632,3038455,3561934,3261453
531.2235696,3374312,2486047,2748968,6860781,6223716,6435462
547.2184842,4341332,3461782,2433980,5659446,5524746,5589370
563.2133988,4285314,4052294,3310539,4641034,3861843,3907539
579.2083134,4072532,3030045,2437900,2916171,3000842,2588166
517.244305,3692428,2726452,3080863,8336778,7022310,8067732
533.2392196,4572440,3586849,3681735,8804440,8361787,8254065
549.2341342,4841086,4064882,3675395,7340945,6530204,7057739
565.2290488,4631458,4287770,3315475,5295375,5048538,5353369
581.2239634,3880036,3134467,2130595,3312322,2819001,2587086
535.2548696,3784008,3309341,2463574,7731398,7085831,7162456
551.2497842,4173479,4077131,3291206,6026213,5887017,6033690
567.2446988,3971009,3679470,2606689,4986116,4827235,4164446
473.2826185,3358730,3057117,3359260,4168934,4808073,3503247
545.2392196,2811434,3079863,2612844,5718743,5782897,5540262
561.2341342,3710817,3258738,2944132,5193975,5423564,5285900
577.2290488,3662912,3316793,2579326,4451266,4443743,4159037
593.2239634,3458154,3090311,1999591,3283601,2778174,2507918
547.2548696,3638869,3360406,2752953,7140152,6587656,6308218
563.2497842,4176770,3868997,2783175,6376714,6347089,6338514
579.2446988,3624020,3446812,2568970,4590408,4020744,4591109
549.2705196,2815615,3042929,2550016,6382483,5014682,6515018
565.2654342,3213219,3203353,2175760,4503823,5169368,4734872
421.0658882,3679260,3693206,3587542,0,0,0
435.0815382,3970049,4035585,3983510,0,0,0
321.0463342,2112036,2821090,1743666,0,0,0
307.0670696,2215157,2028892,1475913,0,0,0
309.0827196,2128904,2260596,1756714,0,0,0
341.0725488,2765411,3194010,2343180,0,0,0
373.0446195,2871692,2752017,1850246,0,0,0
389.0395341,1576129,2386788,1554352,0,0,0
331.0306842,1659688,1469050,1417905,0,0,0
333.0463342,3058614,2416942,2416693,0,0,0
303.072155,1419498,1400144,1368225,0,0,0
336.0936186,1870118,2294753,1474470,0,0,0
352.0885332,2167023,2695303,1738445,0,0,0
325.0201196,2040014,1967293,1779864,0,0,0
327.0357696,2571064,2629189,1959911,0,0,0
343.0306842,2795556,2722962,2815214,0,0,0
359.0255988,2354752,2275546,2140002,0,0,0
313.056505,2075456,2444477,1986816,0,0,0
315.072155,2530414,2835446,2750717,0,0,0
317.087805,2644901,2813244,2185222,0,0,0
364.0885332,2790850,3399961,2180590,0,0,0
380.0834478,1938944,2199608,1791011,0,0,0
344.1099374,1771298,1491120,1492225,0,0,0
319.103455,1994213,2011791,1580059,0,0,0
347.109603,1777144,1774820,1589028,0,0,0
350.1092686,2246381,2345022,2210430,0,0,0
382.0990978,2687758,3189355,2198644,0,0,0
330.1306728,1717883,1471420,1702154,2666892,2096842,2351746
449.0606633,2487321,2145308,1648841,0,0,0
368.1198332,2010414,3236884,2877231,0,0,0
387.1144134,2330102,2224016,2587599,0,0,0
337.0201196,2387690,2155962,2183021,0,0,0
369.0099488,2209576,2332972,2763863,0,0,0
323.040855,1942389,2100554,2311775,0,0,0
387.0205134,2633184,2129273,1768375,0,0,0
309.0615904,1892357,1365105,1714728,0,0,0
311.0772404,1833761,2175636,2042897,0,0,0
313.0928904,2922566,3126466,2225156,2270421,2424758,2107171
409.062378,2953713,3001245,2125024,0,0,0
373.0888676,1636248,1825311,1626260,0,0,0
360.0936186,2231655,2330665,1813184,0,0,0
392.0834478,2624629,2417174,1998444,0,0,0
356.1099374,1800993,2343245,1949107,1663615,1479781,1497154
372.104852,2552968,2303216,2239572,0,0,0
315.1085404,2641267,3092476,2151170,2545507,3334895,2983016
343.1146884,2071608,1864361,1628931,0,0,0
359.109603,2358871,2058996,1892221,0,0,0
375.1045176,3038660,2260612,1935389,0,0,0
410.0940124,2315371,2961884,1838843,0,0,0
317.1241904,2299562,2193730,1492234,2639870,2517558,2901434
345.1303384,2376725,2473666,2603276,4257631,4126272,4448276
393.1150822,2365271,2003441,1734471,0,0,0
357.1415718,2026042,2260621,1756926,3654085,3882165,3456147
373.1364864,1953190,2053677,2018468,2748766,3108688,2245988
412.1096624,2656583,3156542,2316049,0,0,0
328.1514082,2403334,1747493,2452135,5181352,5302827,5512157
344.1463228,2410282,2637753,2326539,4462145,5432621,4978432
376.136152,2629341,2165689,1776741,0,0,0
335.134755,1751135,2317060,1395676,1867400,2057260,2443760
463.0763133,2437079,2448301,1772129,0,0,0
359.1572218,1577060,2072323,2186381,3041860,3425612,2834220
446.0973831,1783848,2009320,1978846,0,0,0
330.1670582,2105730,1943491,2574097,4010389,3929042,3897738
353.1453196,1883654,2995140,3436049,3812573,4567981,5313928
417.1072195,2630411,2404528,2953900,5480731,5024332,6096028
309.1741173,2998549,1809793,2298420,7725554,3070839,3422410
333.025205,1473458,1541930,1459505,0,0,0
349.0201196,2418134,2343426,2977088,0,0,0
397.0048634,1802872,1904353,1830950,0,0,0
335.040855,2498379,2713838,3082185,0,0,0
321.0615904,2012198,2311140,2282548,0,0,0
417.031078,2156805,2136239,2205359,0,0,0
368.0623186,1718302,1850370,1639708,0,0,0
419.046728,2541465,2045615,2337872,0,0,0
354.083054,1616383,1549280,1562932,0,0,0
370.0779686,2282578,2094202,1898937,0,0,0
386.0728832,1562361,1781898,1793728,0,0,0
309.0979758,1971210,1470838,1656620,2112740,2366572,2245311
369.093953,1666367,2072902,1609843,0,0,0
356.098704,1510686,1850698,1603760,0,0,0
372.0936186,1906564,2327277,2301520,0,0,0
388.0885332,2175200,1927807,1677766,0,0,0
311.1136258,2282022,2541465,2637589,3906906,3967118,4265966
439.0729426,3135527,3361512,1636048,0,0,0
371.109603,2145651,2198460,2060557,0,0,0
374.1092686,2368690,2085206,2057438,0,0,0
390.1041832,2795704,1996892,2108589,0,0,0
406.0990978,2830960,3254451,2252373,0,0,0
354.1306728,2360076,2222318,2386243,0,0,0
402.1154166,2588691,2450168,1951481,0,0,0
313.1292758,2905163,2808520,2573321,5305564,5721019,5046568
357.1303384,1773111,1644170,1896187,1960897,2002098,1901199
373.125253,2346915,2675242,2347936,2152795,3590988,1783393
369.1415718,2396492,2510165,2016899,3392661,3767358,3635260
401.131401,2287470,2648179,1865861,0,0,0
376.1249186,2292442,2476982,2075489,1657561,2345726,2105641
340.1514082,1595028,1614259,1405489,3523027,3762944,3942093
404.1310666,2492754,2302956,2074561,0,0,0
315.1449258,2282105,2091010,1800710,5484138,5320949,5210734
359.1459884,1756769,1594879,1701257,2281024,3086152,2833705
391.1358176,2469794,2755398,1960346,2031936,6616294,1741790
423.1256468,2072462,2778214,2008129,0,0,0
355.1623072,2388001,1797162,2986631,5422933,5408306,6376462
403.147051,1943738,2916730,2189670,0,0,0
342.1670582,2154333,2185650,3023895,6745097,6814481,7466210
390.151802,2810050,3009639,2403000,1758049,1902088,1781997
333.1554904,2109388,2159943,2132555,4349062,3746915,3801123
349.150405,1981944,2597672,2453862,3556367,3356376,3914927
389.1677864,2050527,2172802,2328527,2235516,2546979,2437110
380.1562186,1612563,1865036,2290233,4429150,2743743,3616785
396.1511332,2334671,2145094,2481042,0,0,0
367.1609696,1707297,2199782,2388975,3761706,3681712,4328358
375.1885218,1601499,1676701,1864248,1909189,1639898,2511869
362.1932728,2655664,1777857,1746806,0,0,0
345.025205,1547004,1743014,1550576,0,0,0
361.0201196,2282089,2142030,3031026,0,0,0
393.0099488,2676544,2692315,2683697,0,0,0
331.0459404,1834539,1642877,1750452,0,0,0
347.040855,2523111,2438864,3254033,0,0,0
427.015428,1987898,1637845,2445806,0,0,0
333.0615904,2411449,2588978,2645048,0,0,0
380.0623186,2129146,1526322,1948701,0,0,0
396.0572332,1979836,1577013,1729409,0,0,0
382.0779686,2086153,2090086,2146413,0,0,0
398.0728832,2110278,2268826,2161877,0,0,0
414.0677978,1850375,1590400,1752834,0,0,0
321.0979758,2700077,2964971,2318906,2480462,2328289,2296184
368.098704,1919016,2356750,1795368,0,0,0
384.0936186,2138380,2380935,2168488,0,0,0
400.0885332,2252472,2022363,1850878,0,0,0
451.0729426,2329100,2624411,1708324,0,0,0
370.114354,1666653,1920902,1697477,0,0,0
386.1092686,1717761,1848979,1598153,0,0,0
402.1041832,2572818,1785079,1594104,0,0,0
382.1255874,1705749,2264691,1612411,0,0,0
398.120502,1859407,1989794,2123997,0,0,0
385.125253,1896974,2087318,1604290,0,0,0
401.1201676,2771308,2392689,1810052,2208163,2046398,1941423
417.1150822,2521868,2570928,2339499,0,0,0
433.1099968,1971170,1757315,1663859,0,0,0
404.1198332,2211153,2191851,1863360,1669956,1789441,1810771
420.1147478,2837473,2927780,1618195,0,0,0
436.1096624,2381838,2484155,1753121,0,0,0
368.1463228,2467381,2557469,2002232,4264799,4209398,4227312
416.1310666,3138749,2973863,1925327,0,0,0
311.1500112,2058028,1364895,1508122,3737952,3266195,3715060
387.140903,1822717,2461079,1643990,2167955,2003252,2184164
383.1572218,2990110,2617228,2394530,5265554,5688599,5411724
406.1354832,2275445,2591927,2142295,2505265,3239328,2720314
454.120227,2792440,2834154,1905490,0,0,0
354.1670582,1704726,1767929,1928014,6128156,5974259,6351566
297.1529881,1334296,2624653,2223699,4789835,4738449,3019390
421.1463822,2602016,2537620,2329553,2919267,6967708,2405782
369.1779572,2455895,2549089,3150991,7195808,6914122,7961160
408.1511332,2424704,2647389,2531519,3398397,3162644,3353336
440.1409624,2349612,2699418,2332760,0,0,0
356.1827082,2511157,2232676,2953675,8378518,8948605,9864537
420.1623666,2035172,1924516,1827856,0,0,0
331.1762258,2390085,2602905,2789580,10103952,7590060,10455655
407.1671176,2702593,2679057,2411666,2412189,3016673,2563744
371.1936072,2795402,2574294,2904361,8399630,8963805,9386214
374.1932728,2448585,2557296,2015481,5969564,6239904,5482684
357.2143426,1811790,1578404,2405654,9075164,7974093,11603627
373.2092572,1675450,1625156,2235835,7406964,7162215,8153980
389.2041718,3191271,1552522,2791895,3971716,3492140,4088319
373.0201196,1857413,1917450,2321278,0,0,0
389.0150342,1960379,1613150,2175914,0,0,0
359.040855,2599492,2631902,2646887,0,0,0
439.015428,2198566,1753324,2275543,0,0,0
345.0615904,2409989,2336431,2370810,0,0,0
331.0823258,1403698,1579397,2039227,0,0,0
459.0416426,2654686,2816017,2325119,0,0,0
378.083054,1583596,1714680,1752260,0,0,0
394.0779686,1956388,1658550,2355211,0,0,0
410.0728832,2094696,1941467,2148602,0,0,0
333.0979758,2726848,2683706,2556991,2184823,2494550,2423318
396.0936186,1955012,1647676,1778056,0,0,0
412.0885332,1985861,2019390,1894161,0,0,0
319.1187112,1473000,1783442,1797661,2236066,4342662,2252564
463.0729426,2494423,2241965,2495073,0,0,0
398.1092686,1837901,2244256,2189531,0,0,0
321.1343612,2605875,2167281,2450495,4340566,3612904,3710591
412.136152,2016586,1987135,1616145,0,0,0
323.1500112,2721672,2202206,2402160,4857112,4744792,5123064
450.1253124,2493970,2316247,2054255,0,0,0
466.120227,2108380,2787729,1775774,0,0,0
398.1568874,2826582,2738856,2751715,4392382,4584988,4128184
430.1467166,2850206,2991926,2477748,0,0,0
309.1707466,2713108,1453185,2039092,7020018,5906807,5555914
325.1656612,2659816,1443545,1927088,6057701,5690327,5955967
433.1463822,1971170,2189441,2126703,0,0,0
397.1728718,2018457,2865663,2362947,5642510,5827965,5185791
445.1576156,2903595,2453803,2279484,0,0,0
484.1307916,2118297,2716012,1736739,0,0,0
384.1776228,2296609,2542237,2294975,7635360,8279598,8437937
428.1786854,1825635,1882014,1783677,3154192,3581846,3444652
451.1569468,2300940,2313622,2079261,0,0,0
383.1936072,2160167,1571734,1947052,5384348,5558561,5497751
438.1616978,1681185,1598250,1646392,2549046,2431921,2725133
454.1566124,1744632,2195689,2073936,0,0,0
386.1932728,2606870,2662568,2780895,8033190,8271939,8622820
430.1943354,2289056,2320179,1979567,3272909,3295966,3364670
345.1918758,1461284,1565779,1542684,9148273,6712914,7740454
361.1867904,2850967,2771330,2418217,8738505,6730220,7375824
409.1715342,2858494,2754980,2604259,5445464,4355647,4539210
425.1664488,2428144,2838562,2911384,5367121,4674703,5456943
385.2092572,2084387,1784236,2793945,8764076,8068930,9685460
433.194001,2845667,2755710,2517866,0,0,0
372.2140082,2418854,1857042,3313271,7502918,7313447,8331830
395.1922696,2611981,2083473,2862306,8178582,5608480,7609201
387.2249072,1614353,1790891,2377707,9327783,7709001,9251835
403.2198218,2112198,1627011,2461037,5072079,4800683,5326047
351.2210673,3179020,2202245,2328264,7790216,5188946,3810091
371.040855,2138975,1869479,2122487,0,0,0
387.0357696,2114531,1986428,2923451,0,0,0
435.0205134,2784769,1804806,1992861,0,0,0
357.0615904,2030628,2097780,2503396,0,0,0
469.0259926,2250729,2423706,1936148,0,0,0
343.0823258,1402160,1445536,1488635,0,0,0
359.0772404,2068046,2601194,3353971,1626154,1638193,2077970
345.0979758,2464781,2660025,2541315,1802582,1682743,2298891
489.0522072,1877233,1800300,1624412,0,0,0
331.1187112,2020922,1734540,1711042,2350466,2575519,1849946
412.1249186,1847880,1879615,1807633,0,0,0
545.099551,2342439,1945273,2082424,1644752,1568632,2237865
480.135877,3142747,2856634,2370681,0,0,0
