"","Mass","HW","SW"
"310",359.1864,3830975.33333333,3242500
"311",359.2075,15683100.3333333,18371594.3333333
"312",359.2439,5531859.66666667,4860950
"313",360.0725,2268247.66666667,1678793
"314",360.1413,1753773.5,
"315",360.1776,3925715,4334911.66666667
"316",361.0201,6989319.66666667,5537698.66666667
"317",361.0565,9911146.33333333,9771950
"318",361.0776,2517654,2321332.66666667
"319",361.0929,11330423.6666667,12420025.6666667
"320",361.114,4494549,4270699
"321",361.1293,10111194.3333333,11433584
"322",361.1504,6192695.66666667,11036961.3333333
"323",361.1657,8965352,12796198
"324",361.1868,3370565,5088215.66666667
"325",361.202,3837685.33333333,4084871.33333333
"326",361.2232,12173565,14284430.3333333
"327",362.0518,1991470,1655557.5
"328",362.0882,2315494,1873680
"329",362.1358,2169646,1737309.33333333
"330",362.9994,2082429,1947290.5
"331",363.0358,8914841.33333333,9084457
"332",363.051,1727049.66666667,
"333",363.0722,12412497.3333333,13704074
"334",363.0834,1638592.5,
"335",363.0874,1647135,
"336",363.0933,2870702.33333333,1931323.33333333
"337",363.1086,13426270.6666667,17137216
"338",363.1198,2106283,
"339",363.1297,2293551,2149361.33333333
"340",363.1449,11647937.3333333,14875553
"341",363.1562,1743131,1694796
"342",363.1661,5342153,6500263.66666667
"343",363.1813,9718052,20763564.6666667
"344",363.2025,,2925150.33333333
"345",363.2177,2783025.66666667,4097635.33333333
"346",363.2388,7457422.66666667,9406058.33333333
"347",364.0674,2587926.66666667,1842420
"348",364.1038,2088313.33333333,1669760
"349",364.1249,1643308,1946161.33333333
"350",364.1514,1995579,
"351",364.1878,4354542,2985371
"352",365.015,4871797.33333333,4821498
"353",365.0303,2347472.33333333,1757353.33333333
"354",365.0514,11811118,12293637.6666667
"355",365.0667,2170846.33333333,2444469.33333333
"356",365.0726,2389131.33333333,1777932.33333333
"357",365.0878,13518481,15298748.3333333
"358",365.099,1779519.33333333,
"359",365.1089,2784238,2454210.66666667
"360",365.1242,12805107.6666667,13646024
"361",365.1453,1931259.33333333,2171257.33333333
"362",365.1606,13428395.6666667,17402750
"363",365.1817,2107912.66666667,4564186
"364",365.197,10013027.6666667,33497311
"365",365.2334,,2783808
"366",366.0831,2682711,1996795.33333333
"367",366.1195,1848847,
"368",366.1307,2428987.5,1826143.66666667
"369",366.1406,,4510904.33333333
"370",366.1671,2781729,2012950.33333333
"371",367.0095,2284072.5,1666425.66666667
"372",367.0307,6963553,7488299.33333333
"373",367.0459,3532305.33333333,2962224
"374",367.0671,13217475.6666667,13731297.3333333
"375",367.0824,3178014.66666667,2826384.66666667
"376",367.1035,14628561,15326701
"377",367.1187,1920214.66666667,1795825.66666667
"378",367.1246,2495534.33333333,2271049
"379",367.1398,13412745,15240696.6666667
"380",367.1529,2376419.66666667,14382589
"381",367.1552,1624137,
"382",367.161,,2146644.66666667
"383",367.1762,12150508,18017796.3333333
"384",367.1796,,2490032
"385",367.2126,7775993.66666667,29337787
"386",368.0623,1785000,
"387",368.0987,3002774.66666667,1726251.33333333
"388",368.1463,2323197.66666667,1976634.33333333
"389",368.1827,2381494,2443760.33333333
"390",369.01,1694870.5,
"391",369.0252,3848258.66666667,3538855.66666667
"392",369.0463,9415072,8813315.66666667
"393",369.0616,4543056,4607411
"394",369.0675,2663340.5,2958431.66666667
"395",369.0827,11980546.6666667,12702479.3333333
"396",369.098,4072029.33333333,3926292
"397",369.1039,,1957227.33333333
"398",369.1191,11554576,12889541.3333333
"399",369.1344,2805696.33333333,2430580.66666667
"400",369.1402,,1851204
"401",369.1555,12573811,15178534
"402",369.1708,2213155,1930709.66666667
"403",369.1919,10211114.6666667,15603164.3333333
"404",369.2283,4319544.33333333,7665128
"405",370.0568,1875241.5,
"406",370.1144,1962048,1552588
"407",370.1256,2058180,
"408",370.162,5568656,5050469.33333333
"409",370.1984,5370696,4997915.66666667
"410",371.0045,3328624,2253508.66666667
"411",371.0256,1983261.5,1885728
"412",371.0409,6138323,5821136
"413",371.062,8951258.66666667,8482859.66666667
"414",371.0773,6502539,6536923
"415",371.0984,10886290.6666667,11483191.3333333
"416",371.1018,3909097,2693859
"417",371.1136,5661848.33333333,6497681.33333333
"418",371.1348,8417098.66666667,11412888
"419",371.15,4710224.33333333,4567111.33333333
"420",371.1712,12000429.3333333,14230264.6666667
"421",371.1864,3064498.66666667,2816936.33333333
"422",371.2075,9276602.33333333,12367279
"423",371.2439,3330247.66666667,4188773
"424",372.0725,2101750,
"425",372.1412,3418298,3415592.66666667
"426",372.1565,2359117.5,1795129
"427",372.1712,,1863389
"428",372.1776,4063431.33333333,3832884.33333333
"429",372.214,8898090,7178644.66666667
"430",373.0201,6119588.33333333,5138746.66666667
"431",373.0413,2057900,2442902.66666667
"432",373.0565,8859142.66666667,9021424.33333333
"433",373.0777,6019598.33333333,6614689.66666667
"434",373.0929,8239294.66666667,9495889.33333333
"435",373.114,6292678.33333333,7413080
"436",373.1293,9611809.33333333,13600775
"437",373.1325,,2155272.33333333
"438",373.1504,5985491.66666667,7421282.66666667
"439",373.1657,6898222.33333333,6461800
"440",373.2021,3428752.66666667,3183645.33333333
"441",373.2232,8548931,10900174.6666667
"442",373.2596,2121381.66666667,3047813
"443",374.0518,2442778.5,
"444",374.0882,2318544.66666667,1858009.66666667
"445",374.1569,3090153.33333333,3413657.66666667
"446",374.1722,3731865,2516467.66666667
"447",374.2085,1793237.5,
"448",374.9994,2118508.33333333,2346907.66666667
"449",375.0358,9261604.33333333,9174268
"450",375.0511,1718998.5,
"451",375.0569,1867667.5,1934082.33333333
"452",375.0722,11686449.3333333,12763740.6666667
"453",375.0754,,1953529
"454",375.0933,3633379.33333333,3370595
"455",375.1086,11170366,12242194.3333333
"456",375.1198,,1793813.33333333
"457",375.1297,3670768.33333333,5348632.66666667
"458",375.145,11222261.6666667,12648392
"459",375.1661,4236882.66666667,5924131.66666667
"460",375.1813,8811779,8368766
"461",375.1926,1998790,
"462",375.2024,8901898,14553049.6666667
"463",375.2177,3122618.33333333,3246728.66666667
"464",375.2388,6418370,7114724.66666667
"465",375.2752,3295012,4084207.66666667
"466",376.0674,3026834.66666667,1957599.66666667
"467",376.1038,2588063.66666667,1811781.5
"468",376.1514,2808411,2068558.33333333
"469",376.1912,2047593.33333333,1892271.66666667
"470",376.2242,2470517,
"471",377.0151,5443808.66666667,5079889
"472",377.0304,1898497,
"473",377.0514,12607384,12502876.6666667
"474",377.0667,1805213.33333333,2063605
"475",377.0878,14335908.6666667,15008956.6666667
"476",377.099,2077062.5,1804733.5
"477",377.109,2592172,2520088
"478",377.1242,13937244.3333333,15856839.6666667
"479",377.1355,1847818.66666667,
"480",377.1453,3175011.66666667,3425315
"481",377.1606,14224659.3333333,18909735.6666667
"482",377.1817,2600731,3889368.66666667
"483",377.197,7789515,9524445
"484",377.2181,6180476.66666667,6531299.33333333
"485",377.2334,2199735.5,2212754.66666667
"486",378.0467,1790239.5,
"487",378.0831,3065770,2315747.66666667
"488",378.1195,2512377.5,1750477
"489",378.1307,1903887.66666667,1721160.5
"490",378.1671,3259335.33333333,2061052
"491",378.2035,3097044,1870854.66666667
"492",379.0307,9187910,9010254
"493",379.0341,3032556.5,
"494",379.046,2892704.66666667,2290088
"495",379.0671,14793981,15629400.6666667
"496",379.0824,2309549,2176093.33333333
"497",379.0882,,1654259.5
"498",379.1035,16779188,17701987.3333333
"499",379.1246,2306150,2204095
"500",379.1399,15671915.3333333,17697902.3333333
"501",379.161,4159261,3711433.33333333
"502",379.1762,14408312,24180515
"503",379.1974,,1912085
"504",379.2126,5824132.33333333,8981635
"505",379.2338,2398518,4020361.33333333
"506",380.0624,2341370.66666667,1722573.33333333
"507",380.0987,3207260,2203864
"508",380.1464,2689473.33333333,1908624
"509",380.1563,2936090.33333333,2434622
"510",380.1827,3530701.66666667,2694725.33333333
"511",381.01,2616547.33333333,2769200.33333333
"512",381.0252,2832787.33333333,2340490
"513",381.0464,11648922,11605648
"514",381.0616,3891615.33333333,3307668.33333333
"515",381.0827,15435003.6666667,16550213
"516",381.094,1831884,
"517",381.098,2548822,2638324
"518",381.1039,4597336,3436362.66666667
"519",381.1191,14148871.6666667,14969167
"520",381.1313,,11724797.3333333
"521",381.1344,2121129.5,
"522",381.1402,2499684,1985962.33333333
"523",381.1555,15617300,18424836.3333333
"524",381.1766,3334597.33333333,3360095.33333333
"525",381.1919,13630069,26934969
"526",381.1953,,2273231.5
"527",381.2283,4248876,6113987.33333333
"528",382.078,2549487.33333333,1791408.33333333
"529",382.1144,2469244.5,1783141
"530",382.1355,,8510741.66666667
"531",382.162,2679477.66666667,2003399.66666667
"532",382.1984,2708417.33333333,1950503.33333333
"533",383.0045,2122951.66666667,
"534",383.0256,4184611.66666667,4220767.66666667
"535",383.0409,4837587.33333333,4143630.33333333
"536",383.062,12208687.6666667,11245758.6666667
"537",383.0773,4493706,4248088.33333333
"538",383.0984,14291515.6666667,15207283.3333333
"539",383.1137,3554197.66666667,3268642.33333333
"540",383.1195,3650455.66666667,3514745.33333333
"541",383.1292,,14689830.3333333
"542",383.1348,12152732.3333333,13090344
"543",383.1501,2676641.33333333,2376321.33333333
"544",383.1712,12926888,16786994
"545",383.1864,2153706,
"546",383.2075,10266548,21151974.6666667
"547",383.2439,3095829,3624859.33333333
"548",384.0937,2495524.33333333,1698186
"549",384.13,2059994.33333333,1670548
"550",384.1413,2259337,2075105.66666667
"551",384.1777,3811391,3073686.33333333
"552",384.214,2853279.66666667,2571594.33333333
"553",385.0201,5015367.33333333,3857098.33333333
"554",385.0413,4606115.33333333,4793039.66666667
"555",385.0565,6739453.66666667,6415059.33333333
"556",385.0776,10338820.3333333,9543044
"557",385.0929,6188553,5914333
"558",385.114,11078159,11540535.6666667
"559",385.1174,5831526,4108003.66666667
"560",385.1293,5241363.66666667,5090022.66666667
"561",385.1504,9557871.66666667,10993046.6666667
"562",385.1657,4615711,3896731
"563",385.1868,11268645.6666667,13395360.3333333
"564",385.2021,2748799.66666667,2018212
"565",385.2232,7901062.33333333,9655721.66666667
"566",385.2596,1918617.5,
"567",386.0517,1830533,
"568",386.0881,2251920,
"569",386.1093,2057643.5,
"570",386.1569,4026874.33333333,3213125.33333333
"571",386.1933,4551515,3826851.66666667
"572",386.9994,4977400.33333333,2800666
"573",387.0358,8128600.66666667,6973987
"574",387.0569,6619231,4739283
"575",387.0722,8902414,8554369.66666667
"576",387.0933,6935316.33333333,6306012.33333333
"577",387.1085,8796952.66666667,8746890.66666667
"578",387.1117,,4468619.33333333
"579",387.1297,6344820.66666667,6582160
"580",387.141,1798690.33333333,
"581",387.145,8447779.66666667,7205097
"582",387.1661,8731775.33333333,9648707.66666667
"583",387.1813,6760238.66666667,5766045
"584",387.2177,3194681.33333333,2178640.33333333
"585",387.2388,5216405,5869824.33333333
"586",388.0674,2892168.33333333,
"587",388.1038,2547091,1719625.5
"588",388.1362,1826085.5,1730013
"589",388.1514,2084650.5,
"590",388.1548,1679019.5,
"591",388.1726,3471953.33333333,2974694
"592",388.2283,1751361.5,
"593",389.015,6435822,4753413.33333333
"594",389.0514,10905251.3333333,10412387
"595",389.0726,3454121,2856637.33333333
"596",389.0878,13300056.3333333,14117910.3333333
"597",389.1089,4506291.33333333,4235973.66666667
"598",389.1242,11942925.3333333,12441972
"599",389.1274,4224014.33333333,31426250.3333333
"600",389.1453,3281085.66666667,3384185.33333333
"601",389.1606,11686253,10302503.3333333
"602",389.1817,7075187,8743980.33333333
"603",389.197,7396726.66666667,7060869.33333333
"604",389.2181,7184424,8609503.66666667
"605",389.2334,2435286.66666667,1884472.66666667
"606",389.2545,2910770.33333333,3937000.33333333
"607",390.0466,2325600.5,
"608",390.0831,3103342.66666667,2277289
"609",390.1195,2251726,1808122
"610",390.1671,3525253.33333333,2717628
"611",390.2398,1959577,
"612",391.0307,9438747,8564180.66666667
"613",391.046,2374431,1907074.66666667
"614",391.0671,14011940.6666667,14289031.6666667
"615",391.0823,2025098,1753824.5
"616",391.0882,2149589,1838476
"617",391.1035,18036270.6666667,19426788.6666667
"618",391.1147,1908883.5,
"619",391.1246,2758550,2344596
