"Forest","Treatment","Mass","presence","HC","OC"
"HW","PostFenton",509.2028,1,1.36,0.44
"HW","PostFenton",509.2392,1,1.46,0.38
"HW","PostFenton",510.1464,1,1.53,0.79
"HW","PostFenton",510.1828,1,1.65,0.7
"HW","PostFenton",511.0366,1,0.8,0.8
"HW","PostFenton",511.0729,1,0.95,0.71
"HW","PostFenton",511.0941,1,1.33,0.94
"HW","PostFenton",511.1093,1,1.09,0.64
"HW","PostFenton",511.1305,1,1.47,0.84
"HW","PostFenton",511.1457,1,1.22,0.57
"HW","PostFenton",511.1668,1,1.6,0.75
"HW","PostFenton",511.1821,1,1.33,0.5
"HW","PostFenton",511.2032,1,1.71,0.67
"HW","PostFenton",511.2185,1,1.44,0.44
"HW","PostFenton",511.2549,1,1.54,0.38
"HW","PostFenton",512.1621,1,1.63,0.79
"HW","PostFenton",513.0522,1,0.9,0.8
"HW","PostFenton",513.0886,1,1.05,0.71
"HW","PostFenton",513.1097,1,1.44,0.94
"HW","PostFenton",513.125,1,1.18,0.64
"HW","PostFenton",513.1461,1,1.58,0.84
"HW","PostFenton",513.1614,1,1.3,0.57
"HW","PostFenton",513.1825,1,1.7,0.75
"HW","PostFenton",513.1977,1,1.42,0.5
"HW","PostFenton",513.2341,1,1.52,0.44
"HW","PostFenton",514.1414,1,1.61,0.89
"HW","PostFenton",514.2153,1,1.1,0.13
"HW","PostFenton",515.0679,1,1,0.8
"HW","PostFenton",515.1042,1,1.14,0.71
"HW","PostFenton",515.1254,1,1.56,0.94
"HW","PostFenton",515.1406,1,1.27,0.64
"HW","PostFenton",515.1618,1,1.68,0.84
"HW","PostFenton",515.177,1,1.39,0.57
"HW","PostFenton",515.1923,1,1.19,0.37
"HW","PostFenton",515.2134,1,1.5,0.5
"HW","PostFenton",515.2287,1,1.29,0.32
"HW","PostFenton",517.0835,1,1.1,0.8
"HW","PostFenton",517.1199,1,1.24,0.71
"HW","PostFenton",517.141,1,1.67,0.94
"HW","PostFenton",517.1563,1,1.36,0.64
"HW","PostFenton",517.1715,1,1.15,0.42
"HW","PostFenton",517.1774,1,1.79,0.84
"HW","PostFenton",517.1927,1,1.48,0.57
"HW","PostFenton",517.2079,1,1.26,0.37
"HW","PostFenton",517.2443,1,1.36,0.32
"HW","PostFenton",519.1144,1,1,0.54
"HW","PostFenton",519.1355,1,1.33,0.71
"HW","PostFenton",519.1508,1,1.12,0.48
"HW","PostFenton",519.1567,1,1.78,0.94
"HW","PostFenton",519.1872,1,1.23,0.42
"HW","PostFenton",519.2236,1,1.33,0.37
"HW","PostFenton",519.26,1,1.43,0.32
"HW","PostFenton",521.0573,1,0.82,0.68
"HW","PostFenton",521.0937,1,0.96,0.61
"HW","PostFenton",521.1148,1,1.3,0.8
"HW","PostFenton",521.1301,1,1.08,0.54
"HW","PostFenton",521.1512,1,1.43,0.71
"HW","PostFenton",521.1664,1,1.2,0.48
"HW","PostFenton",521.2028,1,1.31,0.42
"HW","PostFenton",521.2392,1,1.41,0.37
"HW","PostFenton",523.0729,1,0.91,0.68
"HW","PostFenton",523.1093,1,1.04,0.61
"HW","PostFenton",523.1305,1,1.4,0.8
"HW","PostFenton",523.1457,1,1.17,0.54
"HW","PostFenton",523.1668,1,1.52,0.71
"HW","PostFenton",523.1821,1,1.28,0.48
"HW","PostFenton",523.2185,1,1.38,0.42
"HW","PostFenton",523.2549,1,1.48,0.37
"HW","PostFenton",524.1621,1,1.55,0.75
"HW","PostFenton",525.0522,1,0.86,0.76
"HW","PostFenton",525.0886,1,1,0.68
"HW","PostFenton",525.1097,1,1.37,0.89
"HW","PostFenton",525.125,1,1.13,0.61
"HW","PostFenton",525.1461,1,1.5,0.8
"HW","PostFenton",525.1614,1,1.25,0.54
"HW","PostFenton",525.1825,1,1.62,0.71
"HW","PostFenton",525.1977,1,1.36,0.48
"HW","PostFenton",525.2341,1,1.46,0.42
"HW","PostFenton",525.2705,1,1.56,0.37
"HW","PostFenton",526.1414,1,1.53,0.84
"HW","PostFenton",526.1777,1,1.65,0.75
"HW","PostFenton",527.0679,1,0.95,0.76
"HW","PostFenton",527.089,1,1.33,1
"HW","PostFenton",527.1042,1,1.09,0.68
"HW","PostFenton",527.1254,1,1.47,0.89
"HW","PostFenton",527.1406,1,1.22,0.61
"HW","PostFenton",527.1618,1,1.6,0.8
"HW","PostFenton",527.177,1,1.33,0.54
"HW","PostFenton",527.1981,1,1.71,0.71
"HW","PostFenton",527.2134,1,1.44,0.48
"HW","PostFenton",527.2498,1,1.54,0.42
"HW","PostFenton",528.157,1,1.63,0.84
"HW","PostFenton",529.0835,1,1.05,0.76
"HW","PostFenton",529.1046,1,1.44,1
"HW","PostFenton",529.1199,1,1.18,0.68
"HW","PostFenton",529.141,1,1.58,0.89
"HW","PostFenton",529.1563,1,1.3,0.61
"HW","PostFenton",529.1774,1,1.7,0.8
"HW","PostFenton",529.1927,1,1.42,0.54
"HW","PostFenton",529.2079,1,1.21,0.36
"HW","PostFenton",529.229,1,1.52,0.48
"HW","PostFenton",529.2443,1,1.31,0.31
"HW","PostFenton",531.0992,1,1.14,0.76
"HW","PostFenton",531.1203,1,1.56,1
"HW","PostFenton",531.1355,1,1.27,0.68
"HW","PostFenton",531.1567,1,1.68,0.89
"HW","PostFenton",531.1719,1,1.39,0.61
"HW","PostFenton",531.1872,1,1.19,0.41
"HW","PostFenton",531.1931,1,1.8,0.8
"HW","PostFenton",531.2236,1,1.29,0.36
"HW","PostFenton",531.26,1,1.38,0.31
"HW","PostFenton",532.2258,1,1.16,0.16
"HW","PostFenton",533.1359,1,1.67,1
"HW","PostFenton",533.1664,1,1.15,0.46
"HW","PostFenton",533.1723,1,1.79,0.89
"HW","PostFenton",533.2028,1,1.26,0.41
"HW","PostFenton",533.2392,1,1.36,0.36
"HW","PostFenton",533.2756,1,1.45,0.31
"HW","PostFenton",535.0729,1,0.87,0.65
"HW","PostFenton",535.1093,1,1,0.58
"HW","PostFenton",535.134,1,0.51,0.08
"HW","PostFenton",535.1457,1,1.12,0.52
"HW","PostFenton",535.1821,1,1.23,0.46
"HW","PostFenton",535.2185,1,1.33,0.41
"HW","PostFenton",535.2549,1,1.43,0.36
"HW","PostFenton",537.0886,1,0.96,0.65
"HW","PostFenton",537.1097,1,1.3,0.85
"HW","PostFenton",537.125,1,1.08,0.58
"HW","PostFenton",537.1461,1,1.43,0.76
"HW","PostFenton",537.1614,1,1.2,0.52
"HW","PostFenton",537.1977,1,1.31,0.46
"HW","PostFenton",537.2341,1,1.41,0.41
"HW","PostFenton",537.2705,1,1.5,0.36
"HW","PostFenton",538.1414,1,1.45,0.8
"HW","PostFenton",539.0679,1,0.91,0.73
"HW","PostFenton",539.1042,1,1.04,0.65
"HW","PostFenton",539.1254,1,1.4,0.85
"HW","PostFenton",539.1406,1,1.17,0.58
"HW","PostFenton",539.1618,1,1.52,0.76
"HW","PostFenton",539.177,1,1.28,0.52
"HW","PostFenton",539.1981,1,1.64,0.68
"HW","PostFenton",539.2134,1,1.38,0.46
"HW","PostFenton",539.2498,1,1.48,0.41
"HW","PostFenton",540.157,1,1.55,0.8
"HW","PostFenton",541.0835,1,1,0.73
"HW","PostFenton",541.1046,1,1.37,0.95
"HW","PostFenton",541.141,1,1.5,0.85
"HW","PostFenton",541.1563,1,1.25,0.58
"HW","PostFenton",541.1774,1,1.62,0.76
"HW","PostFenton",541.1927,1,1.36,0.52
"HW","PostFenton",541.229,1,1.46,0.46
"HW","PostFenton",542.1727,1,1.65,0.8
"HW","PostFenton",543.0628,1,0.95,0.81
"HW","PostFenton",543.1203,1,1.47,0.95
"HW","PostFenton",543.1355,1,1.22,0.65
"HW","PostFenton",543.1567,1,1.6,0.85
"HW","PostFenton",543.1719,1,1.33,0.58
"HW","PostFenton",543.1931,1,1.71,0.76
"HW","PostFenton",543.2083,1,1.44,0.52
"HW","PostFenton",543.2447,1,1.54,0.46
"HW","PostFenton",545.0996,1,1.44,1.06
"HW","PostFenton",545.1148,1,1.18,0.73
"HW","PostFenton",545.1359,1,1.58,0.95
"HW","PostFenton",545.1723,1,1.7,0.85
"HW","PostFenton",545.1876,1,1.42,0.58
"HW","PostFenton",545.2028,1,1.21,0.39
"HW","PostFenton",545.2392,1,1.31,0.34
"HW","PostFenton",547.1516,1,1.68,0.95
"HW","PostFenton",547.1821,1,1.19,0.44
"HW","PostFenton",547.2032,1,1.5,0.58
"HW","PostFenton",547.2185,1,1.29,0.39
"HW","PostFenton",547.2549,1,1.38,0.34
"HW","PostFenton",549.0886,1,0.92,0.62
"HW","PostFenton",549.1614,1,1.15,0.5
"HW","PostFenton",549.1977,1,1.26,0.44
"HW","PostFenton",549.2341,1,1.36,0.39
"HW","PostFenton",549.2705,1,1.45,0.34
"HW","PostFenton",551.0679,1,0.87,0.7
"HW","PostFenton",551.1406,1,1.12,0.56
"HW","PostFenton",551.177,1,1.23,0.5
"HW","PostFenton",551.2134,1,1.33,0.44
"HW","PostFenton",551.2498,1,1.43,0.39
"HW","PostFenton",553.1199,1,1.08,0.62
"HW","PostFenton",553.141,1,1.43,0.81
"HW","PostFenton",553.1563,1,1.2,0.56
"HW","PostFenton",553.1774,1,1.55,0.73
"HW","PostFenton",553.1927,1,1.31,0.5
"HW","PostFenton",553.229,1,1.41,0.44
"HW","PostFenton",553.2654,1,1.5,0.39
"HW","PostFenton",555.0628,1,0.91,0.77
"HW","PostFenton",555.0992,1,1.04,0.7
"HW","PostFenton",555.1203,1,1.4,0.9
"HW","PostFenton",555.1355,1,1.17,0.62
"HW","PostFenton",555.1567,1,1.52,0.81
"HW","PostFenton",555.1719,1,1.28,0.56
"HW","PostFenton",555.1931,1,1.64,0.73
"HW","PostFenton",555.2083,1,1.38,0.5
"HW","PostFenton",555.2447,1,1.48,0.44
"HW","PostFenton",556.1519,1,1.55,0.85
"HW","PostFenton",556.1883,1,1.67,0.76
"HW","PostFenton",557.0784,1,1,0.77
"HW","PostFenton",557.0996,1,1.37,1
"HW","PostFenton",557.1148,1,1.13,0.7
"HW","PostFenton",557.1359,1,1.5,0.9
"HW","PostFenton",557.1723,1,1.62,0.81
"HW","PostFenton",557.1876,1,1.36,0.56
"HW","PostFenton",557.224,1,1.46,0.5
"HW","PostFenton",557.2603,1,1.56,0.44
"HW","PostFenton",558.1676,1,1.65,0.85
"HW","PostFenton",559.1152,1,1.47,1
"HW","PostFenton",559.1516,1,1.6,0.9
"HW","PostFenton",559.1668,1,1.33,0.62
"HW","PostFenton",559.188,1,1.71,0.81
"HW","PostFenton",559.2032,1,1.44,0.56
"HW","PostFenton",559.2185,1,1.24,0.38
"HW","PostFenton",559.2549,1,1.33,0.33
"HW","PostFenton",561.1309,1,1.58,1
"HW","PostFenton",561.1672,1,1.7,0.9
"HW","PostFenton",561.1977,1,1.21,0.43
"HW","PostFenton",561.2341,1,1.31,0.38
"HW","PostFenton",561.2705,1,1.4,0.33
"HW","PostFenton",563.1406,1,1.08,0.54
"HW","PostFenton",563.177,1,1.19,0.48
"HW","PostFenton",563.2134,1,1.29,0.43
"HW","PostFenton",563.2498,1,1.38,0.38
"HW","PostFenton",563.2862,1,1.47,0.33
"HW","PostFenton",565.1081,1,0.46,0.13
"HW","PostFenton",565.1563,1,1.15,0.54
"HW","PostFenton",565.1927,1,1.26,0.48
"HW","PostFenton",565.229,1,1.36,0.43
"HW","PostFenton",565.2654,1,1.45,0.38
"HW","PostFenton",567.0992,1,1,0.67
"HW","PostFenton",567.1355,1,1.12,0.6
"HW","PostFenton",567.1567,1,1.45,0.77
"HW","PostFenton",567.1719,1,1.23,0.54
"HW","PostFenton",567.2083,1,1.33,0.48
"HW","PostFenton",567.2447,1,1.43,0.43
"HW","PostFenton",569.0784,1,0.96,0.74
"HW","PostFenton",569.1359,1,1.43,0.86
"HW","PostFenton",569.1723,1,1.55,0.77
"HW","PostFenton",569.1876,1,1.31,0.54
"HW","PostFenton",569.2087,1,1.65,0.7
"HW","PostFenton",569.224,1,1.41,0.48
"HW","PostFenton",569.2603,1,1.5,0.43
"HW","PostFenton",570.1676,1,1.57,0.81
"HW","PostFenton",571.0941,1,1.04,0.74
"HW","PostFenton",571.1152,1,1.4,0.95
"HW","PostFenton",571.1516,1,1.52,0.86
"HW","PostFenton",571.188,1,1.64,0.77
"HW","PostFenton",571.2032,1,1.38,0.54
"HW","PostFenton",571.2396,1,1.48,0.48
"HW","PostFenton",572.1468,1,1.55,0.9
"HW","PostFenton",572.1832,1,1.67,0.81
"HW","PostFenton",573.1309,1,1.5,0.95
"HW","PostFenton",573.1672,1,1.62,0.86
"HW","PostFenton",573.2036,1,1.73,0.77
"HW","PostFenton",573.2189,1,1.46,0.54
"HW","PostFenton",575.1465,1,1.6,0.95
"HW","PostFenton",575.1829,1,1.71,0.86
"HW","PostFenton",575.2134,1,1.24,0.41
"HW","PostFenton",575.2498,1,1.33,0.37
"HW","PostFenton",577.1622,1,1.7,0.95
"HW","PostFenton",577.1927,1,1.21,0.46
"HW","PostFenton",577.229,1,1.31,0.41
"HW","PostFenton",577.2654,1,1.4,0.37
"HW","PostFenton",579.1719,1,1.19,0.52
"HW","PostFenton",579.2083,1,1.29,0.46
"HW","PostFenton",579.2447,1,1.38,0.41
"HW","PostFenton",579.2811,1,1.47,0.37
"HW","PostFenton",581.1359,1,1.36,0.82
"HW","PostFenton",581.1876,1,1.26,0.52
"HW","PostFenton",581.224,1,1.36,0.46
"HW","PostFenton",581.2603,1,1.45,0.41
"HW","PostFenton",583.1516,1,1.45,0.82
"HW","PostFenton",583.188,1,1.57,0.74
"HW","PostFenton",583.2032,1,1.33,0.52
"HW","PostFenton",583.2396,1,1.43,0.46
"HW","PostFenton",585.1309,1,1.43,0.9
"HW","PostFenton",585.1672,1,1.55,0.82
"HW","PostFenton",585.1825,1,1.31,0.58
"HW","PostFenton",585.2036,1,1.65,0.74
"HW","PostFenton",585.2189,1,1.41,0.52
"HW","PostFenton",587.1465,1,1.52,0.9
"HW","PostFenton",587.1829,1,1.64,0.82
"HW","PostFenton",587.2193,1,1.74,0.74
"HW","PostFenton",589.1622,1,1.62,0.9
"HW","PostFenton",589.1985,1,1.73,0.82
"HW","PostFenton",589.229,1,1.27,0.4
"HW","PostFenton",591.1778,1,1.71,0.9
"HW","PostFenton",591.2083,1,1.24,0.45
"HW","PostFenton",591.2447,1,1.33,0.4
"HW","PostFenton",593.224,1,1.31,0.45
"HW","PostFenton",593.2603,1,1.4,0.4
"HW","PostFenton",595.2032,1,1.29,0.5
"HW","PostFenton",595.2396,1,1.38,0.45
"HW","PostFenton",595.276,1,1.47,0.4
"HW","PostFenton",597.1672,1,1.48,0.78
"HW","PostFenton",597.1825,1,1.26,0.56
"HW","PostFenton",597.2036,1,1.58,0.71
"HW","PostFenton",597.2189,1,1.36,0.5
"HW","PostFenton",597.2553,1,1.45,0.45
"HW","PostFenton",599.1465,1,1.45,0.86
"HW","PostFenton",599.1829,1,1.57,0.78
"HW","PostFenton",599.2193,1,1.67,0.71
"HW","PostFenton",599.2345,1,1.43,0.5
"HW","PostFenton",601.1258,1,1.43,0.95
"HW","PostFenton",601.1622,1,1.55,0.86
"HW","PostFenton",601.1985,1,1.65,0.78
"HW","PostFenton",601.2349,1,1.75,0.71
"HW","PostFenton",603.1414,1,1.52,0.95
"HW","PostFenton",603.1778,1,1.64,0.86
"HW","PostFenton",603.2142,1,1.74,0.78
"HW","PostFenton",605.1571,1,1.62,0.95
"HW","PostFenton",605.1935,1,1.73,0.86
"HW","PostFenton",609.2553,1,1.4,0.43
"HW","PostFenton",611.1465,1,1.39,0.83
"HW","PostFenton",611.1829,1,1.5,0.75
"HW","PostFenton",613.1622,1,1.48,0.83
"HW","PostFenton",613.1985,1,1.58,0.75
"HW","PostFenton",615.1414,1,1.45,0.91
"HW","PostFenton",615.1778,1,1.57,0.83
"HW","PostFenton",615.2142,1,1.67,0.75
"HW","PostFenton",617.1571,1,1.55,0.91
"HW","PostFenton",617.1935,1,1.65,0.83
"HW","PostFenton",617.2298,1,1.75,0.75
"HW","PostFenton",619.1727,1,1.64,0.91
"HW","PostFenton",619.2091,1,1.74,0.83
"HW","PostFenton",621.1884,1,1.73,0.91
"HW","PostFenton",627.1414,1,1.39,0.87
"HW","PostFenton",627.1778,1,1.5,0.79
"HW","PostFenton",627.2142,1,1.6,0.72
"HW","PostFenton",629.1571,1,1.48,0.87
"HW","PostFenton",629.1935,1,1.58,0.79
"HW","PostFenton",629.2298,1,1.68,0.72
"HW","PostFenton",631.1363,1,1.45,0.95
"HW","PostFenton",631.1727,1,1.57,0.87
"HW","PostFenton",631.2091,1,1.67,0.79
"HW","PostFenton",631.2455,1,1.76,0.72
"HW","PostFenton",633.152,1,1.55,0.95
"HW","PostFenton",633.1884,1,1.65,0.87
"HW","PostFenton",633.2248,1,1.75,0.79
"HW","PostFenton",635.1676,1,1.64,0.95
"HW","PostFenton",635.204,1,1.74,0.87
"HW","PostFenton",640.2207,1,1.62,0.71
"HW","PostFenton",641.1571,1,1.42,0.83
"HW","PostFenton",642.2363,1,1.71,0.71
"HW","PostFenton",643.1727,1,1.5,0.83
"HW","PostFenton",643.2091,1,1.6,0.76
"HW","PostFenton",645.152,1,1.48,0.91
"HW","PostFenton",645.1884,1,1.58,0.83
"HW","PostFenton",645.2248,1,1.68,0.76
"HW","PostFenton",647.1676,1,1.57,0.91
"HW","PostFenton",647.204,1,1.67,0.83
"HW","PostFenton",649.1833,1,1.65,0.91
"HW","PostFenton",651.1989,1,1.74,0.91
"HW","PostFenton",657.152,1,1.42,0.88
"HW","PostFenton",657.1884,1,1.52,0.8
"HW","PostFenton",657.2248,1,1.62,0.73
"HW","PostFenton",659.1676,1,1.5,0.88
"HW","PostFenton",659.204,1,1.6,0.8
"HW","PostFenton",659.2404,1,1.69,0.73
"HW","PostFenton",661.1469,1,1.48,0.96
"HW","PostFenton",661.1833,1,1.58,0.88
"HW","PostFenton",661.2197,1,1.68,0.8
"HW","PostFenton",663.1625,1,1.57,0.96
"HW","PostFenton",663.1989,1,1.67,0.88
"HW","PostFenton",665.1782,1,1.65,0.96
"HW","PostFenton",665.2146,1,1.75,0.88
"HW","PostFenton",671.1676,1,1.44,0.84
"HW","PostFenton",671.204,1,1.54,0.77
"HW","PostFenton",673.1469,1,1.42,0.92
"HW","PostFenton",673.1833,1,1.52,0.84
"HW","PostFenton",673.2197,1,1.62,0.77
"HW","PostFenton",675.1625,1,1.5,0.92
"HW","PostFenton",675.1989,1,1.6,0.84
"HW","PostFenton",675.2353,1,1.69,0.77
"HW","PostFenton",677.1782,1,1.58,0.92
"HW","PostFenton",677.2146,1,1.68,0.84
"HW","PostFenton",679.1938,1,1.67,0.92
"HW","PostFenton",681.2095,1,1.75,0.92
"HW","PostFenton",685.1833,1,1.46,0.81
"HW","PostFenton",687.1989,1,1.54,0.81
"HW","PostFenton",689.1782,1,1.52,0.88
"HW","PostFenton",689.2146,1,1.62,0.81
"HW","PostFenton",691.1575,1,1.5,0.96
"HW","PostFenton",691.1938,1,1.6,0.88
"HW","PostFenton",691.2302,1,1.69,0.81
"HW","PostFenton",693.1731,1,1.58,0.96
"HW","PostFenton",693.2095,1,1.68,0.88
"HW","PostFenton",695.1888,1,1.67,0.96
"HW","PostFenton",701.1782,1,1.46,0.85
"HW","PostFenton",703.1938,1,1.54,0.85
"HW","PostFenton",705.1731,1,1.52,0.92
"HW","PostFenton",705.2095,1,1.62,0.85
"HW","PostFenton",707.1888,1,1.6,0.92
"HW","PostFenton",707.2251,1,1.69,0.85
"HW","PostFenton",709.2044,1,1.68,0.92
"HW","PostFenton",717.2095,1,1.56,0.81
"HW","PostFenton",719.1888,1,1.54,0.88
"HW","PostFenton",719.2251,1,1.63,0.81
"HW","PostFenton",721.2044,1,1.62,0.88
"HW","PostFenton",723.2201,1,1.69,0.88
"HW","PostFenton",733.2044,1,1.56,0.85
"HW","PostFenton",735.2201,1,1.63,0.85
"HW","PostFenton",737.1993,1,1.62,0.92
"HW","PostFenton",745.2044,1,1.5,0.82
"HW","PostFenton",761.1993,1,1.5,0.86
"HW","PostFenton",763.215,1,1.57,0.86
"HW","PostFenton",777.2306,1,1.59,0.83
"HW","PostFentonGoethite",281.2486,1,1.89,0.11
"HW","PostFentonGoethite",283.2643,1,2,0.11
"HW","PostFentonGoethite",293.1792,1,2.14,0.29
"HW","PostFentonGoethite",295.1187,1,1.33,0.4
"HW","PostFentonGoethite",297.1344,1,1.47,0.4
"HW","PostFentonGoethite",297.153,1,1.62,0.19
"HW","PostFentonGoethite",299.1136,1,1.43,0.5
"HW","PostFentonGoethite",299.15,1,1.6,0.4
"HW","PostFentonGoethite",300.1929,1,1.93,0.29
"HW","PostFentonGoethite",301.1293,1,1.57,0.5
"HW","PostFentonGoethite",301.1657,1,1.73,0.4
"HW","PostFentonGoethite",307.1187,1,1.25,0.38
"HW","PostFentonGoethite",309.098,1,1.2,0.47
"HW","PostFentonGoethite",309.1344,1,1.38,0.38
"HW","PostFentonGoethite",309.1707,1,1.53,0.29
"HW","PostFentonGoethite",309.1741,1,2.14,0.36
"HW","PostFentonGoethite",311.1136,1,1.33,0.47
"HW","PostFentonGoethite",311.15,1,1.5,0.38
"HW","PostFentonGoethite",311.1686,1,1.65,0.18
"HW","PostFentonGoethite",311.1864,1,1.65,0.29
"HW","PostFentonGoethite",312.1565,1,1.64,0.36
"HW","PostFentonGoethite",313.0929,1,1.29,0.57
"HW","PostFentonGoethite",313.1293,1,1.47,0.47
"HW","PostFentonGoethite",313.1657,1,1.62,0.38
"HW","PostFentonGoethite",314.1358,1,1.62,0.46
"HW","PostFentonGoethite",314.1721,1,1.79,0.36
"HW","PostFentonGoethite",314.2085,1,1.93,0.27
"HW","PostFentonGoethite",315.1085,1,1.43,0.57
"HW","PostFentonGoethite",315.1449,1,1.6,0.47
"HW","PostFentonGoethite",315.1813,1,1.75,0.38
"HW","PostFentonGoethite",316.1878,1,1.93,0.36
"HW","PostFentonGoethite",317.1242,1,1.57,0.57
"HW","PostFentonGoethite",317.1394,1,1.22,0.28
"HW","PostFentonGoethite",317.1606,1,1.73,0.47
"HW","PostFentonGoethite",317.197,1,1.88,0.38
"HW","PostFentonGoethite",319.1187,1,1.18,0.35
"HW","PostFentonGoethite",319.1398,1,1.71,0.57
"HW","PostFentonGoethite",319.1551,1,1.33,0.28
"HW","PostFentonGoethite",321.0827,1,1.5,0.83
"HW","PostFentonGoethite",321.098,1,1.12,0.44
"HW","PostFentonGoethite",321.1344,1,1.29,0.35
"HW","PostFentonGoethite",321.1707,1,1.44,0.28
"HW","PostFentonGoethite",323.0772,1,1.07,0.53
"HW","PostFentonGoethite",323.0984,1,1.67,0.83
"HW","PostFentonGoethite",323.1136,1,1.25,0.44
"HW","PostFentonGoethite",323.1348,1,1.85,0.69
"HW","PostFentonGoethite",323.15,1,1.41,0.35
"HW","PostFentonGoethite",323.1864,1,1.56,0.28
"HW","PostFentonGoethite",324.1565,1,1.53,0.33
"HW","PostFentonGoethite",325.0929,1,1.2,0.53
"HW","PostFentonGoethite",325.1293,1,1.38,0.44
"HW","PostFentonGoethite",325.1657,1,1.53,0.35
"HW","PostFentonGoethite",325.1843,1,1.67,0.17
"HW","PostFentonGoethite",325.202,1,1.67,0.28
"HW","PostFentonGoethite",326.1358,1,1.5,0.43
"HW","PostFentonGoethite",326.1721,1,1.67,0.33
"HW","PostFentonGoethite",326.2085,1,1.81,0.25
"HW","PostFentonGoethite",327.0722,1,1.14,0.64
"HW","PostFentonGoethite",327.1085,1,1.33,0.53
"HW","PostFentonGoethite",327.1449,1,1.5,0.44
"HW","PostFentonGoethite",327.1813,1,1.65,0.35
"HW","PostFentonGoethite",327.2177,1,1.78,0.28
"HW","PostFentonGoethite",328.115,1,1.46,0.54
"HW","PostFentonGoethite",328.1514,1,1.64,0.43
"HW","PostFentonGoethite",328.1878,1,1.8,0.33
"HW","PostFentonGoethite",328.2242,1,1.94,0.25
"HW","PostFentonGoethite",329.0878,1,1.29,0.64
"HW","PostFentonGoethite",329.1242,1,1.47,0.53
"HW","PostFentonGoethite",329.1354,1,1.57,0.5
"HW","PostFentonGoethite",329.1394,1,1.16,0.26
"HW","PostFentonGoethite",329.1467,1,1.69,0.46
"HW","PostFentonGoethite",329.1606,1,1.62,0.44
"HW","PostFentonGoethite",329.1758,1,1.3,0.2
"HW","PostFentonGoethite",329.183,1,1.86,0.36
"HW","PostFentonGoethite",329.197,1,1.76,0.35
"HW","PostFentonGoethite",329.2333,1,1.89,0.28
"HW","PostFentonGoethite",330.1307,1,1.62,0.54
"HW","PostFentonGoethite",330.1671,1,1.79,0.43
"HW","PostFentonGoethite",330.2034,1,1.93,0.33
"HW","PostFentonGoethite",331.1035,1,1.43,0.64
"HW","PostFentonGoethite",331.1187,1,1.11,0.33
"HW","PostFentonGoethite",331.1398,1,1.6,0.53
"HW","PostFentonGoethite",331.1551,1,1.26,0.26
"HW","PostFentonGoethite",331.1762,1,1.75,0.44
"HW","PostFentonGoethite",331.1915,1,1.4,0.2
"HW","PostFentonGoethite",331.2126,1,1.88,0.35
"HW","PostFentonGoethite",332.1827,1,1.93,0.43
"HW","PostFentonGoethite",333.098,1,1.06,0.41
"HW","PostFentonGoethite",333.1191,1,1.57,0.64
"HW","PostFentonGoethite",333.1344,1,1.22,0.33
"HW","PostFentonGoethite",333.1555,1,1.73,0.53
"HW","PostFentonGoethite",333.1707,1,1.37,0.26
"HW","PostFentonGoethite",333.1919,1,1.88,0.44
"HW","PostFentonGoethite",333.2071,1,1.5,0.2
"HW","PostFentonGoethite",333.2469,1,2.11,0.17
"HW","PostFentonGoethite",335.062,1,1.33,0.92
"HW","PostFentonGoethite",335.0772,1,1,0.5
"HW","PostFentonGoethite",335.0984,1,1.54,0.77
"HW","PostFentonGoethite",335.1136,1,1.18,0.41
"HW","PostFentonGoethite",335.1348,1,1.71,0.64
"HW","PostFentonGoethite",335.15,1,1.33,0.33
"HW","PostFentonGoethite",335.1864,1,1.47,0.26
"HW","PostFentonGoethite",336.3272,1,1.95,0.05
"HW","PostFentonGoethite",337.0565,1,0.93,0.6
"HW","PostFentonGoethite",337.0776,1,1.5,0.92
"HW","PostFentonGoethite",337.0929,1,1.12,0.5
"HW","PostFentonGoethite",337.114,1,1.69,0.77
"HW","PostFentonGoethite",337.1293,1,1.29,0.41
"HW","PostFentonGoethite",337.1326,1,1.86,0.5
"HW","PostFentonGoethite",337.1657,1,1.44,0.33
"HW","PostFentonGoethite",337.169,1,2,0.4
"HW","PostFentonGoethite",337.202,1,1.58,0.26
"HW","PostFentonGoethite",337.2054,1,2.12,0.31
"HW","PostFentonGoethite",338.1721,1,1.56,0.31
"HW","PostFentonGoethite",339.0722,1,1.07,0.6
"HW","PostFentonGoethite",339.0933,1,1.67,0.92
"HW","PostFentonGoethite",339.1085,1,1.25,0.5
"HW","PostFentonGoethite",339.1119,1,1.85,0.62
"HW","PostFentonGoethite",339.1297,1,1.85,0.77
"HW","PostFentonGoethite",339.1449,1,1.41,0.41
"HW","PostFentonGoethite",339.1813,1,1.56,0.33
"HW","PostFentonGoethite",339.1999,1,1.68,0.16
"HW","PostFentonGoethite",339.3269,1,2,0.09
"HW","PostFentonGoethite",340.115,1,1.36,0.5
"HW","PostFentonGoethite",340.1514,1,1.53,0.4
"HW","PostFentonGoethite",340.1878,1,1.69,0.31
"HW","PostFentonGoethite",340.2242,1,1.82,0.24
"HW","PostFentonGoethite",341.0878,1,1.2,0.6
"HW","PostFentonGoethite",341.1242,1,1.38,0.5
"HW","PostFentonGoethite",341.1467,1,1.57,0.43
"HW","PostFentonGoethite",341.1606,1,1.53,0.41
"HW","PostFentonGoethite",341.1792,1,1.67,0.22
