"Mass","Forest","fenton","adsorbed","HC","OC","Class"
337.0776,"HW","PostFenton","unbound",1.5,0.92,"Carbohydrate-like"
337.0929,"HW","PostFenton","unbound",1.12,0.5,"Lignin-like"
337.0929,"HW","PreFenton","unbound",1.12,0.5,"Lignin-like"
337.114,"HW","PostFenton","unbound",1.69,0.77,"Carbohydrate-like"
337.114,"HW","PreFenton","new",1.69,0.77,"Carbohydrate-like"
337.1293,"HW","PostFenton","unbound",1.29,0.41,"Lignin-like"
337.1293,"HW","PreFenton","unbound",1.29,0.41,"Lignin-like"
337.1326,"HW","PostFenton","new",1.86,0.5,"Aliphatic-noN"
337.1326,"HW","PreFenton","unbound",1.86,0.5,"Aliphatic-noN"
337.1657,"HW","PostFenton","unbound",1.44,0.33,"Lignin-like"
337.1657,"HW","PreFenton","unbound",1.44,0.33,"Lignin-like"
337.169,"HW","PostFenton","new",2,0.4,"Aliphatic-noN"
337.169,"HW","PreFenton","new",2,0.4,"Aliphatic-noN"
337.202,"HW","PostFenton","new",1.58,0.26,"Aliphatic-noN"
337.202,"HW","PreFenton","new",1.58,0.26,"Aliphatic-noN"
337.2054,"HW","PostFenton","unbound",2.12,0.31,"Aliphatic-noN"
337.2054,"HW","PreFenton","unbound",2.12,0.31,"Aliphatic-noN"
338.1721,"HW","PostFenton","new",1.56,0.31,"Aliphatic+N"
338.1721,"HW","PreFenton","unbound",1.56,0.31,"Aliphatic+N"
339.0358,"HW","PostFenton","sorbed",0.86,0.71,"Lignin-like"
339.0358,"HW","PreFenton","sorbed",0.86,0.71,"Lignin-like"
339.051,"HW","PreFenton","sorbed",0.67,0.39,"Aromatic"
339.0569,"HW","PostFenton","sorbed",1.45,1.09,"Lignin-like"
339.0722,"HW","PostFenton","unbound",1.07,0.6,"Lignin-like"
339.0722,"HW","PreFenton","unbound",1.07,0.6,"Lignin-like"
339.0933,"HW","PostFenton","unbound",1.67,0.92,"Carbohydrate-like"
339.0933,"HW","PreFenton","new",1.67,0.92,"Carbohydrate-like"
339.1085,"HW","PostFenton","unbound",1.25,0.5,"Lignin-like"
339.1085,"HW","PreFenton","unbound",1.25,0.5,"Lignin-like"
339.1119,"HW","PostFenton","new",1.85,0.62,"Carbohydrate-like"
339.1297,"HW","PostFenton","unbound",1.85,0.77,"Carbohydrate-like"
339.1449,"HW","PostFenton","unbound",1.41,0.41,"Lignin-like"
339.1449,"HW","PreFenton","unbound",1.41,0.41,"Lignin-like"
339.1602,"HW","PostFenton","sorbed",1.14,0.19,"Lignin-like"
339.1813,"HW","PostFenton","unbound",1.56,0.33,"Aliphatic-noN"
339.1813,"HW","PreFenton","unbound",1.56,0.33,"Aliphatic-noN"
339.1999,"HW","PostFenton","unbound",1.68,0.16,"Aliphatic-noN"
339.1999,"HW","PreFenton","unbound",1.68,0.16,"Aliphatic-noN"
339.2177,"HW","PreFenton","new",1.68,0.26,"Aliphatic-noN"
339.3269,"HW","PostFenton","unbound",2,0.09,"Aliphatic-noN"
340.115,"HW","PostFenton","new",1.36,0.5,"Lignin-like"
340.1514,"HW","PostFenton","unbound",1.53,0.4,"Aliphatic+N"
340.1514,"HW","PreFenton","unbound",1.53,0.4,"Aliphatic+N"
340.1878,"HW","PostFenton","new",1.69,0.31,"Aliphatic+N"
340.1878,"HW","PreFenton","unbound",1.69,0.31,"Aliphatic+N"
340.2242,"HW","PostFenton","new",1.82,0.24,"Aliphatic+N"
340.2242,"HW","PreFenton","unbound",1.82,0.24,"Aliphatic+N"
341.0303,"HW","PreFenton","sorbed",0.59,0.47,"Condensed Ar"
341.0514,"HW","PostFenton","sorbed",1,0.71,"Lignin-like"
341.0514,"HW","PreFenton","sorbed",1,0.71,"Lignin-like"
341.0667,"HW","PreFenton","sorbed",0.78,0.39,"Aromatic"
341.0725,"HW","PostFenton","sorbed",1.64,1.09,"Carbohydrate-like"
