"Mass","C","H","N","O","S","P"
413.1817,20,30,0,9,0,0
429.1766,20,30,0,10,0,0
445.1715,20,30,0,11,0,0
509.1512,20,30,0,15,0,0
525.1461,20,30,0,16,0,0
541.141,20,30,0,17,0,0
421.2093,20,30,4,6,0,0
376.2242,20,31,3,4,0,0
351.2177,20,32,0,5,0,0
367.2126,20,32,0,6,0,0
383.2075,20,32,0,7,0,0
399.2024,20,32,0,8,0,0
415.1974,20,32,0,9,0,0
431.1923,20,32,0,10,0,0
495.1719,20,32,0,14,0,0
527.1618,20,32,0,16,0,0
543.1567,20,32,0,17,0,0
559.1516,20,32,0,18,0,0
439.2198,20,32,4,7,0,0
455.2147,20,32,4,8,0,0
470.2256,20,33,5,8,0,0
369.2283,20,34,0,6,0,0
385.2232,20,34,0,7,0,0
401.2181,20,34,0,8,0,0
417.213,20,34,0,9,0,0
433.2079,20,34,0,10,0,0
513.1825,20,34,0,15,0,0
545.1723,20,34,0,17,0,0
561.1672,20,34,0,18,0,0
425.2406,20,34,4,6,0,0
441.2355,20,34,4,7,0,0
457.2304,20,34,4,8,0,0
456.2464,20,35,5,7,0,0
472.2413,20,35,5,8,0,0
371.2439,20,36,0,6,0,0
387.2388,20,36,0,7,0,0
403.2337,20,36,0,8,0,0
419.2287,20,36,0,9,0,0
411.2613,20,36,4,5,0,0
427.2562,20,36,4,6,0,0
443.2511,20,36,4,7,0,0
459.246,20,36,4,8,0,0
458.262,20,37,5,7,0,0
373.2596,20,38,0,6,0,0
389.2545,20,38,0,7,0,0
421.2265,20,38,0,7,1,0
405.2494,20,38,0,8,0,0
413.2769,20,38,4,5,0,0
429.2719,20,38,4,6,0,0
375.2752,20,40,0,6,0,0
425.2578,20,42,0,7,1,0
441.2528,20,42,0,8,1,0
391.0459,21,12,0,8,0,0
407.0409,21,12,0,9,0,0
423.0358,21,12,0,10,0,0
439.0307,21,12,0,11,0,0
455.0256,21,12,0,12,0,0
471.0205,21,12,0,13,0,0
377.0667,21,14,0,7,0,0
393.0616,21,14,0,8,0,0
409.0565,21,14,0,9,0,0
425.0514,21,14,0,10,0,0
441.0463,21,14,0,11,0,0
457.0412,21,14,0,12,0,0
473.0362,21,14,0,13,0,0
489.0311,21,14,0,14,0,0
379.0823,21,16,0,7,0,0
395.0772,21,16,0,8,0,0
411.0722,21,16,0,9,0,0
427.0671,21,16,0,10,0,0
443.062,21,16,0,11,0,0
459.0569,21,16,0,12,0,0
475.0518,21,16,0,13,0,0
491.0467,21,16,0,14,0,0
507.0416,21,16,0,15,0,0
381.098,21,18,0,7,0,0
397.0929,21,18,0,8,0,0
413.0878,21,18,0,9,0,0
429.0827,21,18,0,10,0,0
445.0776,21,18,0,11,0,0
461.0725,21,18,0,12,0,0
477.0675,21,18,0,13,0,0
493.0624,21,18,0,14,0,0
509.0573,21,18,0,15,0,0
428.0987,21,19,1,9,0,0
367.1187,21,20,0,6,0,0
383.1136,21,20,0,7,0,0
399.1085,21,20,0,8,0,0
415.1035,21,20,0,9,0,0
431.0984,21,20,0,10,0,0
447.0933,21,20,0,11,0,0
463.0882,21,20,0,12,0,0
479.0831,21,20,0,13,0,0
495.078,21,20,0,14,0,0
511.0729,21,20,0,15,0,0
527.0679,21,20,0,16,0,0
369.1344,21,22,0,6,0,0
385.1293,21,22,0,7,0,0
401.1242,21,22,0,8,0,0
417.1191,21,22,0,9,0,0
433.114,21,22,0,10,0,0
449.1089,21,22,0,11,0,0
465.1038,21,22,0,12,0,0
481.0988,21,22,0,13,0,0
497.0937,21,22,0,14,0,0
513.0886,21,22,0,15,0,0
355.1551,21,24,0,5,0,0
371.15,21,24,0,6,0,0
387.1449,21,24,0,7,0,0
403.1398,21,24,0,8,0,0
419.1348,21,24,0,9,0,0
435.1297,21,24,0,10,0,0
451.1246,21,24,0,11,0,0
467.1195,21,24,0,12,0,0
483.1144,21,24,0,13,0,0
499.1093,21,24,0,14,0,0
357.1707,21,26,0,5,0,0
373.1657,21,26,0,6,0,0
389.1606,21,26,0,7,0,0
405.1555,21,26,0,8,0,0
421.1504,21,26,0,9,0,0
437.1453,21,26,0,10,0,0
453.1402,21,26,0,11,0,0
469.1351,21,26,0,12,0,0
485.1301,21,26,0,13,0,0
359.1864,21,28,0,5,0,0
375.1813,21,28,0,6,0,0
391.1762,21,28,0,7,0,0
407.1711,21,28,0,8,0,0
423.1661,21,28,0,9,0,0
439.161,21,28,0,10,0,0
455.1559,21,28,0,11,0,0
471.1508,21,28,0,12,0,0
487.1457,21,28,0,13,0,0
361.202,21,30,0,5,0,0
377.197,21,30,0,6,0,0
393.1919,21,30,0,7,0,0
409.1868,21,30,0,8,0,0
425.1817,21,30,0,9,0,0
441.1766,21,30,0,10,0,0
457.1715,21,30,0,11,0,0
473.1664,21,30,0,12,0,0
363.2177,21,32,0,5,0,0
379.2126,21,32,0,6,0,0
395.2075,21,32,0,7,0,0
411.2024,21,32,0,8,0,0
427.1974,21,32,0,9,0,0
443.1923,21,32,0,10,0,0
459.1872,21,32,0,11,0,0
523.1668,21,32,0,15,0,0
435.2249,21,32,4,6,0,0
374.2449,21,33,3,3,0,0
381.2283,21,34,0,6,0,0
397.2232,21,34,0,7,0,0
413.2181,21,34,0,8,0,0
429.213,21,34,0,9,0,0
445.2079,21,34,0,10,0,0
461.2028,21,34,0,11,0,0
541.1774,21,34,0,16,0,0
557.1723,21,34,0,17,0,0
589.1622,21,34,0,19,0,0
469.2304,21,34,4,8,0,0
383.2439,21,36,0,6,0,0
399.2388,21,36,0,7,0,0
415.2337,21,36,0,8,0,0
431.2287,21,36,0,9,0,0
447.2236,21,36,0,10,0,0
463.2185,21,36,0,11,0,0
455.2511,21,36,4,7,0,0
486.2569,21,37,5,8,0,0
401.2545,21,38,0,7,0,0
417.2494,21,38,0,8,0,0
433.2443,21,38,0,9,0,0
457.2668,21,38,4,7,0,0
419.265,21,40,0,8,0,0
435.26,21,40,0,9,0,0
419.0409,22,12,0,9,0,0
405.0616,22,14,0,8,0,0
421.0565,22,14,0,9,0,0
437.0514,22,14,0,10,0,0
453.0463,22,14,0,11,0,0
469.0412,22,14,0,12,0,0
485.0362,22,14,0,13,0,0
501.0311,22,14,0,14,0,0
407.0772,22,16,0,8,0,0
423.0722,22,16,0,9,0,0
439.0671,22,16,0,10,0,0
455.062,22,16,0,11,0,0
471.0569,22,16,0,12,0,0
487.0518,22,16,0,13,0,0
503.0467,22,16,0,14,0,0
393.098,22,18,0,7,0,0
409.0929,22,18,0,8,0,0
425.0878,22,18,0,9,0,0
441.0827,22,18,0,10,0,0
457.0776,22,18,0,11,0,0
473.0725,22,18,0,12,0,0
489.0675,22,18,0,13,0,0
505.0624,22,18,0,14,0,0
521.0573,22,18,0,15,0,0
395.1136,22,20,0,7,0,0
411.1085,22,20,0,8,0,0
427.1035,22,20,0,9,0,0
443.0984,22,20,0,10,0,0
459.0933,22,20,0,11,0,0
475.0882,22,20,0,12,0,0
491.0831,22,20,0,13,0,0
507.078,22,20,0,14,0,0
523.0729,22,20,0,15,0,0
539.0679,22,20,0,16,0,0
397.1293,22,22,0,7,0,0
413.1242,22,22,0,8,0,0
429.1191,22,22,0,9,0,0
445.114,22,22,0,10,0,0
461.1089,22,22,0,11,0,0
477.1038,22,22,0,12,0,0
493.0988,22,22,0,13,0,0
509.0937,22,22,0,14,0,0
525.0886,22,22,0,15,0,0
383.15,22,24,0,6,0,0
399.1449,22,24,0,7,0,0
415.1398,22,24,0,8,0,0
431.1348,22,24,0,9,0,0
447.1297,22,24,0,10,0,0
463.1246,22,24,0,11,0,0
479.1195,22,24,0,12,0,0
495.1144,22,24,0,13,0,0
511.1093,22,24,0,14,0,0
527.1042,22,24,0,15,0,0
369.1707,22,26,0,5,0,0
385.1657,22,26,0,6,0,0
401.1606,22,26,0,7,0,0
417.1555,22,26,0,8,0,0
433.1504,22,26,0,9,0,0
449.1453,22,26,0,10,0,0
465.1402,22,26,0,11,0,0
481.1351,22,26,0,12,0,0
497.1301,22,26,0,13,0,0
513.125,22,26,0,14,0,0
371.1864,22,28,0,5,0,0
387.1813,22,28,0,6,0,0
403.1762,22,28,0,7,0,0
419.1711,22,28,0,8,0,0
435.1661,22,28,0,9,0,0
451.161,22,28,0,10,0,0
467.1559,22,28,0,11,0,0
483.1508,22,28,0,12,0,0
499.1457,22,28,0,13,0,0
373.202,22,30,0,5,0,0
389.197,22,30,0,6,0,0
405.1919,22,30,0,7,0,0
421.1868,22,30,0,8,0,0
437.1817,22,30,0,9,0,0
453.1766,22,30,0,10,0,0
469.1715,22,30,0,11,0,0
485.1664,22,30,0,12,0,0
375.2177,22,32,0,5,0,0
391.2126,22,32,0,6,0,0
407.2075,22,32,0,7,0,0
423.2024,22,32,0,8,0,0
439.1974,22,32,0,9,0,0
455.1923,22,32,0,10,0,0
471.1872,22,32,0,11,0,0
487.1821,22,32,0,12,0,0
503.177,22,32,0,13,0,0
393.2283,22,34,0,6,0,0
409.2232,22,34,0,7,0,0
425.2181,22,34,0,8,0,0
441.213,22,34,0,9,0,0
457.2079,22,34,0,10,0,0
473.2028,22,34,0,11,0,0
489.1977,22,34,0,12,0,0
585.1672,22,34,0,18,0,0
395.2439,22,36,0,6,0,0
411.2388,22,36,0,7,0,0
427.2337,22,36,0,8,0,0
443.2287,22,36,0,9,0,0
459.2236,22,36,0,10,0,0
475.2185,22,36,0,11,0,0
491.2134,22,36,0,12,0,0
571.188,22,36,0,17,0,0
587.1829,22,36,0,18,0,0
603.1778,22,36,0,19,0,0
413.2545,22,38,0,7,0,0
429.2494,22,38,0,8,0,0
445.2443,22,38,0,9,0,0
461.2392,22,38,0,10,0,0
477.2341,22,38,0,11,0,0
493.229,22,38,0,12,0,0
481.0412,23,14,0,12,0,0
435.0722,23,16,0,9,0,0
451.0671,23,16,0,10,0,0
467.062,23,16,0,11,0,0
483.0569,23,16,0,12,0,0
499.0518,23,16,0,13,0,0
515.0467,23,16,0,14,0,0
531.0416,23,16,0,15,0,0
437.0878,23,18,0,9,0,0
453.0827,23,18,0,10,0,0
469.0776,23,18,0,11,0,0
485.0725,23,18,0,12,0,0
501.0675,23,18,0,13,0,0
517.0624,23,18,0,14,0,0
533.0573,23,18,0,15,0,0
549.0522,23,18,0,16,0,0
439.1035,23,20,0,9,0,0
455.0984,23,20,0,10,0,0
471.0933,23,20,0,11,0,0
487.0882,23,20,0,12,0,0
503.0831,23,20,0,13,0,0
519.078,23,20,0,14,0,0
535.0729,23,20,0,15,0,0
551.0679,23,20,0,16,0,0
409.1293,23,22,0,7,0,0
425.1242,23,22,0,8,0,0
441.1191,23,22,0,9,0,0
457.114,23,22,0,10,0,0
473.1089,23,22,0,11,0,0
489.1038,23,22,0,12,0,0
505.0988,23,22,0,13,0,0
521.0937,23,22,0,14,0,0
537.0886,23,22,0,15,0,0
553.0835,23,22,0,16,0,0
395.15,23,24,0,6,0,0
411.1449,23,24,0,7,0,0
427.1398,23,24,0,8,0,0
443.1348,23,24,0,9,0,0
459.1297,23,24,0,10,0,0
475.1246,23,24,0,11,0,0
491.1195,23,24,0,12,0,0
507.1144,23,24,0,13,0,0
523.1093,23,24,0,14,0,0
539.1042,23,24,0,15,0,0
397.1657,23,26,0,6,0,0
413.1606,23,26,0,7,0,0
429.1555,23,26,0,8,0,0
445.1504,23,26,0,9,0,0
461.1453,23,26,0,10,0,0
477.1402,23,26,0,11,0,0
493.1351,23,26,0,12,0,0
509.1301,23,26,0,13,0,0
525.125,23,26,0,14,0,0
541.1199,23,26,0,15,0,0
399.1813,23,28,0,6,0,0
415.1762,23,28,0,7,0,0
431.1711,23,28,0,8,0,0
447.1661,23,28,0,9,0,0
463.161,23,28,0,10,0,0
479.1559,23,28,0,11,0,0
495.1508,23,28,0,12,0,0
511.1457,23,28,0,13,0,0
527.1406,23,28,0,14,0,0
385.202,23,30,0,5,0,0
401.197,23,30,0,6,0,0
417.1919,23,30,0,7,0,0
433.1868,23,30,0,8,0,0
449.1817,23,30,0,9,0,0
465.1766,23,30,0,10,0,0
481.1715,23,30,0,11,0,0
497.1664,23,30,0,12,0,0
387.2177,23,32,0,5,0,0
403.2126,23,32,0,6,0,0
419.2075,23,32,0,7,0,0
435.2024,23,32,0,8,0,0
451.1974,23,32,0,9,0,0
467.1923,23,32,0,10,0,0
483.1872,23,32,0,11,0,0
499.1821,23,32,0,12,0,0
389.2333,23,34,0,5,0,0
405.2283,23,34,0,6,0,0
421.2232,23,34,0,7,0,0
437.2181,23,34,0,8,0,0
453.213,23,34,0,9,0,0
469.2079,23,34,0,10,0,0
485.2028,23,34,0,11,0,0
407.2439,23,36,0,6,0,0
423.2388,23,36,0,7,0,0
439.2337,23,36,0,8,0,0
455.2287,23,36,0,9,0,0
471.2236,23,36,0,10,0,0
487.2185,23,36,0,11,0,0
583.188,23,36,0,17,0,0
425.2545,23,38,0,7,0,0
441.2494,23,38,0,8,0,0
457.2443,23,38,0,9,0,0
617.1935,23,38,0,19,0,0
633.1884,23,38,0,20,0,0
459.26,23,40,0,9,0,0
603.2142,23,40,0,18,0,0
479.062,24,16,0,11,0,0
495.0569,24,16,0,12,0,0
481.0776,24,18,0,11,0,0
497.0725,24,18,0,12,0,0
513.0675,24,18,0,13,0,0
529.0624,24,18,0,14,0,0
545.0573,24,18,0,15,0,0
561.0522,24,18,0,16,0,0
467.0984,24,20,0,10,0,0
483.0933,24,20,0,11,0,0
499.0882,24,20,0,12,0,0
515.0831,24,20,0,13,0,0
531.078,24,20,0,14,0,0
547.0729,24,20,0,15,0,0
563.0679,24,20,0,16,0,0
453.1191,24,22,0,9,0,0
469.114,24,22,0,10,0,0
485.1089,24,22,0,11,0,0
501.1038,24,22,0,12,0,0
517.0988,24,22,0,13,0,0
533.0937,24,22,0,14,0,0
549.0886,24,22,0,15,0,0
455.1348,24,24,0,9,0,0
471.1297,24,24,0,10,0,0
487.1246,24,24,0,11,0,0
503.1195,24,24,0,12,0,0
519.1144,24,24,0,13,0,0
535.1093,24,24,0,14,0,0
425.1606,24,26,0,7,0,0
441.1555,24,26,0,8,0,0
457.1504,24,26,0,9,0,0
473.1453,24,26,0,10,0,0
489.1402,24,26,0,11,0,0
505.1351,24,26,0,12,0,0
521.1301,24,26,0,13,0,0
537.125,24,26,0,14,0,0
553.1199,24,26,0,15,0,0
411.1813,24,28,0,6,0,0
427.1762,24,28,0,7,0,0
443.1711,24,28,0,8,0,0
459.1661,24,28,0,9,0,0
475.161,24,28,0,10,0,0
491.1559,24,28,0,11,0,0
507.1508,24,28,0,12,0,0
523.1457,24,28,0,13,0,0
539.1406,24,28,0,14,0,0
413.197,24,30,0,6,0,0
429.1919,24,30,0,7,0,0
445.1868,24,30,0,8,0,0
461.1817,24,30,0,9,0,0
477.1766,24,30,0,10,0,0
493.1715,24,30,0,11,0,0
509.1664,24,30,0,12,0,0
525.1614,24,30,0,13,0,0
399.2177,24,32,0,5,0,0
415.2126,24,32,0,6,0,0
431.2075,24,32,0,7,0,0
447.2024,24,32,0,8,0,0
463.1974,24,32,0,9,0,0
479.1923,24,32,0,10,0,0
495.1872,24,32,0,11,0,0
511.1821,24,32,0,12,0,0
401.2333,24,34,0,5,0,0
417.2283,24,34,0,6,0,0
433.2232,24,34,0,7,0,0
449.2181,24,34,0,8,0,0
465.213,24,34,0,9,0,0
481.2079,24,34,0,10,0,0
497.2028,24,34,0,11,0,0
513.1977,24,34,0,12,0,0
403.249,24,36,0,5,0,0
419.2439,24,36,0,6,0,0
435.2388,24,36,0,7,0,0
451.2337,24,36,0,8,0,0
467.2287,24,36,0,9,0,0
483.2236,24,36,0,10,0,0
499.2185,24,36,0,11,0,0
515.2134,24,36,0,12,0,0
643.1727,24,36,0,20,0,0
421.2596,24,38,0,6,0,0
437.2545,24,38,0,7,0,0
453.2494,24,38,0,8,0,0
469.2443,24,38,0,9,0,0
485.2392,24,38,0,10,0,0
645.1884,24,38,0,20,0,0
661.1833,24,38,0,21,0,0
608.2308,24,39,3,15,0,0
471.26,24,40,0,9,0,0
631.2091,24,40,0,19,0,0
647.204,24,40,0,20,0,0
367.3582,24,48,0,2,0,0
511.0882,25,20,0,12,0,0
527.0831,25,20,0,13,0,0
543.078,25,20,0,14,0,0
559.0729,25,20,0,15,0,0
513.1038,25,22,0,12,0,0
529.0988,25,22,0,13,0,0
545.0937,25,22,0,14,0,0
499.1246,25,24,0,11,0,0
515.1195,25,24,0,12,0,0
531.1144,25,24,0,13,0,0
547.1093,25,24,0,14,0,0
563.1042,25,24,0,15,0,0
485.1453,25,26,0,10,0,0
501.1402,25,26,0,11,0,0
517.1351,25,26,0,12,0,0
533.1301,25,26,0,13,0,0
549.125,25,26,0,14,0,0
565.1199,25,26,0,15,0,0
439.1762,25,28,0,7,0,0
455.1711,25,28,0,8,0,0
471.1661,25,28,0,9,0,0
487.161,25,28,0,10,0,0
503.1559,25,28,0,11,0,0
519.1508,25,28,0,12,0,0
535.1457,25,28,0,13,0,0
551.1406,25,28,0,14,0,0
441.1919,25,30,0,7,0,0
457.1868,25,30,0,8,0,0
473.1817,25,30,0,9,0,0
489.1766,25,30,0,10,0,0
505.1715,25,30,0,11,0,0
521.1664,25,30,0,12,0,0
537.1614,25,30,0,13,0,0
427.2126,25,32,0,6,0,0
443.2075,25,32,0,7,0,0
459.2024,25,32,0,8,0,0
475.1974,25,32,0,9,0,0
491.1923,25,32,0,10,0,0
507.1872,25,32,0,11,0,0
523.1821,25,32,0,12,0,0
429.2283,25,34,0,6,0,0
445.2232,25,34,0,7,0,0
461.2181,25,34,0,8,0,0
477.213,25,34,0,9,0,0
493.2079,25,34,0,10,0,0
509.2028,25,34,0,11,0,0
525.1977,25,34,0,12,0,0
541.1927,25,34,0,13,0,0
415.249,25,36,0,5,0,0
431.2439,25,36,0,6,0,0
447.2388,25,36,0,7,0,0
463.2337,25,36,0,8,0,0
479.2287,25,36,0,9,0,0
495.2236,25,36,0,10,0,0
511.2185,25,36,0,11,0,0
449.2545,25,38,0,7,0,0
465.2494,25,38,0,8,0,0
481.2443,25,38,0,9,0,0
497.2392,25,38,0,10,0,0
451.2701,25,40,0,7,0,0
467.265,25,40,0,8,0,0
499.2549,25,40,0,10,0,0
659.204,25,40,0,20,0,0
677.2146,25,42,0,21,0,0
523.0882,26,20,0,12,0,0
555.078,26,20,0,14,0,0
541.0988,26,22,0,13,0,0
511.1246,26,24,0,11,0,0
543.1144,26,24,0,13,0,0
559.1093,26,24,0,14,0,0
497.1453,26,26,0,10,0,0
513.1402,26,26,0,11,0,0
529.1351,26,26,0,12,0,0
561.125,26,26,0,14,0,0
577.1199,26,26,0,15,0,0
467.1711,26,28,0,8,0,0
483.1661,26,28,0,9,0,0
499.161,26,28,0,10,0,0
515.1559,26,28,0,11,0,0
531.1508,26,28,0,12,0,0
547.1457,26,28,0,13,0,0
563.1406,26,28,0,14,0,0
485.1817,26,30,0,9,0,0
501.1766,26,30,0,10,0,0
517.1715,26,30,0,11,0,0
533.1664,26,30,0,12,0,0
549.1614,26,30,0,13,0,0
565.1563,26,30,0,14,0,0
455.2075,26,32,0,7,0,0
471.2024,26,32,0,8,0,0
487.1974,26,32,0,9,0,0
503.1923,26,32,0,10,0,0
519.1872,26,32,0,11,0,0
535.1821,26,32,0,12,0,0
551.177,26,32,0,13,0,0
441.2283,26,34,0,6,0,0
457.2232,26,34,0,7,0,0
473.2181,26,34,0,8,0,0
489.213,26,34,0,9,0,0
505.2079,26,34,0,10,0,0
521.2028,26,34,0,11,0,0
537.1977,26,34,0,12,0,0
443.2439,26,36,0,6,0,0
459.2388,26,36,0,7,0,0
475.2337,26,36,0,8,0,0
491.2287,26,36,0,9,0,0
507.2236,26,36,0,10,0,0
523.2185,26,36,0,11,0,0
539.2134,26,36,0,12,0,0
445.2596,26,38,0,6,0,0
461.2545,26,38,0,7,0,0
477.2494,26,38,0,8,0,0
493.2443,26,38,0,9,0,0
509.2392,26,38,0,10,0,0
525.2341,26,38,0,11,0,0
463.2701,26,40,0,7,0,0
479.265,26,40,0,8,0,0
495.26,26,40,0,9,0,0
511.2549,26,40,0,10,0,0
527.2498,26,40,0,11,0,0
481.2807,26,42,0,8,0,0
497.2756,26,42,0,9,0,0
513.2705,26,42,0,10,0,0
529.2654,26,42,0,11,0,0
657.2248,26,42,0,19,0,0
673.2197,26,42,0,20,0,0
543.1508,27,28,0,12,0,0
575.1406,27,28,0,14,0,0
497.1817,27,30,0,9,0,0
513.1766,27,30,0,10,0,0
561.1614,27,30,0,13,0,0
467.2075,27,32,0,7,0,0
499.1974,27,32,0,9,0,0
515.1923,27,32,0,10,0,0
531.1872,27,32,0,11,0,0
547.1821,27,32,0,12,0,0
563.177,27,32,0,13,0,0
469.2232,27,34,0,7,0,0
485.2181,27,34,0,8,0,0
501.213,27,34,0,9,0,0
517.2079,27,34,0,10,0,0
533.2028,27,34,0,11,0,0
549.1977,27,34,0,12,0,0
565.1927,27,34,0,13,0,0
455.2439,27,36,0,6,0,0
471.2388,27,36,0,7,0,0
487.2337,27,36,0,8,0,0
503.2287,27,36,0,9,0,0
519.2236,27,36,0,10,0,0
535.2185,27,36,0,11,0,0
551.2134,27,36,0,12,0,0
457.2596,27,38,0,6,0,0
473.2545,27,38,0,7,0,0
489.2494,27,38,0,8,0,0
505.2443,27,38,0,9,0,0
521.2392,27,38,0,10,0,0
537.2341,27,38,0,11,0,0
553.229,27,38,0,12,0,0
459.2752,27,40,0,6,0,0
475.2701,27,40,0,7,0,0
491.265,27,40,0,8,0,0
507.26,27,40,0,9,0,0
523.2549,27,40,0,10,0,0
539.2498,27,40,0,11,0,0
477.2858,27,42,0,7,0,0
493.2807,27,42,0,8,0,0
509.2756,27,42,0,9,0,0
525.2705,27,42,0,10,0,0
479.3014,27,44,0,7,0,0
495.2963,27,44,0,8,0,0
735.2201,27,44,0,23,0,0
571.1457,28,28,0,13,0,0
573.1614,28,30,0,13,0,0
543.1872,28,32,0,11,0,0
559.1821,28,32,0,12,0,0
513.213,28,34,0,9,0,0
529.2079,28,34,0,10,0,0
545.2028,28,34,0,11,0,0
561.1977,28,34,0,12,0,0
483.2388,28,36,0,7,0,0
499.2337,28,36,0,8,0,0
515.2287,28,36,0,9,0,0
531.2236,28,36,0,10,0,0
547.2185,28,36,0,11,0,0
563.2134,28,36,0,12,0,0
579.2083,28,36,0,13,0,0
485.2545,28,38,0,7,0,0
501.2494,28,38,0,8,0,0
517.2443,28,38,0,9,0,0
533.2392,28,38,0,10,0,0
549.2341,28,38,0,11,0,0
471.2752,28,40,0,6,0,0
487.2701,28,40,0,7,0,0
503.265,28,40,0,8,0,0
519.26,28,40,0,9,0,0
535.2549,28,40,0,10,0,0
551.2498,28,40,0,11,0,0
473.2909,28,42,0,6,0,0
489.2858,28,42,0,7,0,0
505.2807,28,42,0,8,0,0
521.2756,28,42,0,9,0,0
537.2705,28,42,0,10,0,0
553.2654,28,42,0,11,0,0
539.2862,28,44,0,10,0,0
585.1614,29,30,0,13,0,0
587.177,29,32,0,13,0,0
525.213,29,34,0,9,0,0
527.2287,29,36,0,9,0,0
543.2236,29,36,0,10,0,0
497.2545,29,38,0,7,0,0
513.2494,29,38,0,8,0,0
529.2443,29,38,0,9,0,0
545.2392,29,38,0,10,0,0
561.2341,29,38,0,11,0,0
499.2701,29,40,0,7,0,0
515.265,29,40,0,8,0,0
531.26,29,40,0,9,0,0
547.2549,29,40,0,10,0,0
563.2498,29,40,0,11,0,0
485.2909,29,42,0,6,0,0
501.2858,29,42,0,7,0,0
517.2807,29,42,0,8,0,0
533.2756,29,42,0,9,0,0
549.2705,29,42,0,10,0,0
487.3065,29,44,0,6,0,0
503.3014,29,44,0,7,0,0
519.2963,29,44,0,8,0,0
535.2913,29,44,0,9,0,0
551.2862,29,44,0,10,0,0
505.3171,29,46,0,7,0,0
521.312,29,46,0,8,0,0
545.1288,30,28,0,6,0,2
486.2204,30,34,1,3,0,1
587.2134,30,36,0,12,0,0
527.265,30,40,0,8,0,0
543.26,30,40,0,9,0,0
559.2549,30,40,0,10,0,0
575.2498,30,40,0,11,0,0
513.2858,30,42,0,7,0,0
529.2807,30,42,0,8,0,0
545.2756,30,42,0,9,0,0
561.2705,30,42,0,10,0,0
499.3065,30,44,0,6,0,0
515.3014,30,44,0,7,0,0
531.2963,30,44,0,8,0,0
547.2913,30,44,0,9,0,0
563.2862,30,44,0,10,0,0
485.3272,30,46,0,5,0,0
501.3222,30,46,0,6,0,0
517.3171,30,46,0,7,0,0
533.312,30,46,0,8,0,0
487.3429,30,48,0,5,0,0
503.3378,30,48,0,6,0,0
519.3327,30,48,0,7,0,0
535.3276,30,48,0,8,0,0
500.236,31,36,1,3,0,1
321.0827,12,18,0,10,0,0
369.0675,12,18,0,13,0,0
339.0933,12,20,0,11,0,0
357.0861,12,22,0,10,1,0
379.0341,13,16,0,11,1,0
319.0857,13,20,0,7,1,0
383.0831,13,20,0,13,0,0
314.1358,13,21,3,6,0,0
337.114,13,22,0,10,0,0
323.1348,13,24,0,9,0,0
315.1085,14,20,0,8,0,0
397.0988,14,22,0,13,0,0
329.1354,14,22,2,7,0,0
357.1416,14,22,4,7,0,0
344.1463,14,23,3,7,0,0
351.1297,14,24,0,10,0,0
431.096,14,25,0,13,0,1
314.1721,14,25,3,5,0,0
353.1276,14,26,0,8,1,0
369.1225,14,26,0,9,1,0
329.183,14,26,4,5,0,0
300.1929,14,27,3,4,0,0
364.1548,14,27,3,6,1,0
309.1741,14,30,0,5,1,0
309.098,15,18,0,7,0,0
423.0603,15,20,0,12,1,0
322.1408,15,21,3,5,0,0
297.1344,15,22,0,6,0,0
353.1467,15,22,4,6,0,0
324.1565,15,23,3,5,0,0
299.15,15,24,0,6,0,0
347.117,15,24,0,7,1,0
363.1297,15,24,0,10,0,0
317.1606,15,26,0,7,0,0
333.1555,15,26,0,8,0,0
349.1504,15,26,0,9,0,0
313.1769,15,26,2,5,0,0
329.1718,15,26,2,6,0,0
351.1483,15,28,0,7,1,0
367.1432,15,28,0,8,1,0
383.1381,15,28,0,9,1,0
367.161,15,28,0,10,0,0
447.1178,15,28,0,13,1,0
394.1653,15,29,3,7,1,0
337.169,15,30,0,6,1,0
332.1252,16,19,3,5,0,0
309.1344,16,22,0,6,0,0
373.0963,16,22,0,8,1,0
421.081,16,22,0,11,1,0
336.1565,16,23,3,5,0,0
391.1246,16,24,0,11,0,0
439.1093,16,24,0,14,0,0
403.1358,16,24,2,10,0,0
367.1623,16,24,4,6,0,0
374.1457,16,25,1,9,0,0
297.153,16,26,0,3,1,0
388.1548,16,27,3,6,1,0
395.1559,16,28,0,11,0,0
411.1508,16,28,0,12,0,0
327.1925,16,28,2,5,0,0
386.2045,16,29,5,6,0,0
402.1994,16,29,5,7,0,0
317.197,16,30,0,6,0,0
333.1919,16,30,0,7,0,0
365.1639,16,30,0,7,1,0
381.1589,16,30,0,8,1,0
335.1898,16,32,0,5,1,0
319.2126,16,32,0,6,0,0
351.1847,16,32,0,6,1,0
367.1796,16,32,0,7,1,0
362.1358,17,21,3,6,0,0
333.1456,17,22,2,5,0,0
348.1565,17,23,3,5,0,0
364.1514,17,23,3,6,0,0
307.1551,17,24,0,5,0,0
433.0931,17,26,2,5,3,0
428.1787,17,27,5,8,0,0
311.1864,17,28,0,5,0,0
371.1824,17,28,2,7,0,0
431.1784,17,28,4,9,0,0
398.2045,17,29,5,6,0,0
414.1994,17,29,5,7,0,0
409.1715,17,30,0,11,0,0
425.1664,17,30,0,12,0,0
341.2082,17,30,2,5,0,0
472.1494,17,31,1,12,1,0
356.2191,17,31,3,5,0,0
315.2177,17,32,0,5,0,0
363.2024,17,32,0,8,0,0
390.2068,17,33,3,5,1,0
365.2003,17,34,0,6,1,0
