Mass,HC,OC
591.3176,1.5,0.31
593.1646,1.33,0.26
593.1758,0.62,0.1
593.2814,1.7,0.52
593.2967,1.48,0.35
593.3332,1.56,0.31
594.1726,2.05,0.32
595.155,0.59,0.12
595.3124,1.55,0.35
595.3489,1.62,0.31
596.1518,2.05,0.38
597.1252,0.9,0.48
597.1978,1.1,0.39
597.2341,1.19,0.34
597.2402,1.68,0.64
597.2705,1.27,0.3
597.2917,1.53,0.4
597.3281,1.61,0.35
599.1043,0.86,0.54
599.2135,1.16,0.39
599.25,1.25,0.34
599.2557,1.76,0.64
599.271,1.52,0.45
599.2862,1.33,0.3
599.3074,1.6,0.4
599.3438,1.68,0.35
601.2502,1.5,0.5
601.2654,1.31,0.34
601.2867,1.59,0.45
601.3018,1.39,0.3
601.323,1.67,0.4
601.3956,1.81,0.31
601.396,1.81,0.31
602.2315,1.12,0.21
603.2659,1.57,0.5
603.281,1.38,0.34
603.3023,1.66,0.45
603.3175,1.45,0.3
603.328,1.56,0.15
605.2604,1.35,0.39
605.2816,1.64,0.5
605.2968,1.44,0.34
605.3333,1.52,0.3
607.1305,1.04,0.59
607.2761,1.42,0.39
607.297,1.71,0.5
607.3125,1.5,0.34
607.349,1.58,0.3
609.1461,1.11,0.59
609.1706,0.62,0.12
609.2917,1.48,0.39
609.3282,1.56,0.34
610.0957,0.89,0.32
611.1771,1.03,0.42
611.2194,1.6,0.68
611.3074,1.55,0.39
611.3438,1.62,0.34
613.1564,1,0.47
613.1694,1.3,0.52
613.1929,1.1,0.42
613.2292,1.19,0.38
613.235,1.68,0.68
613.2502,1.45,0.48
613.2655,1.27,0.33
613.2866,1.53,0.43
613.323,1.61,0.39
615.2084,1.16,0.42
615.2447,1.25,0.38
615.2506,1.76,0.68
615.2659,1.52,0.48
615.2811,1.33,0.33
615.3023,1.6,0.43
615.3177,1.41,0.29
615.3388,1.68,0.39
616.2473,1.96,0.27
617.1512,1.03,0.52
617.2241,1.23,0.42
617.2604,1.31,0.38
617.2816,1.59,0.48
617.2969,1.39,0.33
617.3028,1.92,0.62
617.3181,1.67,0.43
617.3334,1.47,0.29
617.829,1,0.24
619.2396,1.29,0.42
619.2761,1.38,0.38
619.3125,1.45,0.33
621.1826,1.17,0.52
621.2553,1.35,0.42
621.2917,1.44,0.38
621.3281,1.52,0.33
622.2102,1.54,0.67
623.2349,1.24,0.18
623.271,1.42,0.42
623.3074,1.5,0.38
623.344,1.58,0.33
625.0954,0.9,0.34
625.2293,1.15,0.36
625.2503,1.4,0.47
625.2655,1.24,0.32
625.2867,1.48,0.42
625.323,1.56,0.38
625.3596,1.64,0.33
627.1721,1.03,0.45
627.2086,1.12,0.41
627.2449,1.21,0.36
627.2506,1.69,0.65
627.2659,1.47,0.47
627.2813,1.29,0.32
627.3024,1.55,0.42
627.3388,1.62,0.38
629.1513,1,0.5
629.224,1.19,0.41
629.2606,1.27,0.36
629.2663,1.77,0.65
629.2815,1.53,0.47
629.2968,1.35,0.32
629.3179,1.61,0.42
631.167,1.07,0.5
631.2761,1.33,0.36
631.3125,1.41,0.32
631.3336,1.68,0.42
633.1827,1.13,0.5
633.2554,1.31,0.41
633.2917,1.39,0.36
633.3282,1.47,0.32
634.2119,1.09,0.26
635.2346,1.29,0.45
635.271,1.38,0.41
635.3075,1.45,0.36
635.3439,1.53,0.32
637.2115,1.87,0.78
637.2502,1.35,0.45
637.2866,1.44,0.41
637.3231,1.52,0.36
637.3596,1.59,0.32
639.266,1.42,0.45
639.3024,1.5,0.41
639.339,1.47,0.11
641.2606,1.24,0.35
641.2663,1.7,0.63
641.2814,1.48,0.45
641.2819,1.48,0.45
641.318,1.56,0.41
641.3544,1.64,0.36
643.2763,1.29,0.35
643.2818,1.78,0.63
643.2971,1.55,0.45
643.3126,1.37,0.31
644.2076,0.74,0.14
645.2554,1.27,0.39
645.2612,1.77,0.69
645.2919,1.35,0.35
645.3129,1.61,0.45
645.328,1.43,0.31
647.2348,1.25,0.44
647.2405,1.76,0.76
647.2711,1.33,0.39
647.3075,1.41,0.35
647.3285,1.68,0.45
647.3441,1.49,0.31
649.2505,1.31,0.44
649.2868,1.39,0.39
649.3231,1.47,0.35
649.3595,1.54,0.31
651.2275,1.7,0.37
651.2661,1.38,0.44
651.3025,1.45,0.39
651.339,1.53,0.35
652.1964,1.96,0.61
653.2816,1.44,0.44
653.3183,1.52,0.39
657.2555,1.24,0.38
657.2612,1.7,0.67
657.2918,1.31,0.34
657.3129,1.56,0.44
659.2769,1.78,0.67
659.3075,1.37,0.34
659.3285,1.62,0.44
660.1938,1.06,0.21
661.2561,1.77,0.73
661.323,1.43,0.34
661.3441,1.69,0.44
663.2353,1.76,0.8
663.2661,1.33,0.42
663.3026,1.41,0.38
663.3388,1.49,0.34
663.3599,1.75,0.44
665.3545,1.54,0.34
667.2973,1.45,0.42
668.1731,1,0.45
668.2521,1.65,0.65
669.3129,1.52,0.42
670.1888,1.06,0.45
670.2565,1.67,0.67
671.1621,1,0.5
671.2405,1.63,0.7
671.2769,1.71,0.64
671.3076,1.33,0.33
671.8469,0.52,0.43
673.2562,1.7,0.7
673.2867,1.31,0.37
675.2717,1.78,0.7
675.3025,1.37,0.37
676.7974,0.64,0.23
676.8036,1.2,0.67
676.8486,0.54,0.23
677.2455,1.27,0.45
677.2509,1.77,0.77
679.3337,1.49,0.37
681.192,0.67,0.16
681.3495,1.54,0.37
687.2296,1.18,0.44
687.272,1.71,0.68
687.3025,1.33,0.36
689.251,1.7,0.74
691.2975,1.37,0.4
693.1735,0.89,0.18
693.3132,1.43,0.4
694.279,1.24,0.27
695.2073,0.7,0.15
695.2078,0.7,0.15
695.2634,1.29,0.16
703.1212,1.33,1
703.2667,1.71,0.71
709.2235,0.72,0.15
710.2627,1.61,0.64
711.2026,0.7,0.17
715.1937,1.48,0.81
