soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,365.197,Protein,11852021,HW,PreFenton,PreFenton,PreGoethite
Soil_1,366.1671,Lignin,3127409,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.0307,Tannin,7951298,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.0671,Lignin,14851024,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.1035,Lignin,16784350,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.1246,Carb,2894311,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.1398,Lignin,16047084,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.1762,Lignin,15797243,HW,PreFenton,PreFenton,PreGoethite
Soil_1,367.2126,Protein,8838153,HW,PreFenton,PreFenton,PreGoethite
Soil_1,368.1463,Lignin,2740085,HW,PreFenton,PreFenton,PreGoethite
Soil_1,368.1827,Protein,2302851,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.0463,Tannin,10583763,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.0827,Lignin,13711073,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.1191,Lignin,12871408,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.1344,Lignin,3317494,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.1555,Lignin,14696190,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.1919,Protein,12277516,HW,PreFenton,PreFenton,PreGoethite
Soil_1,369.2283,Protein,5260058,HW,PreFenton,PreFenton,PreGoethite
Soil_1,370.162,Protein,6045828,HW,PreFenton,PreFenton,PreGoethite
Soil_1,370.1984,Protein,6456466,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.062,Tannin,10041824,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.0984,Lignin,12906990,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.1136,Lignin,6364660,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.1348,Lignin,9896444,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.15,Lignin,5541378,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.1864,Lignin,3646480,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.2075,Protein,10988056,HW,PreFenton,PreFenton,PreGoethite
Soil_1,371.2439,Protein,4058662,HW,PreFenton,PreFenton,PreGoethite
Soil_1,372.1412,Protein,3503999,HW,PreFenton,PreFenton,PreGoethite
Soil_1,372.1776,Protein,4525965,HW,PreFenton,PreFenton,PreGoethite
Soil_1,372.214,Protein,9659291,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.0565,ConHC,9428189,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.0929,Lignin,8690923,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.114,Lignin,7312627,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.1293,Lignin,10089721,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.1504,Protein,7146753,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.1657,Lignin,7982342,HW,PreFenton,PreFenton,PreGoethite
Soil_1,373.2232,Protein,10120476,HW,PreFenton,PreFenton,PreGoethite
Soil_1,374.1569,Protein,3701887,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.0358,ConHC,10561482,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.0722,Lignin,12894168,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.0933,Tannin,3856352,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.1297,AminoSugar,4161517,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.1661,Protein,5040123,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.1813,Lignin,9965569,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.2024,Protein,9492488,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.2177,Lignin,4106254,HW,PreFenton,PreFenton,PreGoethite
Soil_1,375.2388,Protein,8116246,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.0514,Lignin,12939960,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.0878,Lignin,15817413,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.1242,Lignin,15686355,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.1453,AminoSugar,3416283,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.1606,Lignin,16210656,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.1817,Protein,3255016,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.197,Lignin,8985325,HW,PreFenton,PreFenton,PreGoethite
Soil_1,377.2181,Protein,6531829,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.0307,ConHC,9203081,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.0671,Lignin,15277462,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.1035,Lignin,17898915,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.1246,Carb,2709419,HW,PreFenton,PreFenton,PreGoethite
