"C","H","N","O","S","P","Mass","HC","OC","DBE","CRAM","AI_mod","Class","KM","NKM","KMD"
15,24,2,8,0,0,359.146,1.6,0.53,5,"O",0,"Aliphat+N",359.22904,359,0.22904
15,24,4,6,0,0,355.1623,1.6,0.4,6,"CRAM",0.125,"Aliphat+N",355.24443,355,0.24443
15,24,4,7,0,0,371.1572,1.6,0.47,6,"CRAM",0.066666667,"Aliphat+N",371.24305,371,0.24305
15,24,4,8,0,0,387.1521,1.6,0.53,6,"O",0,"Aliphat+N",387.24166,387,0.24166
15,25,3,5,0,0,326.1721,1.67,0.33,5,"CRAM",0.105263158,"Aliphat+N",326.24757,326,0.24757
15,25,3,6,0,0,342.1671,1.67,0.4,5,"CRAM",0.055555556,"Aliphat+N",342.24618,342,0.24618
15,25,3,7,0,0,358.162,1.67,0.47,5,"O",0,"Aliphat+N",358.24479,358,0.24479
15,25,3,8,0,0,374.1569,1.67,0.53,5,"O",-0.0625,"Aliphat+N",374.24341,374,0.24341
15,26,0,10,0,0,365.1453,1.73,0.67,3,"O",-0.2,"SatFatAcCarb",365.22975,365,0.22975
15,26,0,11,0,0,381.1402,1.73,0.73,3,"O",-0.263157895,"SatFatAcCarb",381.22837,381,0.22837
15,26,0,12,0,0,397.1351,1.73,0.8,3,"O",-0.333333333,"SatFatAcCarb",397.22698,397,0.22698
15,26,0,13,0,0,413.1301,1.73,0.87,3,"O",-0.411764706,"SatFatAcCarb",413.22559,413,0.22559
15,26,0,14,0,0,429.125,1.73,0.93,3,"O",-0.5,"SatFatAcCarb",429.22421,429,0.22421
15,26,4,5,0,0,341.183,1.73,0.33,5,"O",0.058823529,"Aliphat+N",341.26194,341,0.26194
15,26,4,6,0,0,357.178,1.73,0.4,5,"O",0,"Aliphat+N",357.26055,357,0.26055
15,26,4,7,0,0,373.1729,1.73,0.47,5,"O",-0.066666667,"Aliphat+N",373.25916,373,0.25916
15,27,1,10,0,0,380.1562,1.8,0.67,3,"O",-0.277777778,"SatFatAcCarb",380.24412,380,0.24412
15,27,1,12,1,0,444.1181,1.8,0.8,3,"O",-0.642857143,"SatFatAcCarb",444.22081,444,0.22081
15,27,2,11,0,1,441.128,1.8,0.73,4,"O",-0.461538462,"SatFatAcCarb",441.22997,441,0.22997
15,27,3,5,0,0,328.1878,1.8,0.33,4,"O",0,"Aliphat+N",328.26368,328,0.26368
15,27,3,6,0,0,344.1827,1.8,0.4,4,"O",-0.055555556,"Aliphat+N",344.2623,344,0.2623
15,27,3,7,0,0,360.1776,1.8,0.47,4,"O",-0.117647059,"Aliphat+N",360.26091,360,0.26091
15,27,5,6,0,0,372.1889,1.8,0.4,5,"O",-0.071428571,"Aliphat+N",372.27492,372,0.27492
15,28,0,8,0,0,335.1711,1.87,0.53,2,"O",-0.181818182,"UnSatAliph_noN",335.24864,335,0.24864
15,28,0,10,1,0,399.133,1.87,0.67,2,"O",-0.444444444,"SatFatAcCarb",399.22533,399,0.22533
15,28,0,12,1,0,431.1229,1.87,0.8,2,"O",-0.625,"SatFatAcCarb",431.22256,431,0.22256
15,28,4,5,0,0,343.1987,1.87,0.33,4,"O",-0.058823529,"Aliphat+N",343.27805,343,0.27805
15,28,4,6,0,0,359.1936,1.87,0.4,4,"O",-0.125,"Aliphat+N",359.27667,359,0.27667
15,28,4,7,0,0,375.1885,1.87,0.47,4,"O",-0.2,"Aliphat+N",375.27528,375,0.27528
15,29,3,4,0,0,314.2085,1.93,0.27,3,"O",-0.05,"Aliphat+N",314.28119,314,0.28119
15,29,3,5,0,0,330.2034,1.93,0.33,3,"O",-0.105263158,"Aliphat+N",330.2798,330,0.2798
16,8,0,9,0,0,343.0096,0.5,0.56,13,"O",0.739130435,"CondAr",343.08887,343,0.08887
16,8,0,10,0,0,359.0045,0.5,0.62,13,"O",0.727272727,"CondAr",359.08748,359,0.08748
16,8,0,11,0,0,374.9994,0.5,0.69,13,"O",0.714285714,"CondAr",375.0861,375,0.0861
16,10,0,8,0,0,329.0303,0.62,0.5,12,"O",0.666666667,"CondAr",329.10637,329,0.10637
16,10,0,9,0,0,345.0252,0.62,0.56,12,"O",0.652173913,"Aromatic",345.10499,345,0.10499
16,10,0,10,0,0,361.0201,0.62,0.62,12,"O",0.636363636,"Aromatic",361.1036,361,0.1036
16,10,0,11,0,0,377.015,0.62,0.69,12,"O",0.619047619,"Aromatic",377.10221,377,0.10221
16,10,0,12,0,0,393.0099,0.62,0.75,12,"O",0.6,"Aromatic",393.10083,393,0.10083
16,12,0,8,0,0,331.0459,0.75,0.5,11,"O",0.583333333,"Aromatic",331.12249,331,0.12249
16,12,0,9,0,0,347.0409,0.75,0.56,11,"O",0.565217391,"Aromatic",347.1211,347,0.1211
16,12,0,10,0,0,363.0358,0.75,0.62,11,"O",0.545454545,"Aromatic",363.11972,363,0.11972
16,12,0,11,0,0,379.0307,0.75,0.69,11,"O",0.523809524,"Aromatic",379.11833,379,0.11833
16,12,0,12,0,0,395.0256,0.75,0.75,11,"O",0.5,"HighUnsatLign",395.11694,395,0.11694
16,12,0,13,0,0,411.0205,0.75,0.81,11,"O",0.473684211,"HighUnsatLign",411.11556,411,0.11556
16,13,1,9,0,0,362.0518,0.81,0.56,11,"O",0.571428571,"Aromatic",362.13547,362,0.13547
16,14,0,7,0,0,317.0667,0.88,0.44,10,"CRAM",0.52,"Aromatic",317.13999,317,0.13999
16,14,0,8,0,0,333.0616,0.88,0.5,10,"CRAM",0.5,"HighUnsatLign",333.13861,333,0.13861
16,14,0,9,0,0,349.0565,0.88,0.56,10,"CRAM",0.47826087,"HighUnsatLign",349.13722,349,0.13722
16,14,0,10,0,0,365.0514,0.88,0.62,10,"CRAM",0.454545455,"HighUnsatLign",365.13583,365,0.13583
16,14,0,11,0,0,381.0463,0.88,0.69,10,"CRAM",0.428571429,"HighUnsatLign",381.13445,381,0.13445
16,14,0,12,0,0,397.0412,0.88,0.75,10,"CRAM",0.4,"HighUnsatLign",397.13306,397,0.13306
16,14,0,13,0,0,413.0362,0.88,0.81,10,"O",0.368421053,"HighUnsatLign",413.13167,413,0.13167
16,15,1,8,0,0,348.0725,0.94,0.5,10,"CRAM",0.5,"HighUnsatLign",348.15298,348,0.15298
16,15,1,9,0,0,364.0674,0.94,0.56,10,"CRAM",0.476190476,"HighUnsatLign",364.15159,364,0.15159
16,15,1,10,0,0,380.0623,0.94,0.62,10,"CRAM",0.45,"HighUnsatLign",380.1502,380,0.1502
16,16,0,7,0,0,319.0823,1,0.44,9,"CRAM",0.44,"HighUnsatLign",319.15611,319,0.15611
16,16,0,8,0,0,335.0772,1,0.5,9,"CRAM",0.416666667,"HighUnsatLign",335.15472,335,0.15472
16,16,0,9,0,0,351.0722,1,0.56,9,"CRAM",0.391304348,"HighUnsatLign",351.15334,351,0.15334
16,16,0,10,0,0,367.0671,1,0.62,9,"CRAM",0.363636364,"HighUnsatLign",367.15195,367,0.15195
16,16,0,11,0,0,383.062,1,0.69,9,"CRAM",0.333333333,"HighUnsatLign",383.15056,383,0.15056
16,16,0,12,0,0,399.0569,1,0.75,9,"O",0.3,"HighUnsatLign",399.14917,399,0.14917
16,16,0,13,0,0,415.0518,1,0.81,9,"O",0.263157895,"HighUnsatLign",415.14779,415,0.14779
16,17,1,8,0,0,350.0881,1.06,0.5,9,"CRAM",0.409090909,"HighUnsatLign",350.16909,350,0.16909
16,17,1,9,0,0,366.0831,1.06,0.56,9,"CRAM",0.380952381,"HighUnsatLign",366.16771,366,0.16771
16,17,1,10,0,0,382.078,1.06,0.62,9,"CRAM",0.35,"HighUnsatLign",382.16632,382,0.16632
16,18,0,7,0,0,321.098,1.12,0.44,8,"CRAM",0.36,"HighUnsatLign",321.17222,321,0.17222
16,18,0,8,0,0,337.0929,1.12,0.5,8,"CRAM",0.333333333,"HighUnsatLign",337.17084,337,0.17084
16,18,0,9,0,0,353.0878,1.12,0.56,8,"CRAM",0.304347826,"HighUnsatLign",353.16945,353,0.16945
16,18,0,10,0,0,369.0827,1.12,0.62,8,"CRAM",0.272727273,"HighUnsatLign",369.16806,369,0.16806
16,18,0,11,0,0,385.0776,1.12,0.69,8,"O",0.238095238,"HighUnsatLign",385.16668,385,0.16668
16,18,0,12,0,0,401.0725,1.12,0.75,8,"O",0.2,"HighUnsatLign",401.16529,401,0.16529
16,18,0,13,0,0,417.0675,1.12,0.81,8,"O",0.157894737,"HighUnsatLign",417.1639,417,0.1639
16,18,2,8,0,0,365.099,1.12,0.5,9,"CRAM",0.4,"HighUnsatLign",365.18346,365,0.18346
16,19,1,8,0,0,352.1038,1.19,0.5,8,"CRAM",0.318181818,"HighUnsatLign",352.18521,352,0.18521
16,19,1,9,0,0,368.0987,1.19,0.56,8,"CRAM",0.285714286,"HighUnsatLign",368.18382,368,0.18382
16,19,1,10,0,0,384.0936,1.19,0.62,8,"CRAM",0.25,"HighUnsatLign",384.18243,384,0.18243
16,20,0,7,0,0,323.1136,1.25,0.44,7,"CRAM",0.28,"HighUnsatLign",323.18834,323,0.18834
16,20,0,8,0,0,339.1085,1.25,0.5,7,"CRAM",0.25,"HighUnsatLign",339.18695,339,0.18695
16,20,0,9,0,0,355.1035,1.25,0.56,7,"CRAM",0.217391304,"HighUnsatLign",355.18557,355,0.18557
16,20,0,10,0,0,371.0984,1.25,0.62,7,"O",0.181818182,"HighUnsatLign",371.18418,371,0.18418
16,20,0,11,0,0,387.0933,1.25,0.69,7,"O",0.142857143,"HighUnsatLign",387.18279,387,0.18279
16,20,0,12,0,0,403.0882,1.25,0.75,7,"O",0.1,"HighUnsatLign",403.18141,403,0.18141
16,22,0,7,0,0,325.1293,1.38,0.44,6,"CRAM",0.2,"HighUnsatLign",325.20446,325,0.20446
16,22,0,8,0,0,341.1242,1.38,0.5,6,"O",0.166666667,"HighUnsatLign",341.20307,341,0.20307
16,22,0,9,0,0,357.1191,1.38,0.56,6,"O",0.130434783,"HighUnsatLign",357.20168,357,0.20168
16,22,0,10,0,0,373.114,1.38,0.62,6,"O",0.090909091,"HighUnsatLign",373.2003,373,0.2003
16,22,0,11,0,0,389.1089,1.38,0.69,6,"O",0.047619048,"HighUnsatLign",389.19891,389,0.19891
16,22,0,12,0,0,405.1038,1.38,0.75,6,"O",0,"HighUnsatLign",405.19752,405,0.19752
16,23,3,6,0,0,352.1514,1.44,0.38,7,"CRAM",0.25,"HighUnsatLign",352.23284,352,0.23284
16,23,3,7,0,0,368.1463,1.44,0.44,7,"CRAM",0.210526316,"HighUnsatLign",368.23145,368,0.23145
16,23,3,8,0,0,384.1412,1.44,0.5,7,"CRAM",0.166666667,"HighUnsatLign",384.23006,384,0.23006
16,23,3,9,0,0,400.1362,1.44,0.56,7,"CRAM",0.117647059,"HighUnsatLign",400.22868,400,0.22868
