"","Mass","Forest","PreFenton","PostFenton","loss","Treatment","rel_abund","perc","HC","OC"
"5578",539.0679,"HW",2466254,2256810.33333333,"conserved","PreFenton",0.0304364459574453,"lowest 25%",0.91,0.73
"5579",539.0679,"HW",2466254,2256810.33333333,"conserved","PostFenton",0.0261641680830837,"lowest 25%",0.91,0.73
"5580",539.1042,"HW",2829431.33333333,2606676.33333333,"conserved","PostFenton",0.0302203143596898,"third 25 %",1.04,0.65
"5581",539.1042,"HW",2829431.33333333,2606676.33333333,"conserved","PreFenton",0.0349184771184567,"third 25 %",1.04,0.65
"5582",539.1042,"SW",2016953.66666667,NA,"lost","PreFenton",0.0238533110949917,"lowest 25%",1.04,0.65
"5583",539.1195,"SW",1772559.33333333,NA,"lost","PreFenton",0.0209630047090807,"lowest 25%",0.89,0.44
"5584",539.1254,"HW",NA,5848148,"gained","PostFenton",0.0678000827037822,"second 25 %",1.4,0.85
"5585",539.1254,"SW",NA,4355494,"gained","PostFenton",0.0521342924296372,"second 25 %",1.4,0.85
"5586",539.1406,"HW",2902816,2880596,"conserved","PreFenton",0.0358241293509944,"third 25 %",1.17,0.58
"5587",539.1406,"HW",2902816,2880596,"conserved","PostFenton",0.0333959822898094,"third 25 %",1.17,0.58
"5588",539.1406,"SW",1944933,NA,"lost","PreFenton",0.0230015655166672,"lowest 25%",1.17,0.58
"5589",539.1618,"HW",NA,6302461.66666667,"gained","PostFenton",0.0730671354824497,"top 25 %",1.52,0.76
"5590",539.1618,"SW",NA,2972752.66666667,"gained","PostFenton",0.0355831868543463,"third 25 %",1.52,0.76
"5591",539.177,"HW",NA,4385874.66666667,"gained","PostFenton",0.0508473221143554,"second 25 %",1.28,0.52
"5592",539.177,"SW",2139493,2492667.33333333,"conserved","PostFenton",0.0298366724155294,"lowest 25%",1.28,0.52
"5593",539.177,"SW",2139493,2492667.33333333,"conserved","PreFenton",0.025302510889553,"lowest 25%",1.28,0.52
"5594",539.1981,"HW",NA,2380541.33333333,"gained","PostFenton",0.0275986345215223,"lowest 25%",1.64,0.68
"5595",539.2134,"HW",3112220.33333333,4478375.33333333,"conserved","PreFenton",0.0384084226455029,"third 25 %",1.38,0.46
"5596",539.2134,"HW",3112220.33333333,4478375.33333333,"conserved","PostFenton",0.0519197219322387,"second 25 %",1.38,0.46
"5597",539.2134,"SW",2967056,2958075.33333333,"conserved","PreFenton",0.0350896061589888,"third 25 %",1.38,0.46
"5598",539.2134,"SW",2967056,2958075.33333333,"conserved","PostFenton",0.035407502445623,"third 25 %",1.38,0.46
"5599",539.2498,"HW",2817648,3128743,"conserved","PreFenton",0.0347730570651294,"third 25 %",1.48,0.41
"5600",539.2498,"HW",2817648,3128743,"conserved","PostFenton",0.0362728566648586,"third 25 %",1.48,0.41
"5601",539.2498,"SW",2526224.33333333,2431568.33333333,"conserved","PreFenton",0.0298761522957169,"third 25 %",1.48,0.41
"5602",539.2498,"SW",2526224.33333333,2431568.33333333,"conserved","PostFenton",0.0291053310032445,"lowest 25%",1.48,0.41
"5603",539.2862,"HW",2210755.33333333,NA,"lost","PreFenton",0.0272832949193935,"lowest 25%",1.57,0.36
"5604",539.2862,"SW",2249744.66666667,NA,"lost","PreFenton",0.0266063917605933,"lowest 25%",1.57,0.36
"5605",540.157,"HW",NA,3169172.66666667,"gained","PostFenton",0.0367415750939556,"third 25 %",1.55,0.8
"5606",540.157,"SW",NA,2116859.66666667,"gained","PostFenton",0.0253383384053576,"lowest 25%",1.55,0.8
"5607",541.0624,"SW",1887773,NA,"lost","PreFenton",0.0223255682021414,"lowest 25%",0.72,0.56
"5608",541.0835,"HW",NA,2221270,"gained","PostFenton",0.0257521337878984,"lowest 25%",1,0.73
"5609",541.0988,"HW",2318522,NA,"lost","PreFenton",0.0286132610648165,"lowest 25%",0.85,0.5
"5610",541.0988,"SW",1873608,NA,"lost","PreFenton",0.0221580471741452,"lowest 25%",0.85,0.5
"5611",541.1046,"HW",NA,3976234.33333333,"gained","PostFenton",0.0460981864086918,"second 25 %",1.37,0.95
"5612",541.1046,"SW",NA,2935548,"gained","PostFenton",0.0351378552865041,"third 25 %",1.37,0.95
"5613",541.1199,"HW",2362894.33333333,NA,"lost","PreFenton",0.0291608673233388,"lowest 25%",1.13,0.65
"5614",541.1199,"SW",1789896,1644796.33333333,"conserved","PreFenton",0.0211680351518641,"lowest 25%",1.13,0.65
"5615",541.1199,"SW",1789896,1644796.33333333,"conserved","PostFenton",0.0196878455186013,"lowest 25%",1.13,0.65
"5616",541.1351,"SW",2104520,NA,"lost","PreFenton",0.0248889060245965,"lowest 25%",0.96,0.44
"5617",541.141,"HW",2298893,11515945.6666667,"conserved","PostFenton",0.133509286805372,"top 25 %",1.5,0.85
"5618",541.141,"HW",2298893,11515945.6666667,"conserved","PreFenton",0.0283710163496741,"lowest 25%",1.5,0.85
"5619",541.141,"SW",NA,9209596,"gained","PostFenton",0.110236811489768,"top 25 %",1.5,0.85
"5620",541.1563,"HW",NA,3114537.33333333,"gained","PostFenton",0.0361081642913307,"third 25 %",1.25,0.58
"5621",541.1774,"HW",10357771,11023059.6666667,"conserved","PreFenton",0.127826954271982,"top 25 %",1.62,0.76
"5622",541.1774,"HW",10357771,11023059.6666667,"conserved","PostFenton",0.127795048457858,"top 25 %",1.62,0.76
"5623",541.1774,"SW",3337075,5593852,"conserved","PostFenton",0.0669571616850146,"second 25 %",1.62,0.76
"5624",541.1774,"SW",3337075,5593852,"conserved","PreFenton",0.039465600741276,"third 25 %",1.62,0.76
"5625",541.1927,"HW",2213044.66666667,3485053.66666667,"conserved","PostFenton",0.0404037187203743,"third 25 %",1.36,0.52
"5626",541.1927,"HW",2213044.66666667,3485053.66666667,"conserved","PreFenton",0.0273115479583257,"lowest 25%",1.36,0.52
"5627",541.1927,"SW",1899549.66666667,2493009.33333333,"conserved","PreFenton",0.0224648438326651,"lowest 25%",1.36,0.52
"5628",541.1927,"SW",1899549.66666667,2493009.33333333,"conserved","PostFenton",0.0298407660793046,"lowest 25%",1.36,0.52
"5629",541.2138,"SW",NA,1965819.66666667,"gained","PostFenton",0.0235304232690786,"lowest 25%",1.73,0.68
"5630",541.229,"HW",NA,3224957,"gained","PostFenton",0.0373883067453391,"third 25 %",1.46,0.46
"5631",541.229,"SW",2278259.33333333,2924454.66666667,"conserved","PostFenton",0.0350050705589808,"third 25 %",1.46,0.46
"5632",541.229,"SW",2278259.33333333,2924454.66666667,"conserved","PreFenton",0.0269436177593908,"lowest 25%",1.46,0.46
"5633",541.2654,"SW",2086003.33333333,NA,"lost","PreFenton",0.0246699204238155,"lowest 25%",1.56,0.41
"5634",542.1727,"HW",NA,3756391.66666667,"gained","PostFenton",0.0435494562839036,"second 25 %",1.65,0.8
"5635",542.1727,"SW",NA,2527653.66666667,"gained","PostFenton",0.0302554510277927,"lowest 25%",1.65,0.8
"5636",543.0628,"HW",NA,1800359.33333333,"gained","PostFenton",0.020872336284329,"lowest 25%",0.95,0.81
"5637",543.078,"HW",2787404.66666667,NA,"lost","PreFenton",0.0343998191177919,"lowest 25%",0.8,0.56
"5638",543.078,"SW",2198907,NA,"lost","PreFenton",0.0260051649211352,"lowest 25%",0.8,0.56
"5639",543.1144,"HW",2779040,NA,"lost","PreFenton",0.0342965893916761,"lowest 25%",0.92,0.5
"5640",543.1144,"SW",2527952.66666667,NA,"lost","PreFenton",0.0298965922658349,"third 25 %",0.92,0.5
"5641",543.1203,"HW",NA,6910629.66666667,"gained","PostFenton",0.0801178873953277,"top 25 %",1.47,0.95
"5642",543.1203,"SW",NA,5646414.66666667,"gained","PostFenton",0.0675863250898733,"second 25 %",1.47,0.95
"5643",543.1355,"HW",NA,2146469.33333333,"gained","PostFenton",0.0248849376454105,"lowest 25%",1.22,0.65
"5644",543.1508,"HW",2595059,NA,"lost","PreFenton",0.0320260496323096,"lowest 25%",1.04,0.44
"5645",543.1508,"SW",2388859.33333333,NA,"lost","PreFenton",0.0282516181615349,"third 25 %",1.04,0.44
"5646",543.1567,"HW",5386824,17146533,"conserved","PostFenton",0.198787095587036,"top 25 %",1.6,0.85
