Mass,C,H,O,N,S,P,Na
597.2037,24,38,17,0,0,0,0
430.1467,17,25,10,3,0,0,0
503.1406,21,28,14,0,0,0,0
611.183,24,36,18,0,0,0,0
343.0307,13,12,11,0,0,0,0
406.0991,15,21,12,1,0,0,0
503.1043,20,24,15,0,0,0,0
687.1627,25,36,22,0,0,0,0
597.219,28,38,14,0,0,0,0
631.1364,22,32,21,0,0,0,0
480.1359,18,27,14,1,0,0,0
364.0885,13,19,11,1,0,0,0
695.1887,24,40,23,0,0,0,0
379.0518,13,16,13,0,0,0,0
418.1831,17,29,9,3,0,0,0
557.1876,25,34,14,0,0,0,0
447.0814,35,12,1,0,0,0,0
533.1723,19,34,17,0,0,0,0
629.2299,25,42,18,0,0,0,0
361.0413,13,14,12,0,0,0,0
399.1507,15,28,12,0,0,0,0
482.1516,18,29,14,1,0,0,0
469.2841,22,46,8,0,1,0,0
339.0569,11,16,12,0,0,0,0
389.0362,14,14,13,0,0,0,0
581.1724,23,34,17,0,0,0,0
452.1409,17,27,13,1,0,0,0
374.1205,14,21,9,3,0,0,0
457.3171,25,46,7,0,0,0,0
435.1872,19,32,11,0,0,0,0
405.1151,15,22,11,2,0,0,0
479.177,20,32,13,0,0,0,0
461.0573,17,18,15,0,0,0,0
361.1253,14,22,9,2,0,0,0
377.1202,14,22,10,2,0,0,0
705.1732,25,38,23,0,0,0,0
529.1563,23,30,14,0,0,0,0
407.2286,19,36,9,0,0,0,0
391.0518,14,16,13,0,0,0,0
375.141,15,24,9,2,0,0,0
362.1093,14,21,10,1,0,0,0
461.1889,28,31,4,0,0,1,0
485.279,22,46,9,0,1,0,0
429.0311,16,14,14,0,0,0,0
491.177,21,32,13,0,0,0,0
339.1297,13,24,10,0,0,0,0
376.0886,14,19,11,1,0,0,0
621.1883,22,38,20,0,0,0,0
643.1363,23,32,21,0,0,0,0
432.1624,17,27,10,3,0,0,0
625.1622,24,34,19,0,0,0,0
418.1467,16,25,10,3,0,0,0
651.199,23,40,21,0,0,0,0
424.146,16,27,12,1,0,0,0
509.1875,21,34,14,0,0,0,0
581.136,22,30,18,0,0,0,0
426.1253,15,25,13,1,0,0,0
733.2047,27,42,23,0,0,0,0
507.1355,20,28,15,0,0,0,0
597.1309,22,30,19,0,0,0,0
404.2038,17,31,8,3,0,0,0
431.0865,14,24,13,0,1,0,0
556.1518,20,31,17,1,0,0,0
477.1614,20,30,13,0,0,0,0
475.0729,18,20,15,0,0,0,0
468.1359,17,27,14,1,0,0,0
627.1415,23,32,20,0,0,0,0
540.157,20,31,16,1,0,0,0
375.0603,11,20,12,0,1,0,0
569.224,27,38,13,0,0,0,0
391.0552,11,20,13,0,1,0,0
527.089,18,24,18,0,0,0,0
645.2249,25,42,19,0,0,0,0
605.1571,21,34,20,0,0,0,0
419.0501,33,8,1,0,0,0,0
528.157,19,31,16,1,0,0,0
477.0886,18,22,15,0,0,0,0
527.1981,21,36,15,0,0,0,0
325.114,12,22,10,0,0,0,0
569.1876,26,34,14,0,0,0,0
481.0835,17,22,16,0,0,0,0
417.1627,26,27,3,0,0,1,0
399.078,13,20,14,0,0,0,0
512.1621,19,31,15,1,0,0,0
529.1927,24,34,13,0,0,0,0
661.2196,25,42,20,0,0,0,0
397.0624,13,18,14,0,0,0,0
663.1626,23,36,22,0,0,0,0
469.0835,16,22,16,0,0,0,0
424.1097,15,23,13,1,0,0,0
422.1304,16,25,12,1,0,0,0
433.0624,16,18,14,0,0,0,0
498.1464,18,29,15,1,0,0,0
392.1198,15,23,11,1,0,0,0
394.1355,15,25,11,1,0,0,0
603.1414,21,32,20,0,0,0,0
719.1889,26,40,23,0,0,0,0
501.1824,19,34,15,0,0,0,0
449.1664,19,30,12,0,0,0,0
501.0886,20,22,15,0,0,0,0
555.193,22,36,16,0,0,0,0
319.067,12,16,10,0,0,0,0
369.1402,14,26,11,0,0,0,0
435.1257,16,24,12,2,0,0,0
571.1152,20,28,19,0,0,0,0
705.2096,26,42,22,0,0,0,0
687.199,26,40,21,0,0,0,0
433.0658,34,10,1,0,0,0,0
635.1677,22,36,21,0,0,0,0
673.1471,24,34,22,0,0,0,0
525.1825,21,34,15,0,0,0,0
333.0827,13,18,10,0,0,0,0
382.1355,14,25,11,1,0,0,0
463.1821,20,32,12,0,0,0,0
643.2092,25,40,19,0,0,0,0
489.1613,21,30,13,0,0,0,0
633.1521,22,34,21,0,0,0,0
404.1675,16,27,9,3,0,0,0
515.177,23,32,13,0,0,0,0
421.0657,33,10,1,0,0,0,0
389.1203,15,22,10,2,0,0,0
558.1675,20,33,17,1,0,0,0
398.1304,14,25,12,1,0,0,0
347.062,13,16,11,0,0,0,0
401.0759,13,22,12,0,1,0,0
509.1148,19,26,16,0,0,0,0
415.1093,14,24,14,0,0,0,0
542.1726,20,33,16,1,0,0,0
517.1774,19,34,16,0,0,0,0
693.1731,24,38,23,0,0,0,0
707.1889,25,40,23,0,0,0,0
435.078,16,20,14,0,0,0,0
691.1575,24,36,23,0,0,0,0
693.2094,25,42,22,0,0,0,0
473.0573,18,18,15,0,0,0,0
575.1829,21,36,18,0,0,0,0
567.1567,22,32,17,0,0,0,0
465.0886,17,22,15,0,0,0,0
541.1047,19,26,18,0,0,0,0
463.1457,19,28,13,0,0,0,0
435.0814,34,12,1,0,0,0,0
721.2044,26,42,23,0,0,0,0
385.1351,14,26,12,0,0,0,0
387.0603,12,20,12,0,1,0,0
553.141,21,30,17,0,0,0,0
335.0984,13,20,10,0,0,0,0
657.152,24,34,21,0,0,0,0
525.1097,19,26,17,0,0,0,0
447.078,17,20,14,0,0,0,0
366.1042,13,21,11,1,0,0,0
363.0569,13,16,12,0,0,0,0
597.1673,23,34,18,0,0,0,0
367.0518,12,16,13,0,0,0,0
408.1147,15,23,12,1,0,0,0
703.1939,26,40,22,0,0,0,0
431.0467,16,16,14,0,0,0,0
349.114,14,22,10,0,0,0,0
410.1304,15,25,12,1,0,0,0
657.1884,25,38,20,0,0,0,0
559.1152,19,28,19,0,0,0,0
403.0552,12,20,13,0,1,0,0
523.1305,20,28,16,0,0,0,0
376.1726,15,27,8,3,0,0,0
497.1876,20,34,14,0,0,0,0
511.0941,18,24,17,0,0,0,0
591.1778,21,36,19,0,0,0,0
407.1307,15,24,11,2,0,0,0
585.1308,21,30,19,0,0,0,0
499.0941,17,24,17,0,0,0,0
641.157,24,34,20,0,0,0,0
355.1246,13,24,11,0,0,0,0
403.1359,16,24,10,2,0,0,0
417.0708,13,22,13,0,1,0,0
327.0933,11,20,11,0,0,0,0
380.1199,14,23,11,1,0,0,0
419.0865,13,24,13,0,1,0,0
681.2096,24,42,22,0,0,0,0
615.1414,22,32,20,0,0,0,0
569.1359,21,30,18,0,0,0,0
689.1783,25,38,22,0,0,0,0
433.1715,19,30,11,0,0,0,0
673.1834,25,38,21,0,0,0,0
323.062,11,16,11,0,0,0,0
405.0675,15,18,13,0,0,0,0
389.0759,12,22,12,0,1,0,0
583.1516,22,32,18,0,0,0,0
394.0991,14,21,12,1,0,0,0
378.1042,14,21,11,1,0,0,0
325.0776,11,18,11,0,0,0,0
423.078,15,20,14,0,0,0,0
393.0675,14,18,13,0,0,0,0
613.1622,23,34,19,0,0,0,0
645.1521,23,34,21,0,0,0,0
390.1882,16,29,8,3,0,0,0
441.0886,15,22,15,0,0,0,0
529.1046,18,26,18,0,0,0,0
539.1254,20,28,17,0,0,0,0
487.1668,18,32,15,0,0,0,0
349.0776,13,18,11,0,0,0,0
555.1203,20,28,18,0,0,0,0
495.0992,18,24,16,0,0,0,0
675.199,25,40,21,0,0,0,0
451.1457,18,28,13,0,0,0,0
503.1253,17,28,17,0,0,0,0
405.0708,12,22,13,0,1,0,0
437.1413,16,26,12,2,0,0,0
539.1618,21,32,16,0,0,0,0
335.062,12,16,11,0,0,0,0
377.0726,14,18,12,0,0,0,0
575.1466,20,32,19,0,0,0,0
533.1359,18,30,18,0,0,0,0
555.1566,21,32,17,0,0,0,0
443.1042,15,24,15,0,0,0,0
473.1512,17,30,15,0,0,0,0
443.1406,16,28,14,0,0,0,0
675.1626,24,36,22,0,0,0,0
691.1939,25,40,22,0,0,0,0
543.1203,19,28,18,0,0,0,0
371.1195,13,24,12,0,0,0,0
396.1147,14,23,12,1,0,0,0
501.1097,17,26,17,0,0,0,0
629.1572,23,34,20,0,0,0,0
453.0886,16,22,15,0,0,0,0
599.1465,22,32,19,0,0,0,0
371.0831,12,20,13,0,0,0,0
419.1307,16,24,11,2,0,0,0
471.0991,16,24,16,0,0,0,0
473.1148,16,26,16,0,0,0,0
573.1309,20,30,19,0,0,0,0
381.0675,13,18,13,0,0,0,0
411.078,14,20,14,0,0,0,0
619.1728,22,36,20,0,0,0,0
649.1833,23,38,21,0,0,0,0
439.1569,16,28,12,2,0,0,0
531.1203,18,28,18,0,0,0,0
547.1516,19,32,18,0,0,0,0
617.1572,22,34,20,0,0,0,0
587.1466,21,32,19,0,0,0,0
407.0831,15,20,13,0,0,0,0
647.1677,23,36,21,0,0,0,0
437.0937,16,22,14,0,0,0,0
483.0991,17,24,16,0,0,0,0
571.1516,21,32,18,0,0,0,0
459.1355,16,28,15,0,0,0,0
489.1461,17,30,16,0,0,0,0
451.1093,17,24,14,0,0,0,0
413.0937,14,22,14,0,0,0,0
527.1254,19,28,17,0,0,0,0
351.0933,13,20,11,0,0,0,0
467.1043,17,24,15,0,0,0,0
545.1359,19,30,18,0,0,0,0
385.0988,13,22,13,0,0,0,0
395.0831,14,20,13,0,0,0,0
531.1567,19,32,17,0,0,0,0
337.0776,12,18,11,0,0,0,0
379.0882,14,20,12,0,0,0,0
513.1097,18,26,17,0,0,0,0
557.1359,20,30,18,0,0,0,0
383.0831,13,20,13,0,0,0,0
455.1042,16,24,15,0,0,0,0
367.0882,13,20,12,0,0,0,0
425.0937,15,22,14,0,0,0,0
353.0726,12,18,12,0,0,0,0
369.1039,13,22,12,0,0,0,0
457.1199,16,26,15,0,0,0,0
485.1148,17,26,16,0,0,0,0
487.1304,17,28,16,0,0,0,0
399.1144,14,24,13,0,0,0,0
357.1039,12,22,12,0,0,0,0
312.1565,14,23,5,3,0,0,0
309.0252,13,10,9,0,0,0,0
327.0147,16,8,8,0,0,0,0
315.0146,15,8,8,0,0,0,0
333.1919,16,30,7,0,0,0,0
317.1394,18,22,5,0,0,0,0
350.9994,14,8,11,0,0,0,0
567.1872,30,32,11,0,0,0,0
307.0823,15,16,7,0,0,0,0
315.0874,17,16,6,0,0,0,0
349.1405,17,22,6,2,0,0,0
348.1088,17,19,7,1,0,0,0
617.0785,27,22,17,0,0,0,0
353.1031,20,18,6,0,0,0,0
307.046,14,12,8,0,0,0,0
367.1552,22,24,5,0,0,0,0
335.0884,15,16,7,2,0,0,0
363.0834,16,16,8,2,0,0,0
629.115,29,26,16,0,0,0,0
597.1249,29,26,14,0,0,0,0
363.0874,21,16,6,0,0,0,0
555.0417,25,16,15,0,0,0,0
633.2191,31,38,14,0,0,0,0
332.1463,13,23,7,3,0,0,0
435.2599,21,40,9,0,0,0,0
339.0874,19,16,6,0,0,0,0
388.1548,16,27,6,3,1,0,0
440.0834,18,19,12,1,0,0,0
585.2706,32,42,10,0,0,0,0
530.2465,32,38,4,1,0,1,0
358.0932,18,17,7,1,0,0,0
400.1249,17,23,10,1,0,0,0
478.0991,21,21,12,1,0,0,0
315.051,16,12,7,0,0,0,0
481.1868,27,30,8,0,0,0,0
375.0511,21,12,7,0,0,0,0
319.1551,18,24,5,0,0,0,0
419.0409,22,12,9,0,0,0,0
363.051,20,12,7,0,0,0,0
414.0467,19,13,10,1,0,0,0
587.2498,31,40,11,0,0,0,0
346.0568,16,13,8,1,0,0,0
363.1562,18,24,6,2,0,0,0
398.0517,19,13,9,1,0,0,0
327.1635,17,28,4,0,1,0,0
498.2204,31,34,3,1,0,1,0
388.2283,26,31,2,1,0,0,0
432.1301,21,23,9,1,0,0,0
451.2701,25,40,7,0,0,0,0
395.1865,24,28,5,0,0,0,0
635.1983,30,36,15,0,0,0,0
317.0303,15,10,8,0,0,0,0
458.0729,21,17,11,1,0,0,0
411.2177,25,32,5,0,0,0,0
525.3069,28,46,9,0,0,0,0
358.2177,25,29,1,1,0,0,0
409.1252,18,22,9,2,0,0,0
515.2498,25,40,11,0,0,0,0
333.1456,17,22,5,2,0,0,0
416.2232,27,31,3,1,0,0,0
428.2232,28,31,3,1,0,0,0
341.2082,17,30,5,2,0,0,0
467.1348,25,24,9,0,0,0,0
378.0467,16,13,10,1,0,0,0
406.0415,17,13,11,1,0,0,0
374.2085,20,29,4,3,0,0,0
585.0523,26,18,16,0,0,0,0
327.051,17,12,7,0,0,0,0
331.0096,15,8,9,0,0,0,0
397.2021,24,30,5,0,0,0,0
377.0667,21,14,7,0,0,0,0
405.094,18,18,9,2,0,0,0
348.0725,16,15,8,1,0,0,0
317.103,17,18,6,0,0,0,0
603.2631,32,44,9,0,1,0,0
407.1095,18,20,9,2,0,0,0
352.0674,15,15,9,1,0,0,0
426.1043,18,21,11,1,0,0,0
386.0517,18,13,9,1,0,0,0
381.094,16,18,9,2,0,0,0
335.0045,14,8,10,0,0,0,0
503.2498,24,40,11,0,0,0,0
523.0883,26,20,12,0,0,0,0
398.0881,20,17,8,1,0,0,0
393.098,22,18,7,0,0,0,0
621.2189,30,38,14,0,0,0,0
615.0992,28,24,16,0,0,0,0
423.145,24,24,7,0,0,0,0
415.2701,22,40,7,0,0,0,0
377.1355,18,22,7,2,0,0,0
396.1412,17,23,8,3,0,0,0
366.1195,17,21,8,1,0,0,0
495.2025,28,32,8,0,0,0,0
317.197,16,30,6,0,0,0,0
316.1878,14,27,5,3,0,0,0
418.0415,18,13,11,1,0,0,0
425.2334,26,34,5,0,0,0,0
409.0048,16,10,13,0,0,0,0
395.1096,17,20,9,2,0,0,0
423.0603,15,20,12,0,1,0,0
314.1722,14,25,5,3,0,0,0
479.062,24,16,11,0,0,0,0
555.2811,28,44,11,0,0,0,0
428.0623,20,15,10,1,0,0,0
601.229,31,38,12,0,0,0,0
539.2287,30,36,9,0,0,0,0
370.0568,18,13,8,1,0,0,0
414.2246,19,33,7,3,0,0,0
553.0623,26,18,14,0,0,0,0
629.1877,31,34,14,0,0,0,0
315.1198,13,20,7,2,0,0,0
549.1495,40,22,3,0,0,0,0
555.0781,26,20,14,0,0,0,0
683.2559,32,44,16,0,0,0,0
501.2202,31,35,4,0,0,1,0
377.0304,20,10,8,0,0,0,0
400.1038,20,19,8,1,0,0,0
358.0569,17,13,8,1,0,0,0
352.1038,16,19,8,1,0,0,0
378.1307,17,21,7,3,0,0,0
391.1147,18,20,8,2,0,0,0
323.1347,13,24,9,0,0,0,0
385.2596,21,38,6,0,0,0,0
569.2028,30,34,11,0,0,0,0
527.2862,27,44,10,0,0,0,0
414.083,20,17,9,1,0,0,0
367.1187,21,20,6,0,0,0,0
339.051,18,12,7,0,0,0,0
451.1398,25,24,8,0,0,0,0
525.2494,30,38,8,0,0,0,0
523.1247,27,24,11,0,0,0,0
446.1092,21,21,10,1,0,0,0
467.2076,27,32,7,0,0,0,0
341.1395,20,22,5,0,0,0,0
509.109,26,22,11,0,0,0,0
619.2033,30,36,14,0,0,0,0
339.2177,19,32,5,0,0,0,0
412.0674,20,15,9,1,0,0,0
603.2447,31,40,12,0,0,0,0
453.1555,25,26,8,0,0,0,0
446.073,20,17,11,1,0,0,0
489.2341,23,38,11,0,0,0,0
349.1041,16,18,7,2,0,0,0
421.0929,23,18,8,0,0,0,0
531.2811,26,44,11,0,0,0,0
414.9943,18,8,12,0,0,0,0
621.1462,28,30,16,0,0,0,0
421.0048,17,10,13,0,0,0,0
603.0992,27,24,16,0,0,0,0
463.0671,24,16,10,0,0,0,0
390.2398,21,33,4,3,0,0,0
409.1293,23,22,7,0,0,0,0
485.2756,25,42,9,0,0,0,0
323.1864,18,28,5,0,0,0,0
567.0782,27,20,14,0,0,0,0
327.0874,18,16,6,0,0,0,0
444.0935,21,19,10,1,0,0,0
453.1919,26,30,7,0,0,0,0
424.0885,18,19,11,1,0,0,0
392.1497,15,27,7,3,1,0,0
577.0471,24,18,17,0,0,0,0
402.0467,18,13,10,1,0,0,0
349.1868,16,30,8,0,0,0,0
396.13,18,23,9,1,0,0,0
334.1772,17,25,4,3,0,0,0
573.0522,25,18,16,0,0,0,0
362.0518,16,13,9,1,0,0,0
415.249,25,36,5,0,0,0,0
428.0987,21,19,9,1,0,0,0
364.1514,17,23,6,3,0,0,0
375.1926,20,28,5,2,0,0,0
406.162,19,25,7,3,0,0,0
563.1652,41,24,3,0,0,0,0
448.0885,20,19,11,1,0,0,0
450.1042,20,21,11,1,0,0,0
393.094,17,18,9,2,0,0,0
420.13,20,23,9,1,0,0,0
525.1767,28,30,10,0,0,0,0
314.2085,15,29,4,3,0,0,0
451.0306,22,12,11,0,0,0,0
535.3277,30,48,8,0,0,0,0
502.2516,31,38,3,1,0,1,0
391.0823,22,16,7,0,0,0,0
615.1721,30,32,14,0,0,0,0
453.2283,27,34,6,0,0,0,0
433.093,24,18,8,0,0,0,0
437.1242,24,22,8,0,0,0,0
547.0365,23,16,16,0,0,0,0
537.1404,28,26,11,0,0,0,0
424.1249,19,23,10,1,0,0,0
376.1912,16,31,5,3,1,0,0
431.265,22,40,8,0,0,0,0
347.0045,15,8,10,0,0,0,0
459.2599,23,40,9,0,0,0,0
420.1776,20,27,7,3,0,0,0
525.2131,29,34,9,0,0,0,0
384.13,17,23,9,1,0,0,0
436.1249,20,23,10,1,0,0,0
537.1039,27,22,12,0,0,0,0
326.1721,15,25,5,3,0,0,0
514.2517,32,38,3,1,0,1,0
581.0784,24,22,17,0,0,0,0
481.0412,23,14,12,0,0,0,0
587.2134,30,36,12,0,0,0,0
377.099,17,18,8,2,0,0,0
421.2595,24,38,6,0,0,0,0
589.2655,31,42,11,0,0,0,0
436.0885,19,19,11,1,0,0,0
362.9994,15,8,11,0,0,0,0
388.1514,19,23,6,3,0,0,0
420.0573,18,15,11,1,0,0,0
585.125,28,26,14,0,0,0,0
364.1038,17,19,8,1,0,0,0
465.2858,26,42,7,0,0,0,0
396.1776,18,27,7,3,0,0,0
523.1609,28,28,10,0,0,0,0
352.1514,16,23,6,3,0,0,0
355.0096,17,8,9,0,0,0,0
435.0722,23,16,9,0,0,0,0
435.0357,22,12,10,0,0,0,0
591.2811,31,44,11,0,0,0,0
400.0674,19,15,9,1,0,0,0
372.0725,18,15,8,1,0,0,0
603.2082,30,36,13,0,0,0,0
481.2232,28,34,7,0,0,0,0
363.1198,17,20,7,2,0,0,0
365.1817,16,30,9,0,0,0,0
597.1615,30,30,13,0,0,0,0
402.1194,20,21,8,1,0,0,0
553.3018,29,46,10,0,0,0,0
439.1762,25,28,7,0,0,0,0
317.0667,16,14,7,0,0,0,0
347.2075,17,32,7,0,0,0,0
374.9994,16,8,11,0,0,0,0
381.1344,22,22,6,0,0,0,0
373.2596,20,38,6,0,0,0,0
383.0045,18,8,10,0,0,0,0
393.0859,15,22,10,0,1,0,0
405.2858,21,42,7,0,0,0,0
321.1708,18,26,5,0,0,0,0
412.209,19,31,7,3,0,0,0
443.265,23,40,8,0,0,0,0
343.1511,15,24,7,2,0,0,0
467.1712,26,28,8,0,0,0,0
495.0569,24,16,12,0,0,0,0
413.2334,25,34,5,0,0,0,0
471.0205,21,12,13,0,0,0,0
559.2913,31,44,9,0,0,0,0
393.1303,18,22,8,2,0,0,0
383.1864,23,28,5,0,0,0,0
404.1351,20,23,8,1,0,0,0
427.249,26,36,5,0,0,0,0
495.1297,26,24,10,0,0,0,0
557.0574,25,18,15,0,0,0,0
571.2549,31,40,10,0,0,0,0
599.1407,29,28,14,0,0,0,0
362.1358,17,21,6,3,0,0,0
617.1877,30,34,14,0,0,0,0
365.0667,20,14,7,0,0,0,0
593.0786,25,22,17,0,0,0,0
481.1504,26,26,9,0,0,0,0
511.2913,27,44,9,0,0,0,0
350.0882,16,17,8,1,0,0,0
393.0252,20,10,9,0,0,0,0
555.2236,30,36,10,0,0,0,0
539.0831,26,20,13,0,0,0,0
434.1093,20,21,10,1,0,0,0
329.1031,18,18,6,0,0,0,0
377.2334,22,34,5,0,0,0,0
501.031,22,14,14,0,0,0,0
483.2752,29,40,6,0,0,0,0
405.2494,20,38,8,0,0,0,0
539.2862,28,44,10,0,0,0,0
601.0836,27,22,16,0,0,0,0
529.2654,26,42,11,0,0,0,0
369.1708,22,26,5,0,0,0,0
539.1196,27,24,12,0,0,0,0
449.0878,24,18,9,0,0,0,0
447.2752,26,40,6,0,0,0,0
511.161,27,28,10,0,0,0,0
513.031,23,14,14,0,0,0,0
341.1031,19,18,6,0,0,0,0
331.1915,20,28,4,0,0,0,0
300.1929,14,27,4,3,0,0,0
505.026,21,14,15,0,0,0,0
351.051,19,12,7,0,0,0,0
426.1882,19,29,8,3,0,0,0
313.1657,16,26,6,0,0,0,0
601.1927,30,34,13,0,0,0,0
405.0616,22,14,8,0,0,0,0
432.0572,19,15,11,1,0,0,0
391.2701,20,40,7,0,0,0,0
353.0667,19,14,7,0,0,0,0
591.0992,26,24,16,0,0,0,0
425.1606,24,26,7,0,0,0,0
390.1195,19,21,8,1,0,0,0
329.1354,14,22,7,2,0,0,0
386.0881,19,17,8,1,0,0,0
509.0725,25,18,12,0,0,0,0
465.0464,23,14,11,0,0,0,0
441.0099,20,10,12,0,0,0,0
331.2126,17,32,6,0,0,0,0
543.0416,24,16,15,0,0,0,0
575.2862,31,44,10,0,0,0,0
433.0049,18,10,13,0,0,0,0
449.2392,21,38,10,0,0,0,0
360.0725,17,15,8,1,0,0,0
525.1402,27,26,11,0,0,0,0
601.12,28,26,15,0,0,0,0
367.0095,18,8,9,0,0,0,0
481.0777,24,18,11,0,0,0,0
553.0989,27,22,13,0,0,0,0
425.0151,20,10,11,0,0,0,0
430.078,20,17,10,1,0,0,0
539.1559,28,28,11,0,0,0,0
434.0729,19,17,11,1,0,0,0
350.1722,17,25,5,3,0,0,0
497.2545,29,38,7,0,0,0,0
418.1143,20,21,9,1,0,0,0
599.1771,30,32,13,0,0,0,0
497.1817,27,30,9,0,0,0,0
379.0824,21,16,7,0,0,0,0
581.149,19,35,18,0,0,1,0
481.2807,26,42,8,0,0,0,0
411.0239,13,16,13,0,1,0,0
500.236,31,36,3,1,0,1,0
571.2184,30,36,11,0,0,0,0
362.0882,17,17,8,1,0,0,0
587.1043,27,24,15,0,0,0,0
587.1407,28,28,14,0,0,0,0
541.0988,26,22,13,0,0,0,0
374.0882,18,17,8,1,0,0,0
585.0887,27,22,15,0,0,0,0
329.0303,16,10,8,0,0,0,0
497.1453,26,26,10,0,0,0,0
495.0934,25,20,11,0,0,0,0
809.2569,30,50,25,0,0,0,0
390.0466,17,13,10,1,0,0,0
465.0827,24,18,10,0,0,0,0
395.1137,22,20,7,0,0,0,0
416.0623,19,15,10,1,0,0,0
329.1758,20,26,4,0,0,0,0
410.1933,19,29,7,3,0,0,0
365.0303,19,10,8,0,0,0,0
605.1513,28,30,15,0,0,0,0
579.0628,24,20,17,0,0,0,0
585.1614,29,30,13,0,0,0,0
571.1821,29,32,12,0,0,0,0
571.1457,28,28,13,0,0,0,0
471.26,24,40,9,0,0,0,0
531.0416,23,16,15,0,0,0,0
372.1565,19,23,5,3,0,0,0
587.0678,26,20,16,0,0,0,0
416.0987,20,19,9,1,0,0,0
407.0773,22,16,8,0,0,0,0
437.0878,23,18,9,0,0,0,0
391.046,21,12,8,0,0,0,0
451.1035,24,20,9,0,0,0,0
367.1529,15,29,8,0,0,1,0
473.2909,28,42,6,0,0,0,0
425.197,25,30,6,0,0,0,0
459.2752,27,40,6,0,0,0,0
398.9994,18,8,11,0,0,0,0
565.1199,25,26,15,0,0,0,0
422.0729,18,17,11,1,0,0,0
511.1974,28,32,9,0,0,0,0
423.1086,23,20,8,0,0,0,0
379.2338,18,36,8,0,0,0,0
403.249,24,36,5,0,0,0,0
449.0514,23,14,10,0,0,0,0
487.2549,24,40,10,0,0,0,0
513.2705,26,42,10,0,0,0,0
525.1038,26,22,12,0,0,0,0
409.0201,20,10,10,0,0,0,0
475.0154,20,12,14,0,0,0,0
521.312,29,46,8,0,0,0,0
422.1093,19,21,10,1,0,0,0
353.0303,18,10,8,0,0,0,0
418.0779,19,17,10,1,0,0,0
366.1307,16,21,7,3,0,0,0
389.2334,23,34,5,0,0,0,0
406.1143,19,21,9,1,0,0,0
315.1813,16,28,6,0,0,0,0
374.0518,17,13,9,1,0,0,0
481.1141,25,22,10,0,0,0,0
527.0468,24,16,14,0,0,0,0
513.2858,30,42,7,0,0,0,0
394.1143,18,21,9,1,0,0,0
601.1562,29,30,14,0,0,0,0
563.0678,24,20,16,0,0,0,0
412.2453,20,35,6,3,0,0,0
451.0671,23,16,10,0,0,0,0
493.0259,20,14,15,0,0,0,0
407.0408,21,12,9,0,0,0,0
511.1246,26,24,11,0,0,0,0
376.2242,20,31,4,3,0,0,0
543.1872,28,32,11,0,0,0,0
487.3065,29,44,6,0,0,0,0
467.0984,24,20,10,0,0,0,0
593.1149,26,26,16,0,0,0,0
485.2909,29,42,6,0,0,0,0
589.1563,28,30,14,0,0,0,0
541.0625,25,18,14,0,0,0,0
431.1229,15,28,12,0,1,0,0
357.1668,16,26,7,2,0,0,0
378.1195,18,21,8,1,0,0,0
491.3014,28,44,7,0,0,0,0
561.0522,24,18,16,0,0,0,0
497.2756,26,42,9,0,0,0,0
455.2439,27,36,6,0,0,0,0
445.0049,19,10,13,0,0,0,0
461.2908,27,42,6,0,0,0,0
497.0362,23,14,13,0,0,0,0
463.0154,19,12,14,0,0,0,0
343.0096,16,8,9,0,0,0,0
559.073,25,20,15,0,0,0,0
511.0883,25,20,12,0,0,0,0
413.2545,22,38,7,0,0,0,0
455.0256,21,12,12,0,0,0,0
513.1766,27,30,10,0,0,0,0
335.1711,15,28,8,0,0,0,0
388.1038,19,19,8,1,0,0,0
328.1878,15,27,5,3,0,0,0
381.098,21,18,7,0,0,0,0
425.2545,23,38,7,0,0,0,0
575.1042,26,24,15,0,0,0,0
565.3018,30,46,10,0,0,0,0
541.1716,28,30,11,0,0,0,0
583.1458,29,28,13,0,0,0,0
603.1718,29,32,14,0,0,0,0
573.2705,31,42,10,0,0,0,0
587.177,29,32,13,0,0,0,0
571.073,26,20,15,0,0,0,0
541.2443,30,38,9,0,0,0,0
325.202,18,30,5,0,0,0,0
555.1508,28,28,12,0,0,0,0
421.0565,22,14,9,0,0,0,0
364.0674,16,15,9,1,0,0,0
376.1038,18,19,8,1,0,0,0
437.2545,24,38,7,0,0,0,0
555.1144,27,24,13,0,0,0,0
589.12,27,26,15,0,0,0,0
543.1508,27,28,12,0,0,0,0
402.083,19,17,9,1,0,0,0
493.229,22,38,12,0,0,0,0
603.1356,28,28,15,0,0,0,0
411.1813,24,28,6,0,0,0,0
513.1402,26,26,11,0,0,0,0
527.2651,30,40,8,0,0,0,0
577.12,26,26,15,0,0,0,0
432.0936,20,19,10,1,0,0,0
404.0987,19,19,9,1,0,0,0
573.1614,28,30,13,0,0,0,0
439.1398,24,24,8,0,0,0,0
433.2595,25,38,6,0,0,0,0
571.1093,27,24,14,0,0,0,0
575.0679,25,20,16,0,0,0,0
453.1191,24,22,9,0,0,0,0
579.1356,26,28,15,0,0,0,0
455.265,24,40,8,0,0,0,0
423.0358,21,12,10,0,0,0,0
396.214,19,31,6,3,0,0,0
341.0303,17,10,8,0,0,0,0
569.1301,28,26,13,0,0,0,0
439.0307,21,12,11,0,0,0,0
420.0936,19,19,10,1,0,0,0
519.3327,30,48,7,0,0,0,0
549.0522,23,18,16,0,0,0,0
341.0667,18,14,7,0,0,0,0
467.062,23,16,11,0,0,0,0
383.1501,22,24,6,0,0,0,0
