Mass,Forest,treatment,intensity
469.2807,HW,PreFenton,0
469.2959,HW,PreFenton,0
470.1277,HW,PreFenton,0
470.1515,HW,PreFenton,0
471.2963,HW,PreFenton,0
471.3116,HW,PreFenton,0
472.1494,HW,PreFenton,0
473.2756,HW,PreFenton,0
473.3273,HW,PreFenton,0
474.1287,HW,PreFenton,0
475.1128,HW,PreFenton,0
475.2548,HW,PreFenton,0
475.2913,HW,PreFenton,0
475.3066,HW,PreFenton,0
477.1283,HW,PreFenton,0
477.1355,HW,PreFenton,0
477.2705,HW,PreFenton,0
479.0984,HW,PreFenton,0
479.1348,HW,PreFenton,0
479.2497,HW,PreFenton,0
480.1723,HW,PreFenton,0
481.1846,HW,PreFenton,0
481.229,HW,PreFenton,0
481.2596,HW,PreFenton,0
481.2654,HW,PreFenton,0
482.1278,HW,PreFenton,0
482.1642,HW,PreFenton,0
482.1668,HW,PreFenton,0
483.1816,HW,PreFenton,0
483.2003,HW,PreFenton,0
483.2083,HW,PreFenton,0
483.2963,HW,PreFenton,0
483.2997,HW,PreFenton,0
483.3116,HW,PreFenton,0
484.1252,HW,PreFenton,0
484.2048,HW,PreFenton,0
485.1973,HW,PreFenton,0
485.2062,HW,PreFenton,0
485.2215,HW,PreFenton,0
485.3121,HW,PreFenton,0
485.3484,HW,PreFenton,0
486.1464,HW,PreFenton,0
487.2912,HW,PreFenton,0
488.1886,HW,PreFenton,0
488.1996,HW,PreFenton,0
488.236,HW,PreFenton,0
489.2202,HW,PreFenton,0
489.2705,HW,PreFenton,0
489.3069,HW,PreFenton,0
489.3222,HW,PreFenton,0
491.1537,HW,PreFenton,0
491.2498,HW,PreFenton,0
491.2861,HW,PreFenton,0
493.1141,HW,PreFenton,0
493.1675,HW,PreFenton,0
493.2655,HW,PreFenton,0
493.3171,HW,PreFenton,0
494.188,HW,PreFenton,0
495.1639,HW,PreFenton,0
495.2389,HW,PreFenton,0
495.2446,HW,PreFenton,0
495.2811,HW,PreFenton,0
496.1824,HW,PreFenton,0
497.161,HW,PreFenton,0
497.1795,HW,PreFenton,0
497.2239,HW,PreFenton,0
497.2909,HW,PreFenton,0
497.312,HW,PreFenton,0
499.1854,HW,PreFenton,0
499.241,HW,PreFenton,0
499.2913,HW,PreFenton,0
501.192,HW,PreFenton,0
501.2679,HW,PreFenton,0
501.2705,HW,PreFenton,0
501.3069,HW,PreFenton,0
502.154,HW,PreFenton,0
503.2862,HW,PreFenton,0
505.1338,HW,PreFenton,0
505.1693,HW,PreFenton,0
505.1747,HW,PreFenton,0
505.229,HW,PreFenton,0
505.2654,HW,PreFenton,0
505.3019,HW,PreFenton,0
506.1202,HW,PreFenton,0
506.1991,HW,PreFenton,0
507.0932,HW,PreFenton,0
507.146,HW,PreFenton,0
507.1832,HW,PreFenton,0
507.1904,HW,PreFenton,0
507.2447,HW,PreFenton,0
507.2811,HW,PreFenton,0
507.3328,HW,PreFenton,0
509.1454,HW,PreFenton,0
509.2181,HW,PreFenton,0
509.2239,HW,PreFenton,0
509.2545,HW,PreFenton,0
509.312,HW,PreFenton,0
511.2395,HW,PreFenton,0
511.2701,HW,PreFenton,0
512.1984,HW,PreFenton,0
512.211,HW,PreFenton,0
512.2361,HW,PreFenton,0
513.2188,HW,PreFenton,0
513.3069,HW,PreFenton,0
513.3103,HW,PreFenton,0
513.3221,HW,PreFenton,0
515.2708,HW,PreFenton,0
515.2781,HW,PreFenton,0
515.2835,HW,PreFenton,0
515.2861,HW,PreFenton,0
516.2309,HW,PreFenton,0
516.2674,HW,PreFenton,0
517.1046,HW,PreFenton,0
517.229,HW,PreFenton,0
517.2654,HW,PreFenton,0
517.3018,HW,PreFenton,0
519.2446,HW,PreFenton,0
519.281,HW,PreFenton,0
520.1357,HW,PreFenton,0
521.1609,HW,PreFenton,0
521.2238,HW,PreFenton,0
521.2603,HW,PreFenton,0
523.1612,HW,PreFenton,0
523.2337,HW,PreFenton,0
523.2395,HW,PreFenton,0
523.325,HW,PreFenton,0
523.3277,HW,PreFenton,0
525.2189,HW,PreFenton,0
525.2552,HW,PreFenton,0
526.2518,HW,PreFenton,0
527.19,HW,PreFenton,0
527.2344,HW,PreFenton,0
527.3226,HW,PreFenton,0
528.1514,HW,PreFenton,0
528.231,HW,PreFenton,0
528.2674,HW,PreFenton,0
529.2137,HW,PreFenton,0
529.2501,HW,PreFenton,0
529.2688,HW,PreFenton,0
529.3018,HW,PreFenton,0
529.3052,HW,PreFenton,0
529.3171,HW,PreFenton,0
529.3382,HW,PreFenton,0
531.1486,HW,PreFenton,0
531.2447,HW,PreFenton,0
531.3327,HW,PreFenton,0
533.2604,HW,PreFenton,0
533.2968,HW,PreFenton,0
533.3484,HW,PreFenton,0
535.0882,HW,PreFenton,0
535.1516,HW,PreFenton,0
535.2033,HW,PreFenton,0
535.2396,HW,PreFenton,0
535.276,HW,PreFenton,0
537.1767,HW,PreFenton,0
537.2188,HW,PreFenton,0
537.2553,HW,PreFenton,0
537.3069,HW,PreFenton,0
537.3433,HW,PreFenton,0
539.0468,HW,PreFenton,0
539.1923,HW,PreFenton,0
539.2345,HW,PreFenton,0
539.2709,HW,PreFenton,0
539.3073,HW,PreFenton,0
539.3226,HW,PreFenton,0
540.1933,HW,PreFenton,0
540.2675,HW,PreFenton,0
541.2501,HW,PreFenton,0
541.2807,HW,PreFenton,0
541.3018,HW,PreFenton,0
541.3382,HW,PreFenton,0
541.4484,HW,PreFenton,0
542.2466,HW,PreFenton,0
542.2831,HW,PreFenton,0
543.2296,HW,PreFenton,0
543.2784,HW,PreFenton,0
543.2811,HW,PreFenton,0
543.2963,HW,PreFenton,0
543.3175,HW,PreFenton,0
544.2623,HW,PreFenton,0
545.2604,HW,PreFenton,0
545.2968,HW,PreFenton,0
545.312,HW,PreFenton,0
547.134,HW,PreFenton,0
547.2396,HW,PreFenton,0
547.2761,HW,PreFenton,0
547.3125,HW,PreFenton,0
547.3277,HW,PreFenton,0
548.2097,HW,PreFenton,0
549.2552,HW,PreFenton,0
549.2917,HW,PreFenton,0
549.3433,HW,PreFenton,0
551.2346,HW,PreFenton,0
551.271,HW,PreFenton,0
551.3226,HW,PreFenton,0
553.1352,HW,PreFenton,0
553.1716,HW,PreFenton,0
553.208,HW,PreFenton,0
553.2138,HW,PreFenton,0
553.2503,HW,PreFenton,0
553.3383,HW,PreFenton,0
554.2831,HW,PreFenton,0
555.1872,HW,PreFenton,0
555.2294,HW,PreFenton,0
555.26,HW,PreFenton,0
555.2659,HW,PreFenton,0
555.3176,HW,PreFenton,0
556.1707,HW,PreFenton,0
556.2623,HW,PreFenton,0
556.2988,HW,PreFenton,0
557.2756,HW,PreFenton,0
557.2968,HW,PreFenton,0
557.3332,HW,PreFenton,0
559.2242,HW,PreFenton,0
559.2397,HW,PreFenton,0
559.276,HW,PreFenton,0
559.3124,HW,PreFenton,0
559.3277,HW,PreFenton,0
559.4861,HW,PreFenton,0
560.183,HW,PreFenton,0
561.1496,HW,PreFenton,0
561.2036,HW,PreFenton,0
561.2552,HW,PreFenton,0
561.2916,HW,PreFenton,0
561.3069,HW,PreFenton,0
561.3281,HW,PreFenton,0
563.1384,HW,PreFenton,0
563.2709,HW,PreFenton,0
563.3073,HW,PreFenton,0
563.3225,HW,PreFenton,0
565.1354,HW,PreFenton,0
565.1445,HW,PreFenton,0
565.2502,HW,PreFenton,0
565.2866,HW,PreFenton,0
565.3383,HW,PreFenton,0
566.2203,HW,PreFenton,0
567.1508,HW,PreFenton,0
567.2295,HW,PreFenton,0
567.2658,HW,PreFenton,0
567.3175,HW,PreFenton,0
569.0937,HW,PreFenton,0
569.1666,HW,PreFenton,0
569.2393,HW,PreFenton,0
569.2451,HW,PreFenton,0
569.2757,HW,PreFenton,0
569.2968,HW,PreFenton,0
569.3332,HW,PreFenton,0
570.144,HW,PreFenton,0
570.2038,HW,PreFenton,0
571.2243,HW,PreFenton,0
571.276,HW,PreFenton,0
571.2912,HW,PreFenton,0
