soil,Forest,Treatment,Mass,Class,intensity
Soil_1,HW,PreFenton,391.0307,ConHC,9802948
Soil_1,HW,PreFenton,391.0671,Lignin,15137998
Soil_1,HW,PreFenton,391.1035,Lignin,19381464
Soil_1,HW,PreFenton,391.161,AminoSugar,4185321
Soil_1,HW,PreFenton,391.1762,Lignin,15453421
Soil_1,HW,PreFenton,391.1974,Protein,3938547
Soil_1,HW,PreFenton,391.2126,Lignin,7691511
Soil_1,HW,PreFenton,391.2337,Protein,3845885
Soil_1,HW,PreFenton,393.0463,Lignin,13625066
Soil_1,HW,PreFenton,393.0827,Lignin,17313523
Soil_1,HW,PreFenton,393.1038,Tannin,3390713
Soil_1,HW,PreFenton,393.1191,Lignin,19681021
Soil_1,HW,PreFenton,393.1402,AminoSugar,2946818
Soil_1,HW,PreFenton,393.1555,Lignin,19562246
Soil_1,HW,PreFenton,393.1766,AminoSugar,5418764
Soil_1,HW,PreFenton,393.1919,Lignin,14970640
Soil_1,HW,PreFenton,393.213,Protein,2029846
Soil_1,HW,PreFenton,393.2283,Lipid,5185306
Soil_1,HW,PreFenton,395.0256,ConHC,6754529
Soil_1,HW,PreFenton,395.062,Lignin,16933098
Soil_1,HW,PreFenton,395.0984,Lignin,18989299
Soil_1,HW,PreFenton,395.1195,Carb,34484472
Soil_1,HW,PreFenton,395.1348,Lignin,17547516
Soil_1,HW,PreFenton,395.1711,Lignin,18505989
Soil_1,HW,PreFenton,395.2075,Protein,11100430
Soil_1,HW,PreFenton,395.2439,Lipid,4228374
Soil_1,HW,PreFenton,397.0776,Lignin,15467202
Soil_1,HW,PreFenton,397.114,Lignin,15192778
Soil_1,HW,PreFenton,397.1351,Carb,3609807
Soil_1,HW,PreFenton,397.1504,Lignin,15426259
Soil_1,HW,PreFenton,397.1657,Lignin,3233494
Soil_1,HW,PreFenton,397.1868,Protein,16057051
Soil_1,HW,PreFenton,397.2232,Protein,9306851
Soil_1,HW,PreFenton,398.1093,Lignin,2910628
Soil_1,HW,PreFenton,398.1569,Lignin,3874734
Soil_1,HW,PreFenton,398.1933,Protein,3435957
Soil_1,HW,PreFenton,399.0569,Tannin,8580200
Soil_1,HW,PreFenton,399.0933,Lignin,12756080
Soil_1,HW,PreFenton,399.1297,Lignin,12559479
Soil_1,HW,PreFenton,399.1449,Lignin,5666938
Soil_1,HW,PreFenton,399.1813,Lignin,5002369
Soil_1,HW,PreFenton,399.2024,Protein,12215430
Soil_1,HW,PreFenton,399.2177,Lignin,3027081
Soil_1,HW,PreFenton,399.2388,Protein,11250829
Soil_1,HW,PreFenton,400.1725,Protein,4452675
Soil_1,HW,PreFenton,400.2089,Protein,3509066
Soil_1,HW,PreFenton,401.0725,Tannin,7460329
Soil_1,HW,PreFenton,401.0878,Lignin,8801771
Soil_1,HW,PreFenton,401.1089,Lignin,10470895
Soil_1,HW,PreFenton,401.1242,Lignin,8340978
Soil_1,HW,PreFenton,401.1453,Lignin,9387510
Soil_1,HW,PreFenton,401.1606,Lignin,8902136
Soil_1,HW,PreFenton,401.1817,Protein,10509820
Soil_1,HW,PreFenton,401.197,Lignin,7077375
Soil_1,HW,PreFenton,401.2181,Protein,9129474
Soil_1,HW,PreFenton,401.2333,Lignin,3758597
Soil_1,HW,PreFenton,401.2545,Protein,3130889
Soil_1,HW,PreFenton,402.1518,AminoSugar,2526883
Soil_1,HW,PreFenton,402.1882,Protein,2700457
Soil_1,HW,PreFenton,403.0671,Lignin,11255605
Soil_1,HW,PreFenton,403.0882,Tannin,4228921
Soil_1,HW,PreFenton,403.1246,Lignin,5448510
Soil_1,HW,PreFenton,403.161,AminoSugar,6244164
Soil_1,HW,PreFenton,403.1762,Lignin,12814150
Soil_1,HW,PreFenton,403.2126,Lignin,7679820
Soil_1,HW,PreFenton,403.2337,Protein,6196047
Soil_1,HW,PreFenton,405.0463,ConHC,11628623
Soil_1,HW,PreFenton,405.0827,Lignin,15427667
Soil_1,HW,PreFenton,405.1038,Tannin,3672150
Soil_1,HW,PreFenton,405.1191,Lignin,15775832
Soil_1,HW,PreFenton,405.1515,AminoSugar,21723228
Soil_1,HW,PreFenton,405.1555,Lignin,15566941
Soil_1,HW,PreFenton,405.1766,AminoSugar,5498976
Soil_1,HW,PreFenton,405.1919,Lignin,13740130
Soil_1,HW,PreFenton,405.213,Protein,4340836
Soil_1,HW,PreFenton,405.2494,Protein,2307689
Soil_1,HW,PreFenton,407.0256,ConHC,7196985
Soil_1,HW,PreFenton,407.062,Lignin,14018877
Soil_1,HW,PreFenton,407.0984,Lignin,17549633
Soil_1,HW,PreFenton,407.1711,Lignin,17258824
Soil_1,HW,PreFenton,407.1923,AminoSugar,3594571
Soil_1,HW,PreFenton,407.2075,Lignin,10862924
Soil_1,HW,PreFenton,407.2439,Lipid,3380048
Soil_1,HW,PreFenton,409.0412,Tannin,8925690
Soil_1,HW,PreFenton,409.0776,Lignin,15260157
Soil_1,HW,PreFenton,409.0988,Tannin,3889662
Soil_1,HW,PreFenton,409.114,Lignin,16984576
Soil_1,HW,PreFenton,409.1351,Carb,5126658
Soil_1,HW,PreFenton,409.1504,Lignin,18622979
Soil_1,HW,PreFenton,409.1868,Lignin,14207494
Soil_1,HW,PreFenton,409.2232,Protein,7096841
Soil_1,HW,PreFenton,411.0569,Tannin,10961551
Soil_1,HW,PreFenton,411.0933,Lignin,14592657
Soil_1,HW,PreFenton,411.1144,Carb,6025874
Soil_1,HW,PreFenton,411.1297,Lignin,13732499
Soil_1,HW,PreFenton,411.2024,Protein,11162264
Soil_1,HW,PreFenton,411.2388,Protein,5063322
Soil_1,HW,PreFenton,413.0362,Tannin,3959545
Soil_1,HW,PreFenton,413.0725,Tannin,10076922
Soil_1,HW,PreFenton,413.1089,Lignin,11399932
Soil_1,HW,PreFenton,413.1301,Carb,9257725
Soil_1,HW,PreFenton,413.1453,Lignin,9396989
Soil_1,HW,PreFenton,413.1606,Lignin,4858622
Soil_1,HW,PreFenton,413.1817,Protein,10863359
Soil_1,HW,PreFenton,413.2181,Protein,9515777
Soil_1,HW,PreFenton,413.2545,Protein,3136258
Soil_1,HW,PreFenton,414.1882,Protein,3433253
Soil_1,HW,PreFenton,415.0518,Tannin,4380479
Soil_1,HW,PreFenton,415.0671,Lignin,7836479
Soil_1,HW,PreFenton,415.0882,Tannin,7725888
Soil_1,HW,PreFenton,415.1246,Lignin,8899393
Soil_1,HW,PreFenton,415.1398,Lignin,7486273
Soil_1,HW,PreFenton,415.161,Lignin,13581121
Soil_1,HW,PreFenton,415.1762,Lignin,7689026
Soil_1,HW,PreFenton,415.1974,Protein,8213314
Soil_1,HW,PreFenton,415.2126,Lignin,5363523
Soil_1,HW,PreFenton,415.2337,Protein,8180547
Soil_1,HW,PreFenton,416.1675,Protein,3204950
Soil_1,HW,PreFenton,417.0463,ConHC,8913761
Soil_1,HW,PreFenton,417.0827,Lignin,9769825
Soil_1,HW,PreFenton,417.1072,Carb,3731297
Soil_1,HW,PreFenton,417.1191,Lignin,9909089
Soil_1,HW,PreFenton,417.1402,Lignin,4285281
Soil_1,HW,PreFenton,417.1555,Lignin,11436897
Soil_1,HW,PreFenton,417.1766,Protein,5311330
Soil_1,HW,PreFenton,417.1919,Lignin,10216290
Soil_1,HW,PreFenton,417.213,Protein,6389602
Soil_1,HW,PreFenton,417.2283,Lignin,5762914
Soil_1,HW,PreFenton,417.2494,Protein,5039970
Soil_1,HW,PreFenton,419.062,Lignin,11141986
Soil_1,HW,PreFenton,419.0984,Lignin,12708705
Soil_1,HW,PreFenton,419.1348,Lignin,12559201
Soil_1,HW,PreFenton,419.2075,Lignin,10277728
Soil_1,HW,PreFenton,419.2439,Lipid,4105056
Soil_1,HW,PreFenton,421.0776,Lignin,12143428
Soil_1,HW,PreFenton,421.114,Lignin,15911747
Soil_1,HW,PreFenton,421.1504,Lignin,14576450
Soil_1,HW,PreFenton,421.1868,Lignin,14170945
Soil_1,HW,PreFenton,421.2232,Lignin,6702913
Soil_1,HW,PreFenton,423.0205,ConHC,3572492
Soil_1,HW,PreFenton,423.0569,Tannin,10328843
Soil_1,HW,PreFenton,423.0933,Lignin,13691658
Soil_1,HW,PreFenton,423.1144,Carb,4815625
Soil_1,HW,PreFenton,423.1297,Lignin,14412553
Soil_1,HW,PreFenton,423.1508,Carb,2794248
Soil_1,HW,PreFenton,423.2024,Lignin,11002630
Soil_1,HW,PreFenton,423.2388,Protein,5311237
Soil_1,HW,PreFenton,425.0362,Tannin,5067450
Soil_1,HW,PreFenton,425.1089,Lignin,12251831
Soil_1,HW,PreFenton,425.1301,Carb,4440758
Soil_1,HW,PreFenton,425.1453,Lignin,11635381
Soil_1,HW,PreFenton,425.1817,Lignin,14109363
Soil_1,HW,PreFenton,425.2181,Protein,8028849
Soil_1,HW,PreFenton,427.0518,Tannin,6018640
Soil_1,HW,PreFenton,427.0882,Tannin,9646670
Soil_1,HW,PreFenton,427.1093,Carb,4022861
Soil_1,HW,PreFenton,427.1246,Lignin,9316940
Soil_1,HW,PreFenton,427.1457,Carb,3372107
Soil_1,HW,PreFenton,427.161,Lignin,8262218
Soil_1,HW,PreFenton,427.1974,Protein,9298504
Soil_1,HW,PreFenton,427.2126,Lignin,3792455
Soil_1,HW,PreFenton,427.2337,Protein,5226054
Soil_1,HW,PreFenton,429.1038,Tannin,7977424
Soil_1,HW,PreFenton,429.125,Carb,8581583
Soil_1,HW,PreFenton,429.1402,Lignin,6378958
Soil_1,HW,PreFenton,429.1555,Lignin,6461901
Soil_1,HW,PreFenton,429.1766,Protein,6664651
Soil_1,HW,PreFenton,429.1919,Lignin,6432202
Soil_1,HW,PreFenton,429.213,Protein,7027145
Soil_1,HW,PreFenton,429.2283,Lignin,4288968
Soil_1,HW,PreFenton,429.2494,Protein,3549638
Soil_1,HW,PreFenton,430.1831,Protein,2231173
Soil_1,HW,PreFenton,431.0831,Tannin,4625731
Soil_1,HW,PreFenton,431.0984,Lignin,8505666
Soil_1,HW,PreFenton,431.1195,Tannin,6028608
Soil_1,HW,PreFenton,431.1348,Lignin,8653119
Soil_1,HW,PreFenton,431.1559,Lignin,5168445
Soil_1,HW,PreFenton,431.1711,Lignin,9421116
Soil_1,HW,PreFenton,431.1923,Protein,6762810
Soil_1,HW,PreFenton,431.2075,Lignin,8857913
Soil_1,HW,PreFenton,431.2439,Lignin,4378935
Soil_1,HW,PreFenton,433.0776,Lignin,9390245
Soil_1,HW,PreFenton,433.1021,Carb,2274467
Soil_1,HW,PreFenton,433.114,Lignin,11047075
Soil_1,HW,PreFenton,433.1504,Lignin,11258016
Soil_1,HW,PreFenton,433.1868,Lignin,11282589
Soil_1,HW,PreFenton,433.2079,Protein,3572891
Soil_1,HW,PreFenton,433.2232,Lignin,8018074
Soil_1,HW,PreFenton,433.2443,Protein,3802264
Soil_1,HW,PreFenton,435.0569,Lignin,9375741
Soil_1,HW,PreFenton,435.0933,Lignin,11614202
Soil_1,HW,PreFenton,435.1297,Lignin,13295607
Soil_1,HW,PreFenton,435.1661,Lignin,12859380
