Treatment,X,code,soil,Forest,Fenton,Mass,C,H,N,O,S,P,HC,OC,DBE,CRAM,AI_mod,Class,KM,NKM,KMD,perc
PostFenton,25,PosFHW1.csv,Soil_7,HW,PostFenton,467.1195,21,24,0,12,0,0,1.14,0.57,10,CRAM,0.266666667,HighUnsatLign,467.22751,467,0.22751,top 25 %
PostFenton,26,PosFHW1.csv,Soil_7,HW,PostFenton,443.062,21,16,0,11,0,0,0.76,0.52,14,CRAM,0.548387097,Aromatic,443.16444,443,0.16444,lowest 25%
PostFenton,27,PosFHW1.csv,Soil_7,HW,PostFenton,365.0725,13,18,0,12,0,0,1.38,0.92,5,O,-0.142857143,HighUnsatLign,365.15697,365,0.15697,top 25 %
PostFenton,28,PosFHW1.csv,Soil_7,HW,PostFenton,409.0988,15,22,0,13,0,0,1.47,0.87,5,O,-0.176470588,HighUnsatLign,409.19336,409,0.19336,top 25 %
PostFenton,29,PosFHW1.csv,Soil_7,HW,PostFenton,425.1453,20,26,0,10,0,0,1.3,0.5,8,CRAM,0.2,HighUnsatLign,425.24363,425,0.24363,top 25 %
PostFenton,30,PosFHW1.csv,Soil_7,HW,PostFenton,521.0937,23,22,0,14,0,0,0.96,0.61,13,CRAM,0.375,HighUnsatLign,521.21417,521,0.21417,lowest 25%
PostFenton,31,PosFHW1.csv,Soil_7,HW,PostFenton,311.15,16,24,0,6,0,0,1.5,0.38,5,CRAM,0.153846154,UnSatAliph_noN,311.22196,311,0.22196,lowest 25%
PostFenton,32,PosFHW1.csv,Soil_7,HW,PostFenton,457.0624,18,18,0,14,0,0,1,0.78,10,O,0.272727273,HighUnsatLign,457.16807,457,0.16807,second 25 %
PostFenton,33,PosFHW1.csv,Soil_7,HW,PostFenton,471.1355,17,28,0,15,0,0,1.65,0.88,4,O,-0.368421053,SatFatAcCarb,471.24449,471,0.24449,top 25 %
PostFenton,34,PosFHW1.csv,Soil_7,HW,PostFenton,352.0885,12,19,1,11,0,0,1.58,0.92,4,O,-0.363636364,SatFatAcCarb,352.16995,352,0.16995,lowest 25%
PostFenton,35,PosFHW1.csv,Soil_7,HW,PostFenton,593.224,29,38,0,13,0,0,1.31,0.45,11,CRAM,0.2,HighUnsatLign,593.36114,593,0.36114,third 25 %
PostFenton,36,PosFHW1.csv,Soil_7,HW,PostFenton,511.1668,20,32,0,15,0,0,1.6,0.75,5,O,-0.2,SatFatAcCarb,511.28504,511,0.28504,top 25 %
PostFenton,37,PosFHW1.csv,Soil_7,HW,PostFenton,493.1563,20,30,0,14,0,0,1.5,0.7,6,O,-0.076923077,SatFatAcCarb,493.27031,493,0.27031,second 25 %
PostFenton,38,PosFHW1.csv,Soil_7,HW,PostFenton,397.0624,13,18,0,14,0,0,1.38,1.08,5,O,-0.333333333,HighUnsatLign,397.15419,397,0.15419,third 25 %
PostFenton,39,PosFHW1.csv,Soil_7,HW,PostFenton,517.0835,20,22,0,16,0,0,1.1,0.8,10,O,0.166666667,HighUnsatLign,517.20308,517,0.20308,third 25 %
PostFenton,40,PosFHW1.csv,Soil_7,HW,PostFenton,361.1504,16,26,0,9,0,0,1.62,0.56,4,O,-0.043478261,UnSatAliph_noN,361.23392,361,0.23392,top 25 %
PostFenton,41,PosFHW1.csv,Soil_7,HW,PostFenton,455.1042,16,24,0,15,0,0,1.5,0.94,5,O,-0.294117647,SatFatAcCarb,455.20948,455,0.20948,top 25 %
PostFenton,42,PosFHW1.csv,Soil_7,HW,PostFenton,341.0878,15,18,0,9,0,0,1.2,0.6,7,CRAM,0.238095238,HighUnsatLign,341.16668,341,0.16668,top 25 %
PostFenton,43,PosFHW1.csv,Soil_7,HW,PostFenton,457.3171,25,46,0,7,0,0,1.84,0.28,3,O,-0.023255814,UnSatAliph_noN,457.42282,457,0.42282,lowest 25%
PostFenton,44,PosFHW1.csv,Soil_7,HW,PostFenton,619.1727,22,36,0,20,0,0,1.64,0.91,5,O,-0.416666667,SatFatAcCarb,619.31589,619,0.31589,top 25 %
PostFenton,45,PosFHW1.csv,Soil_7,HW,PostFenton,479.1042,18,24,0,15,0,0,1.33,0.83,7,O,-0.047619048,HighUnsatLign,479.21503,479,0.21503,top 25 %
PostFenton,46,PosFHW1.csv,Soil_7,HW,PostFenton,581.1359,22,30,0,18,0,0,1.36,0.82,8,O,-0.076923077,HighUnsatLign,581.27032,581,0.27032,second 25 %
PostFenton,47,PosFHW1.csv,Soil_7,HW,PostFenton,557.2603,27,42,0,12,0,0,1.56,0.44,7,O,0.047619048,UnSatAliph_noN,557.38921,557,0.38921,lowest 25%
