"","C","H","N","O","S","P","Mass","HC","OC","m.z","DBE","CRAM","AI.mod","PolyCyArom","Aromatic","HighUnsatLign","UnSatAliph_noN","SatFatAcCarb","UnSatAlip.N","KM","NKM","KMD"
"77",15,16,0,13,0,0,403.0518,1.066666667,0.866666667,403.05181,8,"O",0.176470588,"----","----","HUnSatLig","----","----","----",403.14501,403,0.14501
"78",15,17,1,9,0,0,354.0831,1.133333333,0.6,354.08305,8,"CRAM",0.315789474,"----","----","HUnSatLig","----","----","----",354.16493,354,0.16493
"79",15,18,0,8,0,0,325.0929,1.2,0.533333333,325.09289,7,"CRAM",0.272727273,"----","----","HUnSatLig","----","----","----",325.16806,325,0.16806
"80",15,18,0,9,0,0,341.0878,1.2,0.6,341.0878,7,"CRAM",0.238095238,"----","----","HUnSatLig","----","----","----",341.16668,341,0.16668
"81",15,18,0,10,0,0,357.0827,1.2,0.666666667,357.08272,7,"O",0.2,"----","----","HUnSatLig","----","----","----",357.16529,357,0.16529
"82",15,18,0,11,0,0,373.0776,1.2,0.733333333,373.07763,7,"O",0.157894737,"----","----","HUnSatLig","----","----","----",373.1639,373,0.1639
"83",15,18,0,12,0,0,389.0725,1.2,0.8,389.07255,7,"O",0.111111111,"----","----","HUnSatLig","----","----","----",389.16252,389,0.16252
"84",15,20,0,7,0,0,311.1136,1.333333333,0.466666667,311.11363,6,"CRAM",0.217391304,"----","----","HUnSatLig","----","----","----",311.18557,311,0.18557
"85",15,20,0,8,0,0,327.1085,1.333333333,0.533333333,327.10854,6,"O",0.181818182,"----","----","HUnSatLig","----","----","----",327.18418,327,0.18418
"86",15,20,0,9,0,0,343.1035,1.333333333,0.6,343.10345,6,"O",0.142857143,"----","----","HUnSatLig","----","----","----",343.18279,343,0.18279
"87",15,20,0,10,0,0,359.0984,1.333333333,0.666666667,359.09837,6,"O",0.1,"----","----","HUnSatLig","----","----","----",359.18141,359,0.18141
"88",15,20,0,11,0,0,375.0933,1.333333333,0.733333333,375.09328,6,"O",0.052631579,"----","----","HUnSatLig","----","----","----",375.18002,375,0.18002
