C,H,N,O,S,P,,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,22,0,12,1,0,,413.0759195,,3683440,4368924,3978011,,,8162593,7468039,7167904,,1.571428571,0.857142857,,413.07592,4,0.285714286,0.181818182,0.333333333,O,,,-0.428571429,,----,----,----,----,SatFACarb,----,,413.17144,413.00000,0.17144
14,22,0,13,0,0,,397.0987634,,2163651,2249233,2196945,,,1606068,1579428,1654823,,1.571428571,0.928571429,,397.09876,4,0.285714286,0.181818182,0.307692308,O,,,-0.333333333,,----,----,----,----,SatFACarb,----,,397.19059,397.00000,0.19059
14,22,2,7,0,0,,329.1354238,,NA,NA,NA,,,1726662,1604632,1812755,,1.571428571,0.5,,329.13542,5,0.357142857,0.227272727,0.714285714,O,,,0.058823529,,----,----,----,----,----,Alipat+N,,329.21153,329.00000,0.21153
14,22,2,8,0,0,,345.1303384,,2943435,2824516,2517387,,,4126945,4381634,4384928,,1.571428571,0.571428571,,345.13034,5,0.357142857,0.227272727,0.625,O,,,0,,----,----,----,----,----,Alipat+N,,345.21014,345.00000,0.21014
14,22,4,7,0,0,,357.1415718,,NA,NA,NA,,,1570517,2088175,1495061,,1.571428571,0.5,,357.14157,6,0.428571429,0.272727273,0.857142857,CRAM,,,0.076923077,,----,----,----,----,----,Alipat+N,,357.22416,357.00000,0.22416
14,23,1,10,0,0,,364.1249186,,1692621,2263397,1882466,,,NA,NA,NA,,1.642857143,0.714285714,,364.12492,4,0.285714286,0.173913043,0.4,O,,,-0.1875,,----,----,----,----,SatFACarb,----,,364.20912,364.00000,0.20912
14,23,3,5,0,0,,312.1564936,,NA,NA,NA,,,1815059,2535642,2094017,,1.642857143,0.357142857,,312.15649,5,0.357142857,0.217391304,1,CRAM,,,0.117647059,,----,----,----,----,----,Alipat+N,,312.22868,312.00000,0.22868
14,23,3,6,0,0,,328.1514082,,3648392,3806325,3559819,,,6040546,6275149,5902391,,1.642857143,0.428571429,,328.15141,5,0.357142857,0.217391304,0.833333333,CRAM,,,0.0625,,----,----,----,----,----,Alipat+N,,328.22729,328.00000,0.22729
14,23,3,7,0,0,,344.1463228,,2106535,2131024,2185858,,,2663372,3065538,3021205,,1.642857143,0.5,,344.14632,5,0.357142857,0.217391304,0.714285714,O,,,0,,----,----,----,----,----,Alipat+N,,344.22590,344.00000,0.22590
14,24,0,10,0,0,,351.1296696,,2350925,2418007,2744355,,,3789748,3983911,3479350,,1.714285714,0.714285714,,351.12967,3,0.214285714,0.125,0.3,O,,,-0.222222222,,----,----,----,----,SatFACarb,----,,351.21086,351.00000,0.21086
14,24,0,11,0,0,,367.1245842,,2112065,2350765,2350317,,,2396877,2090114,1893774,,1.714285714,0.785714286,,367.12458,3,0.214285714,0.125,0.272727273,O,,,-0.294117647,,----,----,----,----,SatFACarb,----,,367.20948,367.00000,0.20948
14,24,0,12,0,0,,383.1194988,,3225822,3605780,3712634,,,2347617,2813427,2313240,,1.714285714,0.857142857,,383.11950,3,0.214285714,0.125,0.25,O,,,-0.375,,----,----,----,----,SatFACarb,----,,383.20809,383.00000,0.20809
14,24,4,7,0,0,,359.1572218,,NA,NA,NA,,,1677633,1752386,1632873,,1.714285714,0.5,,359.15722,5,0.357142857,0.208333333,0.714285714,O,,,-0.076923077,,----,----,----,----,----,Alipat+N,,359.24027,359.00000,0.24027
14,25,0,13,0,1,,431.0959999,,NA,NA,NA,,,3428104,4458347,5283596,,1.785714286,0.928571429,,431.09600,3,0.214285714,0.12,0.230769231,O,,,-0.615384615,,----,----,----,----,SatFACarb,----,,431.19568,431.00000,0.19568
14,25,3,5,0,0,,314.1721436,,1591177,1408672,1537302,,,2541188,2296615,2303275,,1.785714286,0.357142857,,314.17214,4,0.285714286,0.16,0.8,O,,,0,,----,----,----,----,----,Alipat+N,,314.24479,314.00000,0.24479
14,25,3,6,0,0,,330.1670582,,2572318,2554635,2701630,,,3242424,3164145,2756093,,1.785714286,0.428571429,,330.16706,4,0.285714286,0.16,0.666666667,O,,,-0.0625,,----,----,----,----,----,Alipat+N,,330.24340,330.00000,0.24340
14,25,3,7,0,0,,346.1619728,,5129988,5327432,4728997,,,2489350,2207443,2191803,,1.785714286,0.5,,346.16197,4,0.285714286,0.16,0.571428571,O,,,-0.133333333,,----,----,----,----,----,Alipat+N,,346.24202,346.00000,0.24202
14,25,3,7,1,0,,378.1340435,,NA,NA,NA,,,1599815,1561300,1562715,,1.785714286,0.5,,378.13404,4,0.285714286,0.16,0.571428571,O,,,-0.307692308,,----,----,----,----,----,Alipat+N,,378.22148,378.00000,0.22148
14,26,0,8,0,0,,321.1554904,,NA,NA,NA,,,2122726,3131126,2030442,,1.857142857,0.571428571,,321.15549,2,0.142857143,0.076923077,0.25,O,,,-0.2,,----,----,----,AlipatNoN,----,----,,321.22975,321.00000,0.22975
14,26,0,8,1,0,,353.1275611,,NA,NA,NA,,,3765261,4590687,3957113,,1.857142857,0.571428571,,353.12756,2,0.142857143,0.076923077,0.25,O,,,-0.333333333,,----,----,----,AlipatNoN,----,----,,353.20922,353.00000,0.20922
